Date,Day,Data
2020-03-19,78,552.162
2020-03-20,79,651.538
2020-03-21,80,731.915
2020-03-22,81,803.241
2020-03-23,82,1061.57
2020-03-24,83,1466.89
2020-03-25,84,1667.22
2020-03-26,85,1540.55
2020-03-27,86,1821.87
2020-03-28,87,1753.2
2020-03-29,88,2047.58
2020-03-30,89,2659.97
2020-03-31,90,2271.36
2020-04-01,91,2904.74
2020-04-02,92,2719.13
2020-04-03,93,2332.51
2020-04-04,94,2342.9
2020-04-05,95,2332.75
2020-04-06,96,2410.6
2020-04-07,97,2466.45
2020-04-08,98,2332.3
2020-04-09,99,2044.15
2020-04-10,100,1891
2020-04-11,101,1640.85
2020-04-12,102,1484.14
2020-04-13,103,1612.42
2020-04-14,104,1566.7
2020-04-15,105,1322.98
2020-04-16,106,1499.27
2020-04-17,107,1403.55
2020-04-18,108,1147.83
2020-04-19,109,1224.19
2020-04-20,110,1283.55
2020-04-21,111,1268.9
2020-04-22,112,1096.26
2020-04-23,113,1087.62
2020-04-24,114,1087.97
2020-04-25,115,903.331
2020-04-26,116,1031.39
2020-04-27,117,1167.45
2020-04-28,118,1119.51
2020-04-29,119,1118.58
2020-04-30,120,1050.64
2020-05-01,121,904.697
2020-05-02,122,803.758
2020-05-03,123,876.175
2020-05-04,124,903.592
2020-05-05,125,808.009
2020-05-06,126,897.425
2020-05-07,127,863.842
2020-05-08,128,617.259
2020-05-09,129,680.676
2020-05-10,130,644.568
2020-05-11,131,760.46
2020-05-12,132,744.351
2020-05-13,133,710.243
2020-05-14,134,675.135
2020-05-15,135,656.027
2020-05-16,136,594.919
2020-05-17,137,599.09
2020-05-18,138,661.261
2020-05-19,139,682.433
2020-05-20,140,664.604
2020-05-21,141,649.775
2020-05-22,142,574.947
2020-05-23,143,443.118
2020-05-24,144,439.107
2020-05-25,145,443.095
2020-05-26,146,526.084
2020-05-27,147,540.072
2020-05-28,148,524.061
2020-05-29,149,456.05
2020-05-30,150,426.038
2020-05-31,151,407.892
2020-06-01,152,485.746
2020-06-02,153,518.601
2020-06-03,154,458.455
2020-06-04,155,427.309
2020-06-05,156,351.163
2020-06-06,157,279.017
2020-06-07,158,296.932
2020-06-08,159,322.847
2020-06-09,160,372.762
2020-06-10,161,378.677
2020-06-11,162,307.592
2020-06-12,163,276.506
2020-06-13,164,244.421
2020-06-14,165,285.86
2020-06-15,166,345.3
2020-06-16,167,334.739
2020-06-17,168,315.178
2020-06-18,169,293.617
2020-06-19,170,235.056
2020-06-20,171,166.495
2020-06-21,172,198.459
2020-06-22,173,302.423
2020-06-23,174,260.386
2020-06-24,175,248.35
2020-06-25,176,243.314
2020-06-26,177,236.277
2020-06-27,178,198.241
2020-06-28,179,144.497
2020-06-29,180,161.753
2020-06-30,181,179.01
2020-07-01,182,191.266
2020-07-02,183,139.522
2020-07-03,184,136.778
2020-07-04,185,111.034
2020-07-05,186,122.29
2020-07-06,187,141.547
2020-07-07,188,139.803
2020-07-08,189,133.059
2020-07-09,190,128.315
2020-07-10,191,96.5712
2020-07-11,192,89.8274
2020-07-12,193,65.1201
2020-07-13,194,130.413
2020-07-14,195,115.706
2020-07-15,196,109.998
2020-07-16,197,108.291
2020-07-17,198,77.5839
2020-07-18,199,42.8767
2020-07-19,200,67.0109
2020-07-20,201,81.145
2020-07-21,202,74.2792
2020-07-22,203,77.4134
2020-07-23,204,104.548
2020-07-24,205,88.6818
2020-07-25,206,60.816
2020-07-26,207,59.7428
2020-07-27,208,77.6696
2020-07-28,209,64.5964
2020-07-29,210,58.5232
2020-07-30,211,70.45
2020-07-31,212,50.3768
2020-08-01,213,45.3036
2020-08-02,214,52.4012
2020-08-03,215,69.4988
2020-08-04,216,53.5964
2020-08-05,217,55.694
2020-08-06,218,47.7916
2020-08-07,219,55.8892
2020-08-08,220,73.9867
2020-08-09,221,49.1453
2020-08-10,222,46.3039
2020-08-11,223,59.4625
2020-08-12,224,47.621
2020-08-13,225,56.7796
2020-08-14,226,51.9382
2020-08-15,227,35.0968
2020-08-16,228,36.2188
2020-08-17,229,43.3408
2020-08-18,230,53.4627
2020-08-19,231,55.5847
2020-08-20,232,42.7067
2020-08-21,233,46.8287
2020-08-22,234,22.9507
2020-08-23,235,41.8165
2020-08-24,236,38.6823
2020-08-25,237,57.5481
2020-08-26,238,49.4139
2020-08-27,239,66.2798
2020-08-28,240,41.1456
2020-08-29,241,49.0114
2020-08-30,242,34.865
2020-08-31,243,48.7186
2020-09-01,244,54.5723
2020-09-02,245,75.4259
2020-09-03,246,65.2795
2020-09-04,247,63.1331
2020-09-05,248,89.9867
2020-09-06,249,80.9257
2020-09-07,250,79.8648
2020-09-08,251,94.8038
2020-09-09,252,131.743
2020-09-10,253,138.682
2020-09-11,254,130.621
2020-09-12,255,138.56
2020-09-13,256,148.438
2020-09-14,257,167.316
2020-09-15,258,189.194
2020-09-16,259,178.072
2020-09-17,260,193.95
2020-09-18,261,199.828
2020-09-19,262,198.706
2020-09-20,263,231.401
2020-09-21,264,269.096
2020-09-22,265,261.791
2020-09-23,266,307.486
2020-09-24,267,281.181
2020-09-25,268,266.876
2020-09-26,269,237.571
2020-09-27,270,232.73
2020-09-28,271,298.888
2020-09-29,272,300.046
2020-09-30,273,317.204
2020-10-01,274,356.363
2020-10-02,275,358.521
2020-10-03,276,372.679
2020-10-04,277,463.899
2020-10-05,278,457.118
2020-10-06,279,508.337
2020-10-07,280,474.557
2020-10-08,281,495.776
2020-10-09,282,525.995
2020-10-10,283,496.214
2020-10-11,284,608.861
2020-10-12,285,644.507
2020-10-13,286,744.153
2020-10-14,287,685.799
2020-10-15,288,771.446
2020-10-16,289,611.092
2020-10-17,290,763.738
2020-10-18,291,846.884
2020-10-19,292,836.03
2020-10-20,293,898.176
2020-10-21,294,968.322
2020-10-22,295,956.467
2020-10-23,296,964.613
2020-10-24,297,955.759
2020-10-25,298,1149.53
2020-10-26,299,1240.29
2020-10-27,300,1149.06
2020-10-28,301,1195.83
2020-10-29,302,1299.6
2020-10-30,303,1061.37
2020-10-31,304,1190.13
2020-11-01,305,1229.35
2020-11-02,306,1279.57
2020-11-03,307,1193.79
2020-11-04,308,1329.01
2020-11-05,309,1292.23
2020-11-06,310,1127.45
2020-11-07,311,1263.67
2020-11-08,312,1430.86
2020-11-09,313,1492.06
2020-11-10,314,1531.25
2020-11-11,315,1648.45
2020-11-12,316,1601.64
2020-11-13,317,1366.84
2020-11-14,318,1320.03
2020-11-15,319,1399.76
2020-11-16,320,1493.49
2020-11-17,321,1425.23
2020-11-18,322,1505.96
2020-11-19,323,1419.69
2020-11-20,324,1252.42
2020-11-21,325,1192.15
2020-11-22,326,1270.18
2020-11-23,327,1322.2
2020-11-24,328,1214.23
2020-11-25,329,1352.25
2020-11-26,330,1135.28
2020-11-27,331,992.3
2020-11-28,332,1002.32
2020-11-29,333,1151.07
2020-11-30,334,1150.81
2020-12-01,335,1204.56
2020-12-02,336,1194.3
2020-12-03,337,1268.04
2020-12-04,338,1177.79
2020-12-05,339,1114.53
2020-12-06,340,1240.65
2020-12-07,341,1396.77
2020-12-08,342,1459.9
2020-12-09,343,1483.02
2020-12-10,344,1458.14
2020-12-11,345,1385.26
2020-12-12,346,1523.39
2020-12-13,347,1517.43
2020-12-14,348,1682.48
2020-12-15,349,1666.53
2020-12-16,350,1732.58
2020-12-17,351,1809.63
2020-12-18,352,1608.68
2020-12-19,353,1748.73
2020-12-20,354,1905.05
2020-12-21,355,2036.38
2020-12-22,356,2116.71
2020-12-23,357,1886.04
2020-12-24,358,1693.36
2020-12-25,359,1842.69
2020-12-26,360,2181.02
2020-12-27,361,2450.76
2020-12-28,362,2669.5
2020-12-29,363,2756.25
2020-12-30,364,2726.99
2020-12-31,365,2397.73
2021-01-01,366,2867.47
2021-01-02,367,2998.22
2021-01-03,368,3196.35
2021-01-04,369,3424.48
2021-01-05,370,3526.61
2021-01-06,371,3788.74
2021-01-07,372,3662.88
2021-01-08,373,3355.01
2021-01-09,374,3516.14
2021-01-10,375,3367.42
2021-01-11,376,3688.7
2021-01-12,377,3926.98
2021-01-13,378,3631.26
2021-01-14,379,3467.54
2021-01-15,380,3082.82
2021-01-16,381,3355.1
2021-01-17,382,3214.13
2021-01-18,383,3505.15
2021-01-19,384,3566.18
2021-01-20,385,3481.2
2021-01-21,386,3043.23
2021-01-22,387,2826.25
2021-01-23,388,2594.28
2021-01-24,389,2646.62
2021-01-25,390,2478.97
2021-01-26,391,2638.31
2021-01-27,392,2589.65
2021-01-28,393,2575
2021-01-29,394,2243.34
2021-01-30,395,2065.69
2021-01-31,396,2062.05
2021-02-01,397,2232.42
2021-02-02,398,2113.79
2021-02-03,399,1994.16
2021-02-04,400,1811.52
