Date,Day,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,Total
2020-08-08,220,22.1338,22.5623,23.9909,55.2766,100.419,100.419,95.7052,82.4195,70.5623,62.7052,57.5623,47.4195,39.2766,23.7052,13.1338,11.9909,48.1338,877.417
2020-08-09,221,23.6869,24.6869,25.2583,59.4012,107.83,105.115,100.258,84.4012,67.8297,62.8297,57.2583,49.8297,37.2583,22.9726,13.1155,13.2583,44.9726,899.963
2020-08-10,222,23.6686,23.8114,24.24,62.24,112.097,109.24,101.526,81.5257,67.8114,64.24,55.3829,50.9543,37.6686,23.8114,13.6686,13.0971,42.8114,907.794
2020-08-11,223,23.2217,23.5074,25.6503,62.5074,118.507,116.507,104.65,82.936,70.2217,66.936,55.936,52.3645,37.2217,23.936,15.2217,13.7931,42.3645,935.483
2020-08-12,224,22.7748,22.6319,23.9177,63.3462,122.632,119.061,103.775,82.7748,69.7748,65.3462,56.7748,53.3462,38.4891,24.9177,14.3462,13.3462,41.4891,938.743
2020-08-13,225,21.8993,22.7565,23.4708,67.1851,121.185,120.756,104.328,81.4708,70.0422,63.3279,57.4708,51.4708,39.8993,24.0422,14.3279,13.8993,39.4708,937.003
2020-08-14,226,21.881,20.881,23.0239,68.881,122.31,120.452,99.3096,79.1667,66.3096,60.3096,56.5953,49.881,36.7382,22.0239,14.4525,13.4525,33.881,909.549
2020-08-15,227,21.8627,18.8627,19.4342,68.577,124.863,119.72,91.7199,73.4342,64.4342,56.0056,54.1484,46.2913,34.577,20.4342,14.2913,11.2913,31.2913,871.238
2020-08-16,228,19.8157,16.9585,17.6728,66.2442,124.816,120.53,93.6728,73.2442,65.9585,56.2442,55.9585,45.53,36.9585,21.6728,13.53,9.81567,31.9585,870.581
2020-08-17,229,20.9115,18.4829,20.6258,70.7686,134.911,126.197,94.4829,76.1972,67.1972,58.1972,57.0543,46.4829,35.34,20.4829,12.34,10.0543,30.4829,900.209
2020-08-18,230,21.5787,17.4358,21.293,74.5787,135.864,126.579,95.293,76.1501,64.0073,58.7216,57.1501,45.5787,35.4358,19.1501,11.5787,9.00728,27.8644,897.267
2020-08-19,231,21.2459,18.6745,21.6745,80.9602,141.532,126.96,96.3888,75.5317,63.5317,59.8174,56.2459,44.5317,34.2459,18.5317,12.1031,9.24594,27.9602,909.181
2020-08-20,232,23.056,19.4846,22.056,84.1989,146.199,130.627,97.1989,76.9132,63.6275,61.1989,58.6275,46.1989,34.6275,20.3417,12.1989,8.62746,29.1989,934.381
2020-08-21,233,22.7233,20.5804,22.4375,84.2947,145.438,130.295,97.1518,77.5804,63.4375,60.2947,57.4375,46.2947,35.5804,20.8661,12.7233,8.29469,29.2947,934.724
