Week	Ayrshire and Arran	Borders	Dumfries and Galloway	Fife	Forth Valley	Grampian	Greater Glasgow and Clyde	Highland	Lanarkshire	Lothian	Orkney	Shetland	Tayside	Western Isles
0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
1	2	2	1	0	1	0	0	1	0	2	0	0	1	1
2	3	2	2	2	4	2	12	3	2	6	1	1	2	0
3	7	1	4	8	6	9	16	9	14	13	1	0	6	0
4	12	5	4	10	8	17	37	10	26	16	2	2	11	0
5	22	9	4	25	23	31	62	19	42	37	1	2	18	1
6	39	11	11	60	38	62	105	31	71	62	1	4	36	3
7	77	25	35	87	62	96	205	66	115	136	5	2	77	10
8	123	43	49	148	100	150	353	103	190	259	7	9	134	8
9	154	46	76	202	137	245	483	154	279	372	9	12	183	14
10	214	65	89	236	178	296	586	190	307	421	19	10	198	13
11	161	43	72	208	146	231	470	141	293	304	2	9	149	19
12	112	36	42	111	70	162	288	91	160	187	5	8	86	15
13	51	16	11	44	35	53	112	42	76	73	0	6	43	2
14	19	5	13	18	11	23	69	20	27	40	1	1	23	2
15	13	5	4	13	8	13	24	8	16	16	0	1	10	0
