area A	area B	AG0/AG0	AG0/AG1	AG0/AG2	AG1/AG0	AG1/AG1	AG1/AG2	AG2/AG0	AG2/AG1	AG2/AG2
0	0	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
1	1	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
2	2	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
3	3	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
4	4	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
5	5	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
6	6	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
7	7	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
8	8	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
9	9	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
10	10	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
11	11	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
12	12	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
13	13	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
14	14	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
15	15	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
16	16	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
17	17	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
18	18	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
19	19	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
20	20	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
21	21	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
22	22	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
23	23	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
24	24	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
25	25	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
26	26	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
27	27	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
28	28	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
29	29	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
30	30	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
31	31	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
32	32	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
33	33	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
34	34	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
35	35	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
36	36	0.00680246	0.0025434	5.15164e-05	0.00375359	0.00201983	7.32424e-05	0.00110451	0.000720529	0.00226335
