area	x	y	region	density	0-18	19-65	65+	Male	Female
A0	0	0	R0	1	100	300	200	50	50
A1	1	0	R0	1	100	300	200	50	50
A2	2	0	R0	1	100	300	200	50	50
A3	3	0	R0	1	100	300	200	50	50
A4	4	0	R0	1	100	300	200	50	50
A5	5	0	R1	1	100	300	200	50	50
A6	6	0	R1	1	100	300	200	50	50
A7	7	0	R1	1	100	300	200	50	50
A8	8	0	R1	1	100	300	200	50	50
A9	9	0	R1	1	100	300	200	50	50
A10	0	1	R0	1	100	300	200	50	50
A11	1	1	R0	1	100	300	200	50	50
A12	2	1	R0	1	100	300	200	50	50
A13	3	1	R0	1	100	300	200	50	50
A14	4	1	R0	1	100	300	200	50	50
A15	5	1	R1	1	100	300	200	50	50
A16	6	1	R1	1	100	300	200	50	50
A17	7	1	R1	1	100	300	200	50	50
A18	8	1	R1	1	100	300	200	50	50
A19	9	1	R1	1	100	300	200	50	50
A20	0	2	R0	1	100	300	200	50	50
A21	1	2	R0	1	100	300	200	50	50
A22	2	2	R0	1	100	300	200	50	50
A23	3	2	R0	1	100	300	200	50	50
A24	4	2	R0	1	100	300	200	50	50
A25	5	2	R1	1	100	300	200	50	50
A26	6	2	R1	1	100	300	200	50	50
A27	7	2	R1	1	100	300	200	50	50
A28	8	2	R1	1	100	300	200	50	50
A29	9	2	R1	1	100	300	200	50	50
A30	0	3	R0	1	100	300	200	50	50
A31	1	3	R0	1	100	300	200	50	50
A32	2	3	R0	1	100	300	200	50	50
A33	3	3	R0	1	100	300	200	50	50
A34	4	3	R0	1	100	300	200	50	50
A35	5	3	R1	1	100	300	200	50	50
A36	6	3	R1	1	100	300	200	50	50
A37	7	3	R1	1	100	300	200	50	50
A38	8	3	R1	1	100	300	200	50	50
A39	9	3	R1	1	100	300	200	50	50
A40	0	4	R0	1	100	300	200	50	50
A41	1	4	R0	1	100	300	200	50	50
A42	2	4	R0	1	100	300	200	50	50
A43	3	4	R0	1	100	300	200	50	50
A44	4	4	R0	1	100	300	200	50	50
A45	5	4	R1	1	100	300	200	50	50
A46	6	4	R1	1	100	300	200	50	50
A47	7	4	R1	1	100	300	200	50	50
A48	8	4	R1	1	100	300	200	50	50
A49	9	4	R1	1	100	300	200	50	50
A50	0	5	R2	1	100	300	200	50	50
A51	1	5	R2	1	100	300	200	50	50
A52	2	5	R2	1	100	300	200	50	50
A53	3	5	R2	1	100	300	200	50	50
A54	4	5	R2	1	100	300	200	50	50
A55	5	5	R3	1	100	300	200	50	50
A56	6	5	R3	1	100	300	200	50	50
A57	7	5	R3	1	100	300	200	50	50
A58	8	5	R3	1	100	300	200	50	50
A59	9	5	R3	1	100	300	200	50	50
A60	0	6	R2	1	100	300	200	50	50
A61	1	6	R2	1	100	300	200	50	50
A62	2	6	R2	1	100	300	200	50	50
A63	3	6	R2	1	100	300	200	50	50
A64	4	6	R2	1	100	300	200	50	50
A65	5	6	R3	1	100	300	200	50	50
A66	6	6	R3	1	100	300	200	50	50
A67	7	6	R3	1	100	300	200	50	50
A68	8	6	R3	1	100	300	200	50	50
A69	9	6	R3	1	100	300	200	50	50
A70	0	7	R2	1	100	300	200	50	50
A71	1	7	R2	1	100	300	200	50	50
A72	2	7	R2	1	100	300	200	50	50
A73	3	7	R2	1	100	300	200	50	50
A74	4	7	R2	1	100	300	200	50	50
A75	5	7	R3	1	100	300	200	50	50
A76	6	7	R3	1	100	300	200	50	50
A77	7	7	R3	1	100	300	200	50	50
A78	8	7	R3	1	100	300	200	50	50
A79	9	7	R3	1	100	300	200	50	50
A80	0	8	R2	1	100	300	200	50	50
A81	1	8	R2	1	100	300	200	50	50
A82	2	8	R2	1	100	300	200	50	50
A83	3	8	R2	1	100	300	200	50	50
A84	4	8	R2	1	100	300	200	50	50
A85	5	8	R3	1	100	300	200	50	50
A86	6	8	R3	1	100	300	200	50	50
A87	7	8	R3	1	100	300	200	50	50
A88	8	8	R3	1	100	300	200	50	50
A89	9	8	R3	1	100	300	200	50	50
A90	0	9	R2	1	100	300	200	50	50
A91	1	9	R2	1	100	300	200	50	50
A92	2	9	R2	1	100	300	200	50	50
A93	3	9	R2	1	100	300	200	50	50
A94	4	9	R2	1	100	300	200	50	50
A95	5	9	R3	1	100	300	200	50	50
A96	6	9	R3	1	100	300	200	50	50
A97	7	9	R3	1	100	300	200	50	50
A98	8	9	R3	1	100	300	200	50	50
A99	9	9	R3	1	100	300	200	50	50
