area	x	y	region	density	0-18	19-65	65+	Male	Female
S02001236	-98.745	3939.96	S08000020	1	2000	4000	2000	50	50
S02001237	-96.7367	3940.86	S08000020	1	2000	4000	2000	50	50
S02001238	-94.8623	3941.1	S08000020	1	2000	4000	2000	50	50
S02001239	-92.7518	3941.47	S08000020	1	2000	4000	2000	50	50
S02001240	-92.1844	3942.24	S08000020	1	2000	4000	2000	50	50
S02001241	-93.0543	3941.86	S08000020	1	2000	4000	2000	50	50
S02001242	-93.3313	3942.27	S08000020	1	2000	4000	2000	50	50
S02001243	-94.0609	3942.58	S08000020	1	2000	4000	2000	50	50
S02001244	-93.8687	3943.28	S08000020	1	2000	4000	2000	50	50
S02001245	-92.7578	3943.43	S08000020	1	2000	4000	2000	50	50
S02001246	-91.8979	3943.3	S08000020	1	2000	4000	2000	50	50
S02001247	-92.42	3942.91	S08000020	1	2000	4000	2000	50	50
S02001248	-92.2657	3942.58	S08000020	1	2000	4000	2000	50	50
S02001249	-91.5178	3942.99	S08000020	1	2000	4000	2000	50	50
S02001250	-91.0387	3942.94	S08000020	1	2000	4000	2000	50	50
S02001251	-91.4377	3942.53	S08000020	1	2000	4000	2000	50	50
S02001252	-91.6824	3942.14	S08000020	1	2000	4000	2000	50	50
S02001253	-91.7007	3941.26	S08000020	1	2000	4000	2000	50	50
S02001254	-91.1433	3940.75	S08000020	1	2000	4000	2000	50	50
S02001255	-90.662	3939.81	S08000020	1	2000	4000	2000	50	50
S02001256	-90.6041	3940.88	S08000020	1	2000	4000	2000	50	50
S02001257	-90.6782	3942.3	S08000020	1	2000	4000	2000	50	50
S02001258	-90.115	3942.34	S08000020	1	2000	4000	2000	50	50
S02001259	-90.6404	3943.3	S08000020	1	2000	4000	2000	50	50
S02001260	-90.896	3943.66	S08000020	1	2000	4000	2000	50	50
S02001261	-91.3235	3943.47	S08000020	1	2000	4000	2000	50	50
S02001262	-91.9691	3943.9	S08000020	1	2000	4000	2000	50	50
S02001263	-91.3938	3944.08	S08000020	1	2000	4000	2000	50	50
S02001264	-90.9627	3944.27	S08000020	1	2000	4000	2000	50	50
S02001265	-91.0576	3944.69	S08000020	1	2000	4000	2000	50	50
S02001266	-91.9023	3944.83	S08000020	1	2000	4000	2000	50	50
S02001267	-92.4771	3944.78	S08000020	1	2000	4000	2000	50	50
S02001268	-92.4273	3944.47	S08000020	1	2000	4000	2000	50	50
S02001269	-92.8938	3944	S08000020	1	2000	4000	2000	50	50
