0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1
2	0	0	1	1	0	0	0	0	0	2	3	5	0	2	1	2
3	2	0	2	0	2	0	3	1	4	2	2	8	0	9	2	7
4	4	1	4	5	5	5	3	5	7	7	8	16	6	9	5	9
5	9	8	20	8	8	17	13	11	7	16	23	30	20	31	17	9
6	17	16	36	42	32	36	34	27	25	39	42	54	36	74	27	30
7	40	48	72	60	70	46	78	59	43	60	79	89	51	110	52	66
8	108	89	95	83	100	88	98	69	88	98	103	100	92	122	82	117
9	100	119	91	77	128	114	92	88	111	114	126	92	101	117	113	95
10	87	80	88	61	86	77	68	72	81	86	95	62	82	72	79	69
11	44	59	58	43	39	42	41	48	43	57	51	43	49	31	46	41
12	20	26	19	29	25	24	19	29	13	20	23	31	12	17	29	17
13	4	12	13	16	9	7	8	13	2	6	16	11	8	8	6	5
14	3	5	3	4	5	3	7	3	4	8	11	5	5	2	2	1
