area,age,Sex,compartment,population
S12000005,age0-19,Male,S,5530
S12000005,age20-69,Male,S,16238
S12000005,age70+,Male,S,3457
S12000005,age0-19,Female,S,5739
S12000005,age20-69,Female,S,16849
S12000005,age70+,Female,S,3587
S12000006,age0-19,Male,S,14173
S12000006,age20-69,Male,S,45001
S12000006,age70+,Male,S,13147
S12000006,age0-19,Female,S,14985
S12000006,age20-69,Female,S,47582
S12000006,age70+,Female,S,13902
S12000008,age0-19,Male,S,12721
S12000008,age20-69,Male,S,38060
S12000008,age70+,Male,S,8324
S12000008,age0-19,Female,S,13502
S12000008,age20-69,Female,S,40397
S12000008,age70+,Female,S,8836
S12000010,age0-19,Male,S,11386
S12000010,age20-69,Male,S,32045
S12000010,age70+,Male,S,7288
S12000010,age0-19,Female,S,12364
S12000010,age20-69,Female,S,34794
S12000010,age70+,Female,S,7913
S12000011,age0-19,Male,S,11388
S12000011,age20-69,Male,S,27519
S12000011,age70+,Male,S,6566
S12000011,age0-19,Female,S,12446
S12000011,age20-69,Female,S,30075
S12000011,age70+,Female,S,7176
S12000013,age0-19,Male,S,2619
S12000013,age20-69,Male,S,8220
S12000013,age70+,Male,S,2408
S12000013,age0-19,Female,S,2686
S12000013,age20-69,Female,S,8428
S12000013,age70+,Female,S,2469
S12000014,age0-19,Male,S,17138
S12000014,age20-69,Male,S,51087
S12000014,age70+,Male,S,10272
S12000014,age0-19,Female,S,17869
S12000014,age20-69,Female,S,53265
S12000014,age70+,Female,S,10709
S12000017,age0-19,Male,S,24118
S12000017,age20-69,Male,S,73405
S12000017,age70+,Male,S,17868
S12000017,age0-19,Female,S,25113
S12000017,age20-69,Female,S,76432
S12000017,age70+,Female,S,18604
S12000018,age0-19,Male,S,7612
S12000018,age20-69,Male,S,24227
S12000018,age70+,Male,S,5562
S12000018,age0-19,Female,S,8294
S12000018,age20-69,Female,S,26395
S12000018,age70+,Female,S,6060
S12000019,age0-19,Male,S,10319
S12000019,age20-69,Male,S,27876
S12000019,age70+,Male,S,5697
S12000019,age0-19,Female,S,11155
S12000019,age20-69,Female,S,30134
S12000019,age70+,Female,S,6159
S12000020,age0-19,Male,S,10071
S12000020,age20-69,Male,S,29998
S12000020,age70+,Male,S,7228
S12000020,age0-19,Female,S,10268
S12000020,age20-69,Female,S,30585
S12000020,age70+,Female,S,7370
S12000021,age0-19,Male,S,13606
S12000021,age20-69,Male,S,39865
S12000021,age70+,Male,S,10122
S12000021,age0-19,Female,S,14975
S12000021,age20-69,Female,S,43877
S12000021,age70+,Female,S,11141
S12000023,age0-19,Male,S,2184
S12000023,age20-69,Male,S,7009
S12000023,age70+,Male,S,1846
S12000023,age0-19,Female,S,2206
S12000023,age20-69,Female,S,7081
S12000023,age70+,Female,S,1864
S12000026,age0-19,Male,S,11527
S12000026,age20-69,Male,S,34736
S12000026,age70+,Male,S,9727
S12000026,age0-19,Female,S,12204
S12000026,age20-69,Female,S,36778
S12000026,age70+,Female,S,10298
S12000027,age0-19,Male,S,2641
S12000027,age20-69,Male,S,7458
S12000027,age70+,Male,S,1614
S12000027,age0-19,Female,S,2543
S12000027,age20-69,Female,S,7180
S12000027,age70+,Female,S,1554
