time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,0,0,0,0,0,0,0
7,0,2,0,1,1,0,1,0,1,3
14,2,2,0,4,3,1,0,3,1,9
21,4,14,3,7,8,5,13,12,13,19
28,21,41,6,18,32,18,36,44,26,23
35,81,157,29,76,114,102,155,159,106,118
42,422,410,91,261,422,399,448,475,357,564
49,800,582,194,489,743,570,936,627,484,958
56,696,389,197,726,869,386,1052,631,347,812
63,517,175,187,738,648,181,738,436,192,709
70,327,79,109,588,352,85,544,258,98,404
77,208,38,63,421,156,55,321,125,43,230
84,100,11,22,264,62,21,167,63,25,143
91,64,8,14,159,25,5,100,28,10,83
98,45,3,11,97,11,13,55,17,4,53
105,17,2,2,54,4,3,32,6,0,22
112,9,3,2,25,2,3,18,3,0,21
119,6,3,2,14,0,0,15,4,1,8
126,1,0,3,9,0,0,7,0,0,3
133,0,0,0,5,0,0,4,0,0,3
