time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,1,1,0,3,0,0,1,0,1,9
7,14,12,7,11,4,1,11,4,3,36
14,24,16,14,35,26,13,40,35,23,47
21,78,108,27,61,89,49,145,110,148,96
28,189,473,81,203,311,210,427,405,323,327
35,1054,1769,293,946,1323,1295,1613,1860,1037,1590
42,3733,3286,832,1985,4066,3576,4123,3576,3364,5438
49,4366,2770,1195,3464,4915,2569,6438,3679,2168,5007
56,2842,683,1023,4362,3951,730,4330,2247,854,3653
63,1852,267,545,3068,2031,321,2806,1292,451,2408
70,937,151,286,2250,657,185,1523,656,228,1098
77,522,34,119,1457,212,74,768,243,101,613
84,258,15,45,749,108,30,460,125,38,347
91,122,13,26,410,37,25,246,85,17,203
98,96,7,16,205,19,25,154,41,3,85
105,24,5,16,123,18,8,122,19,7,65
112,10,1,8,54,8,6,57,20,2,48
119,10,2,0,47,3,5,35,12,0,29
126,4,0,2,20,3,1,21,3,0,11
133,7,1,0,21,0,0,5,5,0,1
