time,age0-19,age20-39,age40-59,age60+
0,0,0,0,0
7,3,3,2,4
14,22,26,12,14
21,72,109,46,43
28,183,355,92,102
35,586,1136,293,275
42,825,1776,453,333
49,917,2114,511,422
56,1086,2607,647,502
63,1393,2920,896,664
70,1631,3173,1250,831
77,1780,3000,1868,703
84,1420,2314,2465,597
91,1067,1594,2908,450
98,717,951,3357,364
105,523,729,3586,277
112,456,515,3677,190
119,419,375,3607,166
126,350,297,3561,150
133,343,220,3463,137
140,346,202,3056,132
147,298,204,2778,116
154,267,201,2357,94
161,269,214,1947,118
168,251,260,1627,113
175,229,268,1291,110
182,284,289,1089,96
189,277,301,932,86
196,237,256,710,70
203,212,212,521,50
