date,Data
2020-01-01,0
2020-01-08,0
2020-01-15,0
2020-01-22,2
2020-01-29,2
2020-02-05,26
2020-02-12,237
2020-02-19,2070
2020-02-26,14870
2020-03-04,91323
2020-03-11,418176
2020-03-18,1025740
2020-03-25,1287063
2020-04-01,1015726
2020-04-08,736188
2020-04-15,542556
2020-04-22,413971
2020-04-29,331244
2020-05-06,274704
2020-05-13,232435
2020-05-20,197364
2020-05-27,167495
2020-06-03,139845
2020-06-10,116341
2020-06-17,97183
2020-06-24,81741
2020-07-01,69692
2020-07-08,61441
2020-07-15,57602
2020-07-22,56640
2020-07-29,59358
2020-08-05,65857
2020-08-12,78508
2020-08-19,98807
2020-08-26,128226
2020-09-02,172578
2020-09-09,239539
2020-09-16,332688
2020-09-23,453917
2020-09-30,560862
2020-10-07,625881
2020-10-14,668479
2020-10-21,689367
2020-10-28,689158
2020-11-04,654114
2020-11-11,579403
2020-11-18,490743
2020-11-25,450315
2020-12-02,466071
2020-12-09,530443
2020-12-16,640213
2020-12-23,722134
2020-12-30,736927
2021-01-06,653340
2021-01-13,526470
2021-01-20,414122
2021-01-27,319387
2021-02-03,246778
2021-02-10,192571
2021-02-17,150602
2021-02-24,119125
2021-03-03,98290
2021-03-10,82630
2021-03-17,69051
2021-03-24,57346
2021-03-31,46199
2021-04-07,37835
2021-04-14,31383
2021-04-21,27324
2021-04-28,25346
2021-05-05,25198
2021-05-12,27127
2021-05-19,31737
2021-05-26,37848
2021-06-02,46780
