bp,R,value,prior,smooth
start,R_0,4.03,"Uniform(0.4,5)",0.2
2020-02-26,R_0,4.03,"Uniform(0.4,5)",0.2
2020-03-11,R_1,3.52,"Uniform(0.4,5)",0.5
2020-03-23,R_2,1.67,"Uniform(0.4,5)",0.5
2020-03-30,R_3,0.669,"Uniform(0.4,5)",0.5
2020-04-08,R_4,0.582,"Uniform(0.4,2.5)",0.2
2020-04-22,R_5,0.69,"Uniform(0.4,2.5)",0.2
2020-05-06,R_6,0.841,"Uniform(0.4,2.5)",0.2
2020-05-20,R_7,0.886,"Uniform(0.4,2.5)",0.2
2020-06-03,R_8,0.853,"Uniform(0.4,2.5)",0.2
2020-06-17,R_9,0.845,"Uniform(0.4,2.5)",0.2
2020-07-01,R_10,0.892,"Uniform(0.4,2.5)",0.2
2020-07-15,R_11,1.03,"Uniform(0.4,2.5)",0.2
2020-07-29,R_12,1.23,"Uniform(0.4,2.5)",0.2
2020-08-12,R_13,1.45,"Uniform(0.4,2.5)",0.2
2020-08-26,R_14,1.62,"Uniform(0.4,2.5)",0.2
2020-09-09,R_15,1.74,"Uniform(0.4,2.5)",0.2
2020-09-23,R_16,1.77,"Uniform(0.4,2.5)",0.2
2020-10-07,R_17,1.4,"Uniform(0.4,2.5)",0.2
2020-10-21,R_18,1.34,"Uniform(0.4,2.5)",0.2
2020-11-04,R_19,1.23,"Uniform(0.4,2.5)",0.5
2020-11-18,R_20,0.965,"Uniform(0.4,2.5)",0.2
2020-12-02,R_21,1.46,"Uniform(0.4,2.5)",0.2
2020-12-16,R_22,1.86,"Uniform(0.4,2.5)",0.2
2020-12-30,R_23,1.54,"Uniform(0.4,2.5)",0.2
2021-01-06,R_24,1.22,"Uniform(0.4,2.5)",0.5
2021-01-13,R_25,1.03,"Uniform(0.4,2.5)",0.2
2021-01-27,R_26,0.986,"Uniform(0.4,2.5)",0.2
2021-02-10,R_27,1.01,"Uniform(0.4,2.5)",0.2
2021-02-24,R_28,1.06,"Uniform(0.4,2.5)",0.2
2021-03-10,R_29,1.23,"Uniform(0.4,2.5)",0.2
2021-03-24,R_30,1.14,"Uniform(0.4,2.5)",0.2
2021-04-07,R_31,1.1,"Uniform(0.4,2.5)",0.2
2021-04-21,R_32,1.28,"Uniform(0.4,2.5)",0.2
2021-05-05,R_33,1.57,"Uniform(0.4,2.5)",0.2
2021-05-19,R_34,1.99,"Uniform(0.4,2.5)",0.2
end,R_35,2.16,"Uniform(0.4,2.5)",0.2
