date,Data
2020-01-01,0
2020-01-08,0
2020-01-15,0
2020-01-22,5
2020-01-29,13
2020-02-05,135
2020-02-12,1094
2020-02-19,8572
2020-02-26,58370
2020-03-04,328175
2020-03-11,1177805
2020-03-18,1818350
2020-03-25,1106872
2020-04-01,572713
2020-04-08,404592
2020-04-15,322276
2020-04-22,269376
2020-04-29,236402
2020-05-06,206692
2020-05-13,178382
2020-05-20,152270
2020-05-27,126484
2020-06-03,103335
2020-06-10,86110
2020-06-17,72138
2020-06-24,62562
2020-07-01,55839
2020-07-08,53524
2020-07-15,53796
2020-07-22,58002
2020-07-29,65730
2020-08-05,80012
2020-08-12,101618
2020-08-19,133009
2020-08-26,180986
2020-09-02,250726
2020-09-09,353409
2020-09-16,491760
2020-09-23,627858
2020-09-30,682451
2020-10-07,696205
2020-10-14,715523
2020-10-21,706023
2020-10-28,662664
2020-11-04,574002
2020-11-11,446347
2020-11-18,391936
2020-11-25,438969
2020-12-02,524817
2020-12-09,665237
2020-12-16,791454
2020-12-23,798188
2020-12-30,679758
2021-01-06,484071
2021-01-13,349750
2021-01-20,265635
2021-01-27,202612
2021-02-03,158106
2021-02-10,125003
2021-02-17,99386
2021-02-24,83016
2021-03-03,73502
2021-03-10,62917
2021-03-17,50903
2021-03-24,40404
2021-03-31,32393
2021-04-07,27002
2021-04-14,24484
2021-04-21,23119
2021-04-28,23912
2021-05-05,26420
2021-05-12,31736
2021-05-19,39573
2021-05-26,48850
2021-06-02,62284
