time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,2,1,0,0,0,1,0
14,1,0,0,2,1,1,3,3,4,0
21,5,1,1,17,5,1,6,15,4,0
28,17,5,6,35,15,7,35,31,4,10
35,51,8,25,106,59,21,103,89,20,24
42,104,40,56,342,122,66,271,226,41,88
49,313,78,126,813,321,138,686,506,123,211
56,582,176,199,1095,556,253,1157,759,212,442
63,627,238,200,1115,652,290,1365,733,276,600
70,554,218,170,735,598,268,1085,499,240,636
77,366,158,74,434,349,188,730,299,188,492
84,217,108,38,212,202,104,391,145,102,326
91,124,60,22,99,125,56,207,108,63,207
98,64,44,10,53,62,34,113,34,37,107
105,34,18,2,28,32,17,47,16,26,69
112,17,9,0,15,15,15,36,12,8,30
119,10,11,1,9,8,5,18,7,8,22
126,9,4,0,2,7,4,14,1,4,11
133,4,0,0,0,2,0,10,1,0,7
