time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,1,0,1,0,0,3,4
7,4,2,0,11,2,5,3,3,10,3
14,15,1,4,42,12,12,25,29,17,11
21,50,15,13,139,71,27,95,110,33,31
28,157,49,78,315,163,78,319,314,62,109
35,400,118,239,1177,450,198,944,799,155,305
42,1209,298,538,3278,1264,534,2534,2044,461,811
49,2638,703,1134,5948,2715,1128,5466,3865,873,2031
56,3633,1224,1245,6396,3741,1725,7752,4241,1497,3192
63,3110,1256,775,4214,3187,1516,6607,2867,1377,3460
70,1993,881,328,2102,1916,936,4031,1555,993,2520
77,972,522,169,1003,1057,558,2006,694,573,1619
84,536,342,62,447,558,264,905,345,321,950
91,282,159,36,237,255,133,507,150,184,566
98,150,79,17,130,116,88,271,77,93,295
105,82,53,7,55,59,46,122,38,59,176
112,29,39,4,27,29,19,80,27,26,100
119,36,15,9,12,22,20,42,12,20,50
126,18,11,0,8,14,8,25,6,11,26
133,5,1,0,4,8,2,14,2,4,21
