time,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000045,S12000047,S12000048,S12000049,S12000050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0
28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,10,0,0,2,0,0
35,0,0,0,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,89,22,0,3,6,1,3
42,3,1,0,0,4,0,15,0,0,0,0,0,0,0,0,0,4,2,6,24,1,5,0,0,0,174,78,0,15,9,9,3
49,12,1,0,1,17,0,15,1,0,6,0,0,0,0,0,0,13,3,19,84,0,24,1,0,2,471,218,4,40,42,14,7
56,31,1,3,3,37,0,35,0,6,24,6,0,0,1,0,0,30,15,85,246,1,49,11,3,11,1104,682,12,156,166,56,30
63,102,2,7,29,89,0,108,6,27,43,23,11,0,2,0,1,90,43,302,725,10,173,52,21,42,2310,1840,49,436,489,183,109
70,217,13,26,116,200,3,331,37,63,113,72,48,1,16,5,10,302,146,1130,1970,24,562,175,79,121,3554,3777,127,1475,1435,514,355
77,535,48,118,333,504,5,906,127,167,342,263,163,12,72,15,77,839,472,2973,4635,106,1707,534,205,467,3913,5108,325,4068,3123,1752,1012
84,1122,191,429,946,1283,26,2276,514,449,862,706,533,36,288,48,259,2464,1249,5968,7884,300,4788,1467,562,1461,2952,4624,932,8709,4899,4960,2897
91,1646,565,1205,2143,2364,82,4332,1436,1073,2008,1826,1415,98,902,117,827,5876,2561,8068,9339,866,11145,3298,1466,3436,1783,3235,2072,12564,5046,11658,6642
98,1672,1625,2762,3699,3065,309,5693,3828,2094,3116,3027,3202,234,2100,318,2078,10279,3440,7165,7478,1955,17846,5671,2649,5962,1019,1948,3460,12339,3801,19733,11184
105,1236,3470,4337,3721,2912,650,5010,6829,2761,3089,3350,4632,480,3793,646,3738,11398,2942,4733,4612,2990,18276,6131,3302,6515,579,1055,3742,8700,2335,22124,12038
112,737,5280,4222,2735,2036,903,3215,8323,2404,2229,2515,4507,752,4049,858,4273,8803,1997,2890,2557,2925,13204,4927,2634,4871,277,530,2963,5087,1281,17339,8860
119,389,4965,2967,1603,1291,928,1912,7188,1534,1319,1550,3043,727,3134,669,3027,5356,1151,1488,1362,2045,7634,2897,1697,2999,146,287,1764,2688,694,10505,5400
126,219,3714,1774,867,721,621,973,4582,851,685,848,1761,560,1928,429,1906,2874,642,716,690,1071,4054,1532,875,1598,72,143,951,1465,369,5820,2917
133,105,2004,865,492,373,389,514,2539,419,333,410,1015,315,1085,250,1034,1523,327,371,351,623,2153,843,502,895,44,83,529,749,171,3084,1456
140,45,1072,466,227,178,231,277,1299,255,171,213,483,175,598,132,495,762,142,194,178,314,1066,443,243,434,20,52,260,355,72,1431,720
147,24,535,206,97,74,106,131,669,116,84,117,268,81,269,61,241,384,93,90,96,176,474,197,101,211,15,26,129,194,49,689,392
154,14,248,89,59,31,45,52,290,68,34,53,124,43,142,34,124,198,40,39,60,76,232,117,43,114,2,13,53,103,28,324,191
161,3,125,36,27,16,24,31,145,27,15,25,55,21,59,11,83,93,19,18,12,35,101,41,20,53,3,2,21,37,13,160,86
168,2,56,30,9,9,12,18,67,11,9,12,33,18,26,6,24,46,12,6,6,25,41,23,16,22,6,5,9,35,5,103,53
175,2,31,6,5,3,2,7,39,9,4,8,12,5,9,3,20,21,6,6,3,8,23,6,6,12,0,2,6,12,2,52,28
182,2,13,6,0,2,2,5,16,3,3,1,12,6,7,0,11,8,2,4,1,7,5,3,2,4,0,0,4,6,2,20,10
189,0,3,0,1,3,1,0,12,4,1,0,8,2,3,0,6,4,2,2,0,2,3,3,1,3,1,0,2,3,1,11,8
