time,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000045,S12000047,S12000048,S12000049,S12000050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,3,0,1,0,0,0
21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,67,14,0,0,5,0,0
28,3,0,0,0,13,0,7,0,0,2,0,0,0,0,0,0,4,0,0,39,0,1,1,0,0,261,70,0,7,13,3,4
35,20,0,0,0,32,0,23,0,0,2,0,0,0,0,0,0,4,5,17,107,0,16,0,2,0,669,259,1,33,33,16,14
42,29,6,0,2,56,0,71,0,1,10,5,0,0,0,0,0,19,12,44,244,1,34,3,1,2,1561,716,3,139,129,87,19
49,122,7,0,10,127,0,135,5,6,53,12,0,0,2,0,2,114,25,232,906,1,166,53,9,22,4212,2304,42,483,508,209,83
56,314,8,17,72,290,1,360,19,70,157,60,30,0,10,1,4,298,108,961,2441,14,462,185,57,137,9570,6796,164,1506,1616,598,304
63,870,55,85,319,752,2,1015,117,204,386,231,143,1,40,9,24,873,408,3467,6879,68,1765,580,208,422,17801,16250,445,4884,5027,1801,1151
70,2091,161,324,1101,1934,16,3118,424,562,1110,796,547,30,204,52,176,2860,1505,10877,18279,282,5680,1793,615,1470,21793,26964,1169,14727,12578,5584,3419
77,4768,574,1299,3283,4724,77,8418,1555,1449,3110,2623,1638,110,806,142,743,8312,4570,25791,37397,964,16869,4988,1941,4775,17163,27435,3260,36895,24871,16991,9972
84,8351,1899,4204,8749,10193,263,19166,4863,3972,8407,7129,5099,354,2851,416,2686,22865,10998,43560,51269,2969,44949,13080,5419,13273,9715,18415,8109,64650,29719,45478,26822
91,9596,5617,11269,17542,16289,931,30175,14189,9463,15531,14610,13166,762,8123,1205,8108,48664,18207,42376,43148,8043,87743,26935,12555,27901,5069,9821,16501,71780,22092,93976,53959
98,7211,14386,21686,21532,17045,2631,29320,31242,15056,18537,19186,24377,2021,17269,2780,17692,64335,17952,26949,24831,15314,105611,35349,18170,37332,2566,4933,21347,50078,12218,125919,68703
105,4084,26476,24920,15682,12121,4821,18329,47110,14008,12847,15011,26497,3805,23489,4400,23707,51108,11076,13899,12460,17214,75862,28248,15490,29058,1360,2547,17056,26908,6195,101724,52537
112,1950,29659,17163,8452,6485,5279,9253,41805,8805,6927,8502,17875,4316,18722,4019,18002,28733,5899,6910,6005,11984,40413,15666,8895,15829,670,1245,9492,13003,3126,57021,28890
119,940,20410,8955,4222,3317,3649,4665,24711,4439,3351,4154,9215,3020,10402,2565,9969,14117,2817,3291,2834,6007,19232,7670,4370,7668,352,684,4661,6383,1564,28071,13949
126,470,10488,4281,1987,1584,1945,2215,12148,2166,1506,1944,4398,1707,5234,1396,4703,6799,1311,1633,1399,2874,9301,3730,2134,3804,200,324,2246,3082,778,13271,6729
133,214,5039,1899,899,781,933,1082,5753,1094,806,951,2207,865,2527,677,2271,3281,633,743,727,1424,4358,1778,1004,1861,100,199,1078,1523,330,6199,3159
140,122,2360,880,456,387,413,533,2741,569,369,453,965,417,1134,295,1024,1586,342,353,357,703,2021,884,489,851,52,97,527,752,162,2850,1611
147,60,1126,394,218,177,217,233,1304,275,123,214,489,202,573,136,542,798,172,177,202,327,922,400,205,418,36,48,235,391,77,1467,787
154,26,497,194,104,75,106,119,628,159,82,74,248,97,245,57,255,358,105,83,83,163,418,203,104,181,14,27,119,197,49,676,370
161,11,234,106,46,54,52,59,302,63,39,42,121,47,145,34,160,165,44,37,23,91,186,100,49,78,10,10,51,100,25,365,178
168,4,132,51,16,22,23,32,143,24,16,22,53,24,52,12,86,89,17,17,19,26,117,36,25,28,6,10,24,62,19,198,107
175,5,76,28,2,16,11,17,67,20,5,10,32,11,21,2,51,32,10,7,4,16,41,15,7,23,0,1,21,31,4,80,51
182,1,23,9,2,7,6,8,34,8,2,4,12,6,21,0,23,17,3,4,0,10,17,9,5,7,3,5,4,13,2,43,19
189,0,10,5,0,4,5,9,18,5,2,0,4,0,19,0,11,7,2,0,0,6,11,4,2,4,1,2,5,3,3,19,8
