time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,1,1,0,0,0,1,0
14,2,0,0,2,0,3,2,5,3,4
21,2,1,5,8,5,2,5,10,11,6
28,17,21,8,7,32,8,21,27,22,29
35,57,67,22,28,96,64,87,121,56,82
42,233,279,65,127,285,275,272,344,274,329
49,551,599,136,338,637,585,699,553,455,784
56,660,500,193,604,896,437,961,611,370,814
63,593,251,189,753,780,238,815,443,238,807
70,403,115,139,729,433,122,651,310,132,539
77,272,51,89,555,213,71,410,195,76,337
84,178,22,41,377,79,35,275,84,42,209
91,99,16,27,224,45,20,134,57,16,118
98,48,5,4,93,12,7,94,27,10,71
105,34,3,9,52,14,4,55,25,4,30
112,18,1,1,24,3,3,39,12,0,22
119,10,0,1,16,2,1,20,5,2,11
126,2,0,0,10,3,3,16,5,1,6
133,2,1,0,3,4,1,8,2,0,7
