time,Region A,Region B,Region C,Region D,Region E,Region F,Region G,Region H,Region I,Region J
0,0,0,0,1,0,1,0,0,3,4
7,2,1,0,2,2,5,4,16,9,12
14,11,3,6,16,17,8,12,42,31,20
21,33,45,19,48,73,22,72,103,121,62
28,120,189,61,86,297,102,234,329,198,206
35,625,805,225,515,839,826,910,1357,659,939
42,2555,2687,581,1260,2846,2684,2661,2647,2751,3739
49,3617,3869,1054,2684,4632,3109,5407,3512,2433,4467
56,3419,1161,1167,4221,4692,1178,4592,2630,1226,4300
63,2344,445,799,3713,2827,475,3530,1572,664,3242
70,1386,240,385,3104,917,355,2226,884,307,1593
77,869,84,175,1839,290,122,1140,369,149,951
84,460,29,62,980,146,57,759,176,76,535
91,216,25,30,492,42,36,398,170,30,271
98,138,11,21,194,28,25,255,80,16,110
105,80,5,10,151,19,8,202,49,6,82
112,30,3,2,61,13,6,110,32,4,61
119,14,1,3,55,7,5,72,18,1,26
126,10,2,1,21,11,3,53,9,3,40
133,4,1,1,10,4,2,23,4,3,18
