time,Data
0,0
7,15
14,63
21,238
28,767
35,2082
42,4188
49,6950
56,9515
63,10256
70,8803
77,7303
84,5783
91,4794
98,3981
105,3551
112,3057
119,2885
126,2615
133,2213
140,2166
147,1979
154,1792
161,1548
168,1408
175,1338
182,1318
189,1335
196,1387
203,1603
210,1838
217,2259
224,2926
231,3640
238,4821
245,6166
252,7942
259,9421
266,10529
273,11162
280,11836
287,12026
294,11623
301,11156
308,10212
315,9726
322,10039
329,11214
336,13110
343,14842
350,15288
357,15087
364,13589
371,12034
378,10103
385,8526
392,7226
399,6026
406,4978
413,4010
420,3510
427,3037
434,2727
441,2320
448,2036
455,1724
462,1463
469,1304
476,1111
483,1039
490,1093
497,1153
504,1319
511,1390
