time,age0-19,age20-39,age40-59,age60+
0,3,0,5,3
7,23,20,23,11
14,80,125,86,47
21,193,292,231,132
28,555,969,517,298
35,1274,2490,899,520
42,1328,2884,884,521
49,1473,3702,929,674
56,1855,4476,1270,912
63,2594,5090,1866,1057
70,2970,5317,2803,1166
77,2589,4643,4196,1103
84,1923,3191,5415,839
91,1378,1923,6701,643
98,1070,1303,7969,511
105,916,1094,9211,451
112,967,1007,10184,415
119,1001,808,10770,386
126,1046,699,11193,388
133,1057,797,10935,375
140,972,786,10741,356
147,998,831,10092,385
154,999,895,8985,395
161,1037,1033,7984,483
168,1185,1355,7366,539
175,1410,1672,6190,517
182,1441,1914,5271,468
189,1518,1753,4547,418
196,1360,1341,3552,375
203,1095,1154,2928,295
