date,Data
2020-01-01,0
2020-01-08,0
2020-01-15,0
2020-01-22,5
2020-01-29,8
2020-02-05,54
2020-02-12,428
2020-02-19,3802
2020-02-26,26199
2020-03-04,149638
2020-03-11,543776
2020-03-18,871156
2020-03-25,551865
2020-04-01,294853
2020-04-08,213779
2020-04-15,175042
2020-04-22,149846
2020-04-29,136937
2020-05-06,123809
2020-05-13,111503
2020-05-20,98631
2020-05-27,84877
2020-06-03,72021
2020-06-10,62140
2020-06-17,54508
2020-06-24,49081
2020-07-01,45715
2020-07-08,44948
2020-07-15,47548
2020-07-22,53659
2020-07-29,64515
2020-08-05,82520
2020-08-12,110146
2020-08-19,155170
2020-08-26,226947
2020-09-02,340105
2020-09-09,512729
2020-09-16,764143
2020-09-23,1031742
2020-09-30,1171346
2020-10-07,1229217
2020-10-14,1282820
2020-10-21,1270136
2020-10-28,1182742
2020-11-04,1013633
2020-11-11,774293
2020-11-18,666590
2020-11-25,729083
2020-12-02,838882
2020-12-09,1014707
2020-12-16,1139512
2020-12-23,1081796
2020-12-30,867834
2021-01-06,588711
2021-01-13,405600
2021-01-20,295374
2021-01-27,216653
2021-02-03,162283
2021-02-10,122462
2021-02-17,94467
2021-02-24,75036
2021-03-03,63199
2021-03-10,51668
2021-03-17,39403
2021-03-24,29890
2021-03-31,22634
2021-04-07,18229
2021-04-14,15966
2021-04-21,14263
2021-04-28,13567
2021-05-05,14300
2021-05-12,16074
2021-05-19,18429
2021-05-26,20958
2021-06-02,24729
