time,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000045,S12000047,S12000048,S12000049,S12000050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
14,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,3,0,0,0,0,1
21,0,0,0,0,0,0,0,3,9,0,0,3,0,0,0,2,1,0,4,3,1,2,1,1,3,5,5,0,2,0,8,3
28,1,5,0,4,3,0,1,11,10,0,3,6,0,1,0,7,12,4,11,10,0,5,4,1,9,13,15,0,5,2,15,18
35,0,7,8,4,15,0,8,29,35,0,6,20,1,3,0,5,51,9,33,29,3,19,20,7,13,33,47,5,10,10,68,41
42,4,22,36,11,34,0,35,86,84,6,37,60,2,11,0,31,141,29,57,95,27,60,57,27,53,105,112,26,67,30,228,133
49,14,69,110,43,130,1,127,253,232,32,135,204,7,38,5,98,341,65,224,256,76,229,198,77,155,315,279,117,268,105,749,370
56,72,192,356,138,309,4,336,845,637,110,352,536,13,107,16,292,1100,239,590,695,215,795,602,264,454,765,757,346,744,320,2218,1129
63,208,572,1007,388,834,5,1019,2257,1250,347,945,1399,61,335,47,820,3013,689,1581,2075,615,2357,1654,729,1248,1800,1926,1017,2167,927,6021,3191
70,667,1485,2384,1207,1977,28,2600,5076,2268,1013,2047,2974,154,936,105,2074,6618,1550,4077,4718,1527,6279,3760,1717,3030,3252,3684,2259,5658,2335,13444,6951
77,1306,3270,3980,2677,3156,129,4764,7977,2605,2230,3136,4459,354,2171,276,3700,10540,2723,7155,8318,2560,13337,5867,2869,5323,4000,5071,3665,10680,4522,21170,11032
84,1878,5100,4211,3839,3248,293,5696,8140,2076,3228,3248,4477,677,3838,601,3960,10942,3323,8231,8976,2952,18638,6108,3125,6394,3504,4705,3769,13413,5584,21665,11864
91,1655,5014,3248,3540,2424,637,4663,5957,1472,3121,2386,3143,789,4119,797,3206,8041,2722,6438,7075,2429,16939,4484,2361,5221,2223,3343,2869,11181,4537,15966,8830
98,1070,3516,1991,2424,1505,929,2947,3383,834,2012,1392,1880,573,3093,748,1988,4819,1759,3991,4484,1528,11380,2706,1421,3301,1177,1859,1687,7145,2784,9462,5235
105,595,2089,1074,1328,784,900,1575,1765,450,1165,718,983,387,1756,505,967,2657,961,2099,2435,813,6426,1498,795,1826,687,1094,873,3941,1559,4989,2901
112,322,1123,553,677,418,658,872,939,234,606,412,522,222,949,247,539,1345,494,1102,1230,438,3390,728,374,939,341,560,442,2036,827,2569,1489
119,173,582,266,346,188,363,412,507,112,283,197,238,121,488,150,262,656,253,518,657,219,1666,394,208,455,166,252,228,998,446,1290,761
126,78,305,119,198,98,161,229,248,59,147,101,123,55,231,81,138,345,128,241,306,104,836,193,86,227,72,136,134,535,197,630,408
133,34,116,58,81,51,97,93,87,30,60,44,62,42,109,34,59,150,67,137,161,58,422,90,56,120,35,67,54,235,98,297,174
