time,Data
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,1
10,4
11,0
12,1
13,1
14,2
15,7
16,3
17,4
18,6
19,7
20,7
21,10
22,11
23,6
24,17
25,16
26,24
27,11
28,25
29,28
30,27
31,23
32,34
33,39
34,38
35,40
36,32
37,55
38,66
39,56
40,64
41,71
42,91
43,92
44,86
45,116
46,115
47,123
48,138
49,127
50,151
51,154
52,167
53,214
54,189
55,242
56,198
57,222
58,204
59,219
60,218
61,205
62,197
63,236
64,225
65,214
66,221
67,186
68,182
69,188
70,190
71,160
72,172
73,151
74,118
75,137
76,133
77,111
78,86
79,106
80,67
81,108
82,79
83,51
84,50
85,53
86,56
87,55
88,53
89,40
90,31
91,40
92,22
93,26
94,17
95,19
96,23
97,16
98,17
99,18
100,6
101,11
102,15
103,11
104,11
105,4
106,3
107,3
108,6
109,5
110,4
111,7
112,2
113,4
114,3
115,1
116,3
117,3
118,3
119,3
120,0
121,3
122,3
123,0
124,2
125,0
126,2
127,1
128,2
129,1
130,0
131,1
132,1
133,0
134,2
135,0
136,0
137,1
138,2
139,0
