time,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,2
8,3
9,5
10,6
11,9
12,7
13,8
14,9
15,7
16,11
17,13
18,14
19,15
20,19
21,20
22,26
23,30
24,26
25,37
26,45
27,57
28,52
29,60
30,68
31,76
32,79
33,95
34,111
35,121
36,122
37,117
38,141
39,166
40,181
41,200
42,222
43,255
44,279
45,290
46,331
47,352
48,370
49,423
50,436
51,461
52,508
53,535
54,617
55,621
56,704
57,685
58,723
59,731
60,754
61,778
62,779
63,786
64,803
65,811
66,811
67,838
68,832
69,806
70,795
71,782
72,783
73,762
74,728
75,670
76,642
77,624
78,569
79,507
80,489
81,430
82,437
83,399
84,355
85,325
86,308
87,298
88,278
89,268
90,272
91,234
92,214
93,181
94,168
95,138
96,123
97,116
98,100
99,88
100,85
101,71
102,62
103,59
104,55
105,54
106,46
107,37
108,30
109,29
110,20
111,17
112,19
113,13
114,15
115,15
116,14
117,17
118,18
119,19
120,19
121,17
122,15
123,12
124,10
125,9
126,7
127,9
128,9
129,7
130,5
131,4
132,5
133,4
134,2
135,2
136,2
137,2
138,3
139,4
