date,Data
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,4
2020-02-12,6
2020-02-13,6
2020-02-14,10
2020-02-15,14
2020-02-16,19
2020-02-17,25
2020-02-18,35
2020-02-19,46
2020-02-20,79
2020-02-21,110
2020-02-22,147
2020-02-23,179
2020-02-24,241
2020-02-25,318
2020-02-26,424
2020-02-27,565
2020-02-28,725
2020-02-29,947
2020-03-01,1223
2020-03-02,1549
2020-03-03,2031
2020-03-04,2626
2020-03-05,3402
2020-03-06,4375
2020-03-07,5597
2020-03-08,7182
2020-03-09,9041
2020-03-10,11440
2020-03-11,14429
2020-03-12,17979
2020-03-13,22393
2020-03-14,27483
2020-03-15,33654
2020-03-16,40841
2020-03-17,49253
2020-03-18,59157
2020-03-19,70525
2020-03-20,83518
2020-03-21,98325
2020-03-22,115245
2020-03-23,134151
2020-03-24,155338
2020-03-25,179186
2020-03-26,205634
2020-03-27,234785
2020-03-28,267097
2020-03-29,301622
2020-03-30,338880
2020-03-31,378824
2020-04-01,421165
2020-04-02,465518
2020-04-03,511727
2020-04-04,559391
2020-04-05,608392
2020-04-06,658028
2020-04-07,708299
2020-04-08,758732
2020-04-09,809374
2020-04-10,860193
2020-04-11,910390
2020-04-12,960327
2020-04-13,1010011
2020-04-14,1058969
2020-04-15,1106931
2020-04-16,1153621
2020-04-17,1199515
2020-04-18,1244712
2020-04-19,1288323
2020-04-20,1330830
2020-04-21,1372290
2020-04-22,1413102
2020-04-23,1452409
2020-04-24,1490644
2020-04-25,1527951
2020-04-26,1563782
2020-04-27,1598198
2020-04-28,1631599
2020-04-29,1664225
2020-04-30,1695812
2020-05-01,1726091
