date,Data
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,1
2020-02-04,0
2020-02-05,0
2020-02-06,1
2020-02-07,0
2020-02-08,1
2020-02-09,1
2020-02-10,3
2020-02-11,2
2020-02-12,5
2020-02-13,4
2020-02-14,4
2020-02-15,17
2020-02-16,15
2020-02-17,18
2020-02-18,24
2020-02-19,40
2020-02-20,43
2020-02-21,57
2020-02-22,75
2020-02-23,91
2020-02-24,131
2020-02-25,167
2020-02-26,206
2020-02-27,255
2020-02-28,363
2020-02-29,515
2020-03-01,619
2020-03-02,788
2020-03-03,1140
2020-03-04,1369
2020-03-05,1697
2020-03-06,2070
2020-03-07,2643
2020-03-08,3270
2020-03-09,3954
2020-03-10,4752
2020-03-11,5827
2020-03-12,6727
2020-03-13,7957
2020-03-14,9127
2020-03-15,10248
2020-03-16,11839
2020-03-17,13589
2020-03-18,15048
2020-03-19,17069
2020-03-20,19090
2020-03-21,21180
2020-03-22,23109
2020-03-23,25465
2020-03-24,27632
2020-03-25,29556
2020-03-26,32050
2020-03-27,34282
2020-03-28,35838
2020-03-29,36373
2020-03-30,36873
2020-03-31,36400
2020-04-01,35246
2020-04-02,33542
2020-04-03,30960
2020-04-04,28687
2020-04-05,26734
2020-04-06,24873
2020-04-07,23095
2020-04-08,21612
2020-04-09,20322
2020-04-10,19223
2020-04-11,17640
2020-04-12,16467
2020-04-13,15346
2020-04-14,14668
2020-04-15,13702
2020-04-16,13066
2020-04-17,12261
2020-04-18,11481
2020-04-19,10809
2020-04-20,10316
2020-04-21,9724
2020-04-22,9395
2020-04-23,8727
2020-04-24,8503
2020-04-25,8186
2020-04-26,7711
2020-04-27,7316
2020-04-28,7112
2020-04-29,6914
2020-04-30,6624
2020-05-01,6203
2020-05-02,6239
2020-05-03,5869
2020-05-04,5699
2020-05-05,5352
2020-05-06,5479
2020-05-07,5220
2020-05-08,5184
2020-05-09,4978
2020-05-10,4930
2020-05-11,4684
2020-05-12,4577
2020-05-13,4574
2020-05-14,4368
2020-05-15,4338
2020-05-16,4259
2020-05-17,4063
2020-05-18,4069
2020-05-19,3918
2020-05-20,3779
2020-05-21,3860
2020-05-22,3669
2020-05-23,3701
2020-05-24,3542
2020-05-25,3532
2020-05-26,3398
2020-05-27,3308
2020-05-28,3249
2020-05-29,3282
2020-05-30,3102
2020-05-31,3048
2020-06-01,3015
2020-06-02,2829
2020-06-03,2861
2020-06-04,2778
2020-06-05,2720
2020-06-06,2626
2020-06-07,2492
2020-06-08,2566
2020-06-09,2522
2020-06-10,2432
2020-06-11,2265
2020-06-12,2279
2020-06-13,2113
2020-06-14,2059
2020-06-15,2103
2020-06-16,2025
2020-06-17,1963
2020-06-18,1896
2020-06-19,1819
2020-06-20,1789
2020-06-21,1761
2020-06-22,1646
2020-06-23,1752
2020-06-24,1632
2020-06-25,1574
2020-06-26,1579
2020-06-27,1496
2020-06-28,1463
2020-06-29,1458
2020-06-30,1424
2020-07-01,1357
2020-07-02,1461
2020-07-03,1328
2020-07-04,1379
2020-07-05,1262
2020-07-06,1259
2020-07-07,1298
2020-07-08,1223
2020-07-09,1246
2020-07-10,1247
2020-07-11,1208
2020-07-12,1188
2020-07-13,1179
2020-07-14,1134
2020-07-15,1213
2020-07-16,1125
2020-07-17,1169
2020-07-18,1183
2020-07-19,1137
2020-07-20,1153
2020-07-21,1266
2020-07-22,1162
2020-07-23,1168
2020-07-24,1189
2020-07-25,1229
2020-07-26,1258
2020-07-27,1206
2020-07-28,1291
2020-07-29,1331
2020-07-30,1258
2020-07-31,1373
2020-08-01,1379
2020-08-02,1433
2020-08-03,1428
2020-08-04,1540
2020-08-05,1469
2020-08-06,1558
2020-08-07,1614
2020-08-08,1698
2020-08-09,1740
2020-08-10,1907
2020-08-11,1899
2020-08-12,1943
2020-08-13,2067
2020-08-14,2081
2020-08-15,2291
2020-08-16,2365
2020-08-17,2439
2020-08-18,2556
2020-08-19,2726
2020-08-20,2863
2020-08-21,3039
2020-08-22,3080
2020-08-23,3337
2020-08-24,3480
2020-08-25,3791
2020-08-26,4096
2020-08-27,4361
2020-08-28,4422
2020-08-29,4769
2020-08-30,5112
2020-08-31,5436
2020-09-01,5715
2020-09-02,6029
2020-09-03,6548
2020-09-04,6855
2020-09-05,7459
2020-09-06,8023
2020-09-07,8483
2020-09-08,8966
2020-09-09,9793
2020-09-10,10469
2020-09-11,10960
2020-09-12,11938
2020-09-13,12717
2020-09-14,13805
2020-09-15,14695
2020-09-16,15998
2020-09-17,17055
2020-09-18,17901
2020-09-19,19572
2020-09-20,20972
2020-09-21,22464
2020-09-22,24476
2020-09-23,25868
2020-09-24,28047
2020-09-25,29686
2020-09-26,32291
2020-09-27,34163
2020-09-28,36419
2020-09-29,38847
2020-09-30,41052
2020-10-01,43693
2020-10-02,46022
2020-10-03,48171
2020-10-04,50999
2020-10-05,52772
2020-10-06,55133
2020-10-07,56782
2020-10-08,58751
2020-10-09,61029
2020-10-10,62587
2020-10-11,64132
2020-10-12,65502
2020-10-13,67608
2020-10-14,68743
2020-10-15,70646
2020-10-16,71997
2020-10-17,73610
2020-10-18,75691
2020-10-19,76999
2020-10-20,79148
2020-10-21,80035
2020-10-22,81540
2020-10-23,82713
2020-10-24,84155
2020-10-25,85185
2020-10-26,86653
2020-10-27,87668
2020-10-28,87999
2020-10-29,88293
2020-10-30,89177
2020-10-31,89921
2020-11-01,90366
2020-11-02,89665
2020-11-03,90042
2020-11-04,90093
2020-11-05,89144
2020-11-06,89649
2020-11-07,88547
2020-11-08,87533
2020-11-09,87369
2020-11-10,86190
2020-11-11,84903
2020-11-12,83068
2020-11-13,81179
2020-11-14,79683
2020-11-15,77500
2020-11-16,74947
2020-11-17,73230
2020-11-18,70799
2020-11-19,67566
2020-11-20,64984
2020-11-21,62286
2020-11-22,60021
2020-11-23,57449
2020-11-24,55896
2020-11-25,54672
2020-11-26,53459
2020-11-27,52578
2020-11-28,51841
2020-11-29,51952
2020-11-30,51442
2020-12-01,51330
2020-12-02,50708
2020-12-03,51348
2020-12-04,51347
2020-12-05,52056
2020-12-06,52519
2020-12-07,53279
2020-12-08,53907
2020-12-09,54973
2020-12-10,55600
2020-12-11,56659
2020-12-12,58235
2020-12-13,59068
2020-12-14,60930
2020-12-15,61728
2020-12-16,63786
2020-12-17,65872
2020-12-18,67708
2020-12-19,70108
2020-12-20,72596
2020-12-21,74207
2020-12-22,76739
2020-12-23,78115
2020-12-24,79699
2020-12-25,80271
2020-12-26,81890
2020-12-27,82243
2020-12-28,83326
2020-12-29,82439
2020-12-30,82919
2020-12-31,83498
2021-01-01,82756
2021-01-02,82321
2021-01-03,81309
2021-01-04,80010
2021-01-05,78771
2021-01-06,76761
2021-01-07,74129
2021-01-08,71862
2021-01-09,68975
2021-01-10,66189
2021-01-11,63226
2021-01-12,59665
2021-01-13,56726
2021-01-14,53642
2021-01-15,50481
2021-01-16,47590
2021-01-17,44887
2021-01-18,42140
2021-01-19,39275
2021-01-20,37462
2021-01-21,34824
2021-01-22,32888
2021-01-23,30677
2021-01-24,28927
2021-01-25,27362
2021-01-26,25912
2021-01-27,24199
2021-01-28,22348
2021-01-29,20898
2021-01-30,19640
2021-01-31,18421
2021-02-01,17396
2021-02-02,16406
2021-02-03,15305
2021-02-04,14372
2021-02-05,13447
2021-02-06,12527
2021-02-07,11974
2021-02-08,11135
2021-02-09,10371
2021-02-10,9969
2021-02-11,9418
2021-02-12,8548
2021-02-13,8129
2021-02-14,7585
2021-02-15,7034
2021-02-16,6689
2021-02-17,6239
2021-02-18,5961
2021-02-19,5581
2021-02-20,5128
2021-02-21,5049
2021-02-22,4656
2021-02-23,4470
2021-02-24,4205
2021-02-25,3976
2021-02-26,3737
2021-02-27,3482
2021-02-28,3283
2021-03-01,3145
2021-03-02,2991
2021-03-03,2761
2021-03-04,2686
2021-03-05,2528
2021-03-06,2477
2021-03-07,2249
2021-03-08,2164
2021-03-09,2159
2021-03-10,2013
2021-03-11,1983
2021-03-12,1815
2021-03-13,1809
2021-03-14,1618
2021-03-15,1619
2021-03-16,1629
2021-03-17,1512
2021-03-18,1487
2021-03-19,1394
2021-03-20,1272
2021-03-21,1249
2021-03-22,1171
2021-03-23,1145
2021-03-24,1095
2021-03-25,955
2021-03-26,966
2021-03-27,898
2021-03-28,814
2021-03-29,797
2021-03-30,764
2021-03-31,755
2021-04-01,686
2021-04-02,677
2021-04-03,635
2021-04-04,617
2021-04-05,565
2021-04-06,570
2021-04-07,538
2021-04-08,485
2021-04-09,488
2021-04-10,428
2021-04-11,422
2021-04-12,394
2021-04-13,384
2021-04-14,350
2021-04-15,318
2021-04-16,313
2021-04-17,311
2021-04-18,303
2021-04-19,332
2021-04-20,317
2021-04-21,250
2021-04-22,267
2021-04-23,237
2021-04-24,253
2021-04-25,204
2021-04-26,224
2021-04-27,233
2021-04-28,217
2021-04-29,189
2021-04-30,189
2021-05-01,204
2021-05-02,189
2021-05-03,212
2021-05-04,218
2021-05-05,172
2021-05-06,194
2021-05-07,189
2021-05-08,189
2021-05-09,186
2021-05-10,168
2021-05-11,172
2021-05-12,205
2021-05-13,187
2021-05-14,190
2021-05-15,163
2021-05-16,174
2021-05-17,188
2021-05-18,208
2021-05-19,205
2021-05-20,206
2021-05-21,230
2021-05-22,198
2021-05-23,164
2021-05-24,202
2021-05-25,240
2021-05-26,201
2021-05-27,207
2021-05-28,247
2021-05-29,234
2021-05-30,244
2021-05-31,250
2021-06-01,209
2021-06-02,243
2021-06-03,255
2021-06-04,291
2021-06-05,234
2021-06-06,270
2021-06-07,245
2021-06-08,272
2021-06-09,290
2021-06-10,267
2021-06-11,286
2021-06-12,282
