date,Data
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,5
2020-02-04,6
2020-02-05,9
2020-02-06,12
2020-02-07,18
2020-02-08,23
2020-02-09,32
2020-02-10,47
2020-02-11,58
2020-02-12,87
2020-02-13,135
2020-02-14,175
2020-02-15,227
2020-02-16,313
2020-02-17,410
2020-02-18,540
2020-02-19,693
2020-02-20,878
2020-02-21,1141
2020-02-22,1484
2020-02-23,1964
2020-02-24,2529
2020-02-25,3305
2020-02-26,4361
2020-02-27,5660
2020-02-28,7347
2020-02-29,9637
2020-03-01,12390
2020-03-02,15946
2020-03-03,20359
2020-03-04,25870
2020-03-05,32556
2020-03-06,40621
2020-03-07,50185
2020-03-08,61748
2020-03-09,75331
2020-03-10,90927
2020-03-11,108564
2020-03-12,128413
2020-03-13,150740
2020-03-14,176509
2020-03-15,204447
2020-03-16,235356
2020-03-17,270198
2020-03-18,307825
2020-03-19,348745
2020-03-20,392933
2020-03-21,440280
2020-03-22,490289
2020-03-23,543199
2020-03-24,598881
2020-03-25,654632
2020-03-26,709587
2020-03-27,762474
2020-03-28,811032
2020-03-29,854052
2020-03-30,890338
2020-03-31,918108
2020-04-01,937812
2020-04-02,951449
2020-04-03,959297
2020-04-04,962038
2020-04-05,960597
2020-04-06,955549
2020-04-07,946493
2020-04-08,934840
2020-04-09,920601
2020-04-10,903907
2020-04-11,886310
2020-04-12,867030
2020-04-13,846768
2020-04-14,825697
2020-04-15,804227
2020-04-16,782402
2020-04-17,760203
2020-04-18,737772
2020-04-19,715669
2020-04-20,693750
2020-04-21,672109
2020-04-22,650421
2020-04-23,629106
2020-04-24,608401
2020-04-25,588091
2020-04-26,568781
2020-04-27,550122
2020-04-28,531815
2020-04-29,513873
2020-04-30,496433
2020-05-01,479663
2020-05-02,463439
