date,Data
2020-01-07,0
2020-01-14,0
2020-01-21,0
2020-01-28,0
2020-02-04,0
2020-02-11,0
2020-02-18,0
2020-02-25,3
2020-03-03,41
2020-03-10,209
2020-03-17,868
2020-03-24,2540
2020-03-31,5392
2020-04-07,8659
2020-04-14,9613
2020-04-21,8820
2020-04-28,7244
2020-05-05,5590
2020-05-12,4394
2020-05-19,3437
2020-05-26,2778
2020-06-02,2233
2020-06-09,1796
2020-06-16,1568
2020-06-23,1297
2020-06-30,1070
2020-07-07,864
2020-07-14,799
2020-07-21,620
2020-07-28,600
2020-08-04,552
2020-08-11,535
2020-08-18,648
2020-08-25,707
2020-09-01,1073
2020-09-08,1588
2020-09-15,2351
2020-09-22,3762
2020-09-29,5979
2020-10-06,9587
2020-10-13,14225
2020-10-20,19207
2020-10-27,24370
2020-11-03,28781
2020-11-10,32480
2020-11-17,33861
2020-11-24,33020
2020-12-01,30287
2020-12-08,26961
2020-12-15,25230
2020-12-22,25332
2020-12-29,27526
2021-01-05,29837
2021-01-12,31040
2021-01-19,29181
2021-01-26,25190
2021-02-02,20175
2021-02-09,15268
2021-02-16,11197
2021-02-23,7958
2021-03-02,5646
2021-03-09,3920
2021-03-16,2847
2021-03-23,1903
2021-03-30,1352
2021-04-06,972
2021-04-13,634
2021-04-20,481
2021-04-27,314
2021-05-04,246
2021-05-11,183
2021-05-18,106
2021-05-25,116
2021-06-01,108
2021-06-08,94
