date,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0
2020-02-05,0,0,0,1,3,3,2,1,1,1,1,0,0,2,0,1,0,0
2020-02-12,1,9,5,1,8,8,13,7,7,7,9,4,5,1,2,0,3,0
2020-02-19,13,17,22,23,25,30,52,42,28,30,34,27,24,17,16,8,12,8
2020-02-26,53,83,97,98,137,153,178,177,164,140,142,123,79,70,61,44,57,14
2020-03-04,213,315,315,398,514,636,678,706,616,485,524,457,365,252,243,157,169,74
2020-03-11,568,945,994,1301,1591,1966,2069,2014,1931,1562,1693,1334,1121,792,720,470,566,224
2020-03-18,1447,2170,2263,3053,3703,4468,4765,4611,4366,3873,3973,3254,2464,1847,1722,1102,1292,562
2020-03-25,2406,3848,3931,5282,6247,7559,8196,7846,7406,6457,6597,5440,4304,3172,3084,1962,2303,872
2020-04-01,2540,3929,4027,5414,6664,7572,8325,7903,7516,6464,7093,5783,4477,3264,2982,2061,2253,959
2020-04-08,1831,2819,2868,3877,4652,5386,5794,5735,5443,4760,5089,4044,3227,2407,2105,1520,1635,678
2020-04-15,1193,1786,1896,2380,2984,3549,3615,3651,3358,3019,3198,2620,2062,1590,1416,980,1103,455
2020-04-22,760,1236,1226,1589,1844,2262,2443,2383,2243,1972,2034,1656,1387,1016,857,568,710,266
2020-04-29,497,813,868,1116,1370,1522,1708,1577,1565,1383,1411,1176,932,712,631,481,511,186
2020-05-06,371,631,598,784,967,1103,1217,1138,1184,1042,1073,907,698,519,476,324,354,141
2020-05-13,319,470,484,720,739,904,976,967,950,781,794,694,523,400,373,223,273,128
2020-05-20,228,387,436,503,578,732,760,742,728,607,667,603,478,303,306,214,251,104
2020-05-27,207,341,324,464,495,537,643,612,579,529,565,380,362,289,270,168,174,64
2020-06-03,154,254,278,338,393,430,523,524,448,431,420,358,282,220,200,133,150,68
2020-06-10,143,207,188,244,310,372,394,399,364,346,358,295,222,181,149,84,119,57
2020-06-17,115,181,171,214,272,355,331,311,301,253,252,231,185,143,133,70,103,43
2020-06-24,101,135,136,167,215,239,235,239,232,224,201,196,142,106,91,65,78,34
2020-07-01,53,103,107,142,129,179,199,186,197,160,174,134,119,79,88,54,66,19
2020-07-08,72,111,95,113,107,169,171,161,165,157,159,150,96,63,71,43,53,26
2020-07-15,46,79,71,95,102,136,153,158,151,126,126,114,88,52,77,53,50,12
2020-07-22,49,84,75,99,124,139,154,168,125,134,119,88,77,79,53,45,48,19
2020-07-29,50,61,65,72,121,144,145,129,152,139,147,111,89,70,62,51,45,11
2020-08-05,53,102,76,108,121,161,168,169,189,139,155,107,93,76,69,53,54,24
2020-08-12,74,110,118,146,167,187,194,168,195,167,191,179,120,105,72,54,61,27
2020-08-19,88,123,127,172,207,208,269,235,237,237,212,213,147,124,111,81,85,25
2020-08-26,106,167,171,234,305,351,369,319,358,296,317,289,205,147,140,88,112,35
2020-09-02,166,255,247,386,381,466,494,476,490,433,423,340,288,227,207,139,144,62
2020-09-09,256,364,399,518,571,751,748,686,671,588,676,548,448,342,263,211,204,89
2020-09-16,375,604,602,813,922,1036,1106,1135,1056,986,994,816,603,465,442,315,342,135
2020-09-23,579,953,967,1191,1430,1581,1793,1764,1605,1369,1565,1275,1076,749,697,445,576,201
2020-09-30,926,1373,1380,1682,2042,2405,2433,2473,2327,2020,2210,1825,1462,1092,984,760,737,290
2020-10-07,1106,1703,1769,2149,2822,3053,3329,3190,2970,2516,2790,2256,1847,1440,1335,883,1034,358
2020-10-14,1321,2075,2072,2593,3128,3534,3933,3802,3577,3122,3325,2908,2180,1658,1524,1022,1261,402
2020-10-21,1479,2329,2379,3102,3609,4063,4367,4252,4019,3617,3821,3070,2554,1938,1718,1209,1397,483
2020-10-28,1625,2495,2513,3150,3777,4479,4854,4621,4324,3910,4120,3455,2666,2006,1914,1297,1503,608
2020-11-04,1731,2582,2682,3283,3908,4505,4809,4569,4443,4134,4224,3556,2856,2155,1957,1376,1541,565
2020-11-11,1642,2463,2465,3163,3623,4366,4603,4439,4158,3918,4142,3378,2799,2050,1886,1328,1481,522
2020-11-18,1412,2214,2314,2767,3286,3759,4090,3817,3653,3265,3551,2986,2310,1835,1730,1125,1375,484
2020-11-25,1246,1868,1948,2398,2794,3310,3429,3480,3250,2967,3153,2565,2162,1566,1398,999,1178,400
2020-12-02,1252,1804,1866,2334,2791,3102,3304,3408,3071,2870,3100,2543,2039,1586,1440,962,1149,380
2020-12-09,1426,2176,2235,2629,3242,3631,3864,3693,3563,3154,3357,2938,2380,1692,1666,1087,1329,425
2020-12-16,1740,2773,2795,3540,3821,4567,4893,4681,4468,3915,4331,3519,2907,2248,2061,1438,1748,515
2020-12-23,2340,3542,3478,4285,5009,5710,6036,5895,5598,5149,5642,4714,3846,2992,2755,1914,2154,643
2020-12-30,2705,4240,4334,5055,5831,6747,7123,7012,6521,5982,6360,5667,4436,3408,3285,2321,2641,784
2021-01-06,2794,4248,4312,5136,5787,6720,6854,6860,6650,5965,6249,5673,4477,3395,3260,2118,2638,787
2021-01-13,2415,3638,3602,4129,4999,5555,5750,5735,5319,5050,5440,4611,3773,2955,2786,1921,2243,683
2021-01-20,1852,2713,2695,3175,3558,4159,4359,4269,4166,3787,4073,3424,2861,2197,2100,1459,1642,510
2021-01-27,1300,1963,2073,2381,2637,2991,3131,2988,2941,2751,2889,2565,2026,1597,1505,1048,1239,359
2021-02-03,932,1398,1430,1632,1877,2033,2161,2118,2019,1888,2041,1739,1527,1090,1078,725,870,253
2021-02-10,647,1023,963,1076,1284,1524,1490,1528,1463,1320,1384,1229,990,786,757,534,634,180
2021-02-17,473,712,691,818,897,1021,1017,1081,982,930,1040,875,678,567,486,397,468,148
2021-02-24,328,505,517,579,672,732,785,758,685,677,690,666,518,396,366,287,279,75
2021-03-03,227,344,362,463,477,550,586,580,551,489,567,443,399,318,281,229,271,52
2021-03-10,215,292,308,307,357,444,425,477,405,402,415,388,343,213,210,170,187,53
2021-03-17,152,238,232,282,305,328,355,311,330,291,345,288,230,184,184,121,146,30
2021-03-24,118,172,172,192,236,273,258,275,276,254,249,227,176,140,131,107,107,33
2021-03-31,91,132,157,181,181,212,219,184,203,183,204,189,158,112,105,54,81,19
2021-04-07,80,105,122,115,141,138,157,171,141,126,149,133,118,90,79,63,52,14
2021-04-14,55,84,77,84,119,134,115,112,115,96,105,87,78,77,62,53,52,15
2021-04-21,44,63,82,64,71,87,84,90,94,89,78,82,70,58,37,32,32,5
2021-04-28,40,62,47,64,86,78,84,85,92,62,64,63,61,39,48,26,36,9
2021-05-05,30,66,52,60,64,57,78,70,52,80,93,63,46,34,47,29,31,5
2021-05-12,36,40,46,65,49,60,71,70,62,67,63,70,52,38,41,27,23,7
2021-05-19,43,57,62,73,88,76,95,102,90,69,102,94,71,43,55,38,35,12
2021-05-26,40,68,88,76,92,113,106,99,102,101,89,104,58,65,53,40,51,14
2021-06-02,46,92,100,102,121,162,124,142,115,118,183,115,90,74,73,38,51,22
