date,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,1,0,1,0,4,2,1,2,0,0,1,0,2,0,0,0,0
2020-02-12,1,2,0,5,4,19,7,11,9,2,9,9,3,4,2,2,0,0
2020-02-19,5,14,13,28,25,47,39,39,34,31,32,38,17,17,10,7,7,2
2020-02-26,50,85,79,112,120,223,198,173,164,199,144,154,87,84,56,40,49,15
2020-03-04,232,388,376,468,529,915,874,759,750,796,622,637,352,362,289,178,217,74
2020-03-11,1007,1649,1565,2040,2090,3472,3463,3050,3025,3365,2667,2588,1448,1444,1194,737,888,361
2020-03-18,3582,5563,5527,7345,7284,12120,11978,10790,10541,11437,9191,9039,4998,4975,4274,2617,3094,1362
2020-03-25,10020,15782,15858,21194,20931,34790,34413,30921,30475,32151,26435,25469,14456,14507,12228,7579,9063,3811
2020-04-01,22923,36007,36596,48860,48854,79167,79037,71270,70162,73299,60702,57776,33468,33175,28210,17558,20963,8727
2020-04-08,41212,64955,66020,88006,88915,139589,141127,127803,125543,128191,109658,102353,60820,59076,50329,32120,37672,15569
2020-04-15,60740,95429,97203,128865,133080,201838,205633,187294,183817,183852,161174,148494,91116,85696,73830,47254,55233,22819
2020-04-22,78221,122955,125285,165927,174837,256757,263188,241756,237031,231068,208475,188840,119593,108994,95138,61308,71782,29375
2020-04-29,93096,146100,149021,197327,211713,301003,310987,288230,280967,268314,248687,221677,145013,128063,112626,73344,85544,34915
2020-05-06,105305,164807,168273,222529,242880,335678,349523,325899,316800,296811,281606,247111,166586,143314,126761,83021,96685,39298
2020-05-13,115099,180168,183735,242997,269194,362543,379892,356583,345590,318556,308370,267313,184649,154985,138072,91199,105912,42945
2020-05-20,122846,192416,196071,259369,290927,383628,403964,381344,368267,335394,329494,282945,199892,164079,147095,97602,113197,45832
2020-05-27,129153,202185,205948,272544,309009,399956,423283,401023,386410,348161,346847,295226,212336,171369,154317,102772,118850,48141
2020-06-03,134063,210199,214003,282946,323694,412765,438560,416905,401059,358375,360715,304879,222727,177091,159869,106923,123449,50047
2020-06-10,138261,216483,220429,291513,336066,422903,450631,429661,412589,366349,372074,312515,231281,181577,164408,110315,127378,51432
2020-06-17,141597,221445,225708,298386,346265,430950,460187,439838,421912,372595,381052,318587,238298,185123,168149,113027,130311,52556
2020-06-24,144233,225513,229889,303735,354507,437224,467978,448212,429537,377485,388320,323492,244154,188047,171056,115244,132712,53447
2020-07-01,146359,228824,233322,308061,361434,442237,474002,454781,435451,381460,394037,327269,248982,190372,173446,117005,134732,54194
2020-07-08,148046,231398,235937,311451,367173,446331,478777,460086,440206,384709,398577,330267,252938,192205,175301,118422,136262,54795
2020-07-15,149441,233480,238118,314272,371677,449471,482586,464436,443980,387277,402267,332732,256165,193644,176788,119495,137516,55245
2020-07-22,150527,235173,239865,316540,375492,452104,485829,467980,447168,389320,405402,334766,258835,194779,178010,120432,138503,55649
2020-07-29,151466,236600,241289,318538,378490,454328,488528,470948,449926,391119,407884,336337,261042,195722,179000,121194,139352,55975
2020-08-05,152266,237879,242574,320221,381127,456375,490889,473417,452223,392800,410047,337826,262987,196616,179918,121942,140109,56263
2020-08-12,153044,239007,243726,321836,383456,458225,493016,475690,454403,394374,412137,339268,264734,197448,180758,122534,140810,56504
2020-08-19,153757,240160,244903,323357,385685,460196,495301,477910,456534,396109,414074,340781,266338,198350,181630,123150,141462,56742
2020-08-26,154569,241412,246202,325024,387945,462468,497679,480385,458880,398020,416206,342499,267998,199365,182585,123839,142203,57050
2020-09-02,155491,242859,247668,327159,390458,465291,500655,483135,461560,400512,418837,344626,269715,200589,183754,124682,143124,57399
2020-09-09,156731,244786,249652,329885,393520,469013,504501,486694,465109,403923,422088,347374,271919,202261,185232,125702,144269,57839
2020-09-16,158417,247353,252251,333515,397334,474057,509778,491728,469932,408763,426412,351162,274681,204558,187284,127030,145826,58441
2020-09-23,160881,251189,256177,338535,402924,481654,517418,498943,476959,415785,432693,356929,278395,207883,190303,129084,147999,59274
2020-09-30,164541,256936,262115,346206,410732,492974,528978,509581,487122,426232,442392,365702,284112,212903,194729,131949,151449,60565
2020-10-07,169931,265475,271075,357513,422330,509685,546121,525214,502497,441640,456160,378434,292110,220338,201190,136328,156695,62388
2020-10-14,177646,277379,283104,373143,438613,532863,569351,547032,523792,462879,475397,395997,303457,230826,210560,142355,163838,65032
2020-10-21,187557,292644,298891,393213,459386,562504,599621,574833,550894,489931,500244,418808,318318,244263,222524,150215,173200,68373
2020-10-28,199734,311261,318181,417555,485049,598102,635599,608639,584082,522045,530460,445974,336404,260420,236933,159815,184391,72325
2020-11-04,213739,332722,340413,445560,515234,638659,677675,648210,622380,558939,565571,477390,357798,279396,253884,170884,197408,76994
2020-11-11,229607,356949,365198,476624,548749,683492,723960,691571,664358,599758,604511,511952,382205,300016,272647,183145,212134,81993
2020-11-18,246397,382468,391378,509512,584559,729858,772769,737442,708433,641697,645753,547997,408030,321802,292281,196579,227729,87389
2020-11-25,262813,408158,417747,542034,620790,774954,820554,782800,752074,682312,686584,583504,434333,343414,312016,209785,243475,92717
2020-12-02,278583,432315,442679,572735,655945,817409,865238,826144,793335,719610,725944,616995,459832,363413,330626,222475,258028,97680
2020-12-09,293873,455203,466682,601818,689474,857577,907762,867405,832822,754882,763729,648581,484546,382505,348331,234674,272291,102437
2020-12-16,309316,478354,490610,631302,723837,897281,950525,908504,872404,790579,801334,680259,509722,401648,366451,247169,286739,107268
2020-12-23,326114,503793,517162,663116,760096,940438,996772,952881,914737,830071,841772,715330,536570,423116,386229,260670,302615,112461
2020-12-30,346022,533660,547892,700357,801616,991442,1049971,1003920,963491,877054,888592,756216,567182,448635,409578,276540,321192,118433
2021-01-06,369370,569287,584070,743448,849177,1051087,1112065,1063343,1020318,932672,943176,805282,602813,479020,437026,295049,343225,125169
2021-01-13,395771,608807,624440,791586,902144,1116716,1180311,1128386,1083079,993532,1003153,859475,642670,512611,467752,315925,367798,132778
2021-01-20,422266,649167,665924,839778,955888,1182017,1248308,1194269,1145803,1053608,1064284,913425,683479,546596,499172,336974,392808,140365
2021-01-27,447376,686933,704340,884982,1006748,1241374,1311063,1255044,1203609,1108176,1121664,962973,722274,577589,527811,356636,416454,147573
2021-02-03,469042,719904,738233,923983,1051538,1291828,1365566,1307841,1253772,1153143,1171380,1005356,757295,603884,552839,374145,437213,153757
2021-02-10,487407,747453,766418,956468,1091188,1332260,1409448,1352149,1295452,1188988,1213046,1039894,788239,625380,573734,389053,454750,158860
2021-02-17,502312,769841,789108,983011,1124206,1364659,1445297,1388144,1328980,1216748,1246905,1067139,813798,642394,590798,401290,468825,163036
2021-02-24,514161,787948,807264,1004056,1151784,1389155,1473125,1417179,1355744,1237617,1274245,1088287,834896,655701,604215,411100,480092,166377
2021-03-03,523586,801994,821681,1020739,1174459,1408148,1494683,1440049,1376519,1253275,1295679,1104393,852357,665983,614541,418878,488968,168909
2021-03-10,530956,812958,832933,1033431,1192381,1422252,1511495,1458179,1392649,1265164,1312539,1116739,866312,673740,622564,424956,495884,170830
2021-03-17,536593,821589,841724,1043337,1206986,1433268,1524437,1471968,1405279,1273930,1325502,1125985,877785,679783,628796,429633,501157,172325
2021-03-24,540956,828350,848513,1050921,1218953,1441621,1534257,1482818,1415165,1280740,1335719,1133182,886931,684297,633691,433491,505280,173538
2021-03-31,544466,833449,853843,1056928,1228429,1447909,1541847,1491495,1422883,1285919,1343765,1138862,894502,687837,637596,436313,508635,174419
2021-04-07,547273,837495,857996,1061700,1236236,1452822,1547870,1498206,1428717,1289921,1350096,1143094,900401,690521,640556,438525,511162,175221
2021-04-14,549351,840614,861326,1065371,1242362,1456566,1552507,1503322,1433347,1292863,1355013,1146376,905197,692640,642892,440320,513187,175822
2021-04-21,550988,842969,863836,1068262,1247375,1459441,1556068,1507327,1436947,1295152,1358956,1148835,909172,694302,644632,441775,514739,176252
2021-04-28,552286,844840,865799,1070564,1251301,1461628,1558749,1510555,1439721,1296926,1361931,1150740,912155,695545,645951,442876,515990,176612
2021-05-05,553279,846334,867304,1072306,1254273,1463343,1560838,1512974,1441808,1298355,1364203,1152296,914670,696522,647043,443717,516959,176862
2021-05-12,554144,847563,868542,1073727,1256784,1464692,1562516,1515001,1443467,1299524,1366104,1153529,916711,697297,647928,444430,517737,177094
2021-05-19,554780,848638,869570,1074890,1258856,1465888,1563994,1516682,1444918,1300491,1367629,1154513,918397,698014,648623,444999,518351,177259
2021-05-26,555373,849567,870507,1075903,1260650,1466950,1565219,1518164,1446185,1301485,1369055,1155515,919863,698659,649248,445508,518964,177429
2021-06-02,555973,850433,871424,1076968,1262249,1468069,1566494,1519556,1447406,1302502,1370385,1156482,921138,699280,649879,446021,519581,177588
