date,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,1,0,1,3,2,5,1,0,2,2,4,1,1,0,0,0,0
2020-01-29,0,3,2,5,16,9,9,8,4,5,5,1,4,2,1,1,0,0
2020-02-05,7,17,14,16,25,33,23,23,28,23,30,19,22,7,9,6,7,2
2020-02-12,40,66,73,72,113,137,144,158,125,107,117,90,75,59,53,31,43,20
2020-02-19,202,317,312,355,476,558,598,654,557,533,522,420,348,235,230,139,184,77
2020-02-26,802,1255,1294,1718,2046,2463,2637,2518,2470,2009,2222,1893,1365,1004,930,647,659,303
2020-03-04,2744,4204,4241,5678,6873,8275,8960,8720,8214,6926,7341,5948,4686,3445,3027,2032,2416,1000
2020-03-11,6804,10610,10817,14537,17473,21197,22635,21862,20861,17820,18527,15265,12142,8718,8028,5362,6198,2559
2020-03-18,12718,20108,20497,27551,33184,39040,42302,41094,39285,33701,35388,28758,22514,16669,15263,10235,11775,4811
2020-03-25,14271,22564,22946,30420,36608,43405,46789,45077,42971,36843,39159,32130,25381,18498,16967,11517,13095,5379
2020-04-01,9094,14058,14386,18962,22803,26736,28871,27941,26866,22892,24395,20025,15834,11780,10802,7381,8448,3289
2020-04-08,5493,8565,8599,11479,13801,16390,17400,16935,15982,14245,14903,12182,9636,7196,6635,4589,5127,2015
2020-04-15,3639,5703,5675,7717,9011,10520,11335,10998,10438,9479,9744,7801,6335,4723,4327,2913,3413,1248
2020-04-22,2606,4045,4049,5286,6254,7362,7973,7645,7316,6431,6783,5578,4275,3264,2978,2114,2394,983
2020-04-29,1959,2961,3094,3983,4758,5614,5965,5709,5622,4679,5131,4165,3398,2460,2280,1541,1745,672
2020-05-06,1557,2379,2403,3177,3824,4374,4784,4616,4531,3892,4042,3456,2698,2022,1785,1230,1384,594
2020-05-13,1220,1976,1980,2660,3036,3589,3820,3671,3477,3168,3374,2757,2228,1627,1451,1010,1201,481
2020-05-20,1110,1541,1696,2101,2331,2838,3114,2987,2944,2595,2786,2086,1799,1266,1214,846,913,387
2020-05-27,873,1285,1330,1718,2013,2331,2528,2543,2241,2040,2151,1779,1429,1082,981,636,762,282
2020-06-03,710,1053,1118,1434,1619,1811,2035,1923,1858,1535,1698,1422,1133,801,794,505,577,217
2020-06-10,508,821,847,1020,1252,1424,1638,1519,1455,1295,1375,1115,902,678,608,388,457,179
2020-06-17,427,674,678,841,968,1167,1184,1262,1119,1039,1010,843,740,533,503,348,397,126
2020-06-24,339,533,565,655,773,937,941,995,1003,843,864,700,558,383,387,227,289,111
2020-07-01,259,424,415,575,630,744,869,799,770,673,736,604,485,343,328,213,237,87
2020-07-08,242,381,399,520,563,676,763,726,694,606,603,522,404,280,309,215,239,87
2020-07-15,221,372,368,463,547,661,716,701,676,618,600,494,409,318,314,200,225,79
2020-07-22,254,372,362,480,572,708,756,705,696,595,630,522,425,327,265,193,230,90
2020-07-29,267,397,373,538,676,799,800,792,767,656,712,637,479,343,325,218,270,84
2020-08-05,325,501,506,697,746,896,1032,909,935,835,935,699,523,435,378,258,263,112
2020-08-12,435,670,632,900,957,1155,1353,1271,1203,1097,1122,908,768,548,516,328,365,143
2020-08-19,534,883,887,1214,1427,1658,1745,1605,1597,1424,1506,1286,983,717,667,475,535,206
2020-08-26,826,1265,1260,1797,1953,2305,2466,2394,2392,2057,2155,1680,1346,1028,939,666,766,256
2020-09-02,1211,1860,1960,2599,2947,3470,3673,3475,3381,3044,3216,2586,2089,1547,1387,1012,1098,423
2020-09-09,1860,2856,3011,3874,4434,5328,5541,5523,5206,4703,4858,4081,3124,2281,2170,1514,1693,641
2020-09-16,2813,4481,4680,5708,6979,8013,8679,8362,7861,7014,7460,6044,4852,3557,3273,2239,2766,975
2020-09-23,4270,6556,6931,8621,10299,11932,12584,12353,11790,10425,11015,9330,7073,5357,4924,3453,3993,1432
2020-09-30,5619,8762,8792,11351,13441,15664,16384,16252,15217,13617,14283,11955,9379,6998,6689,4566,5203,1897
2020-10-07,6572,10223,10557,13144,15763,18284,19813,18878,18184,15977,16851,14400,11107,8283,7722,5338,6252,2170
2020-10-14,7546,11856,11845,15113,17394,20628,22294,21113,20321,18184,18824,15654,12617,9493,8766,6119,6995,2374
2020-10-21,8242,12560,12966,16379,19157,22272,23961,23187,21832,19689,21037,17289,13899,10350,9852,6637,7715,2679
2020-10-28,8598,13096,13258,16691,19787,23012,24541,23756,22620,20144,21416,17885,14371,10748,10185,6853,7985,2820
2020-11-04,8561,12752,13071,16273,18941,22275,23514,22571,21771,19636,20733,17402,14345,10431,9874,6748,7850,2535
2020-11-11,7140,11002,11422,14089,16508,19168,20377,19688,18884,17085,17787,14934,11922,9084,8462,5902,6734,2278
2020-11-18,6046,9105,9498,11374,13347,15584,16525,16439,15247,13998,14830,12398,9769,7576,6932,4790,5735,1961
2020-11-25,6082,9031,9400,11179,13186,15461,16430,15706,14997,13897,14649,12342,9873,7465,7004,4723,5612,1881
2020-12-02,6694,10416,10740,13120,15249,17364,18727,18060,17253,15794,16470,14114,11310,8692,8033,5632,6546,2167
2020-12-09,8893,13488,13594,16463,19412,22129,23428,22493,21688,19931,21049,18053,14395,10883,10308,7173,8398,2559
2020-12-16,11815,17851,18281,21937,25324,29008,31100,29966,28507,26555,28056,23781,19106,15077,13776,9393,11091,3436
2020-12-23,14276,21558,21916,25872,30055,34210,36203,35646,33654,30823,32949,28255,23180,17584,16475,11419,13265,4170
2020-12-30,14971,22067,22689,26387,30322,34680,36516,35837,34061,31820,33136,28978,23280,18146,16794,11595,13867,4066
2021-01-06,12326,18337,18930,21558,24898,28414,29957,29168,27746,25964,27594,23957,19434,15073,14057,9792,11666,3361
2021-01-13,9009,13623,13755,15856,18073,20399,21416,20790,20042,18846,19773,17499,13933,11025,10365,7129,8442,2506
2021-01-20,6318,9394,9835,11093,12742,14617,15255,14794,14170,13259,13809,12201,10033,7843,7386,5004,5999,1762
2021-01-27,4432,6752,6815,7777,8832,9878,10577,10223,9716,9170,9941,8545,6954,5460,5238,3718,4290,1258
2021-02-03,3108,4737,4888,5363,6140,7127,7393,7198,6769,6362,6698,5956,4885,3846,3649,2499,3018,822
2021-02-10,2215,3288,3395,3875,4348,4814,5155,5154,4787,4620,4886,4277,3449,2642,2553,1787,2133,592
2021-02-17,1660,2383,2487,2841,3037,3584,3753,3738,3452,3394,3421,2983,2463,1965,1900,1313,1553,428
2021-02-24,1167,1744,1786,1982,2318,2659,2752,2685,2524,2414,2616,2195,1867,1467,1346,985,1174,280
2021-03-03,955,1409,1384,1543,1767,2023,2176,2112,1989,1888,2004,1795,1428,1100,1047,749,886,261
2021-03-10,741,1121,1100,1350,1525,1664,1746,1654,1632,1576,1644,1450,1193,946,868,617,717,180
2021-03-17,657,846,887,1061,1112,1250,1323,1302,1287,1242,1270,1098,860,709,705,500,574,155
2021-03-24,473,639,728,810,863,923,1030,1030,967,892,943,891,692,575,514,331,454,122
2021-03-31,317,470,549,587,617,754,753,743,720,710,796,613,506,453,394,263,294,95
2021-04-07,255,387,416,422,524,534,584,562,529,533,535,477,418,305,303,199,248,72
2021-04-14,203,332,299,319,389,431,473,440,423,407,402,393,337,268,200,155,186,58
2021-04-21,170,267,273,308,319,373,361,412,358,349,377,342,279,196,183,140,167,48
2021-04-28,156,274,270,252,323,376,358,358,321,283,350,311,240,196,209,137,149,31
2021-05-05,183,268,237,308,317,373,350,356,357,334,364,274,270,221,192,138,182,43
2021-05-12,204,289,292,316,365,402,470,458,412,387,417,389,314,225,228,142,208,43
2021-05-19,241,388,422,469,471,520,542,527,502,485,520,477,358,295,264,176,225,72
2021-05-26,284,492,489,525,612,616,687,699,634,609,646,586,497,374,386,245,283,92
2021-06-02,398,629,594,652,767,899,888,984,885,817,904,752,628,509,450,339,379,100
