date,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-29,0,1,0,1,4,7,5,5,2,3,3,6,3,1,0,0,0,0
2020-02-05,1,5,5,14,25,24,25,15,7,14,17,13,11,4,3,3,0,2
2020-02-12,15,40,38,53,80,80,86,66,74,65,62,57,52,31,27,18,14,4
2020-02-19,108,170,181,202,325,382,384,374,321,301,306,248,201,146,133,87,92,41
2020-02-26,495,872,795,963,1322,1487,1629,1657,1503,1325,1404,1141,928,613,619,404,472,203
2020-03-04,2113,3484,3431,4398,5581,6348,6957,6765,6440,5368,5908,4733,3875,2581,2540,1752,1821,856
2020-03-11,7393,11556,11805,15757,19567,22281,24634,23948,22772,18710,20503,16491,13299,9234,8686,5898,6667,2899
2020-03-18,20059,31495,32194,43123,53903,60977,67219,65460,61986,50673,55894,44518,36792,25470,23567,16168,18335,7762
2020-03-25,42186,66674,68327,90437,114489,126318,139310,137223,129387,105070,117663,92091,77740,53277,49564,34354,38737,16019
2020-04-01,60919,96068,98057,129825,167584,177186,197552,196165,184778,145734,169515,130837,114438,75403,70880,49786,56055,22984
2020-04-08,62589,98000,99889,131901,177419,175588,198845,200725,188293,141208,173525,129550,121255,75109,72276,51070,57634,23362
2020-04-15,55430,86742,88421,116977,164406,150140,173707,179248,165931,117261,155183,110937,112650,64575,63640,46052,51660,20684
2020-04-22,46452,72395,73545,97809,143878,119931,142894,150791,137399,91703,130462,88896,98978,52113,52390,38766,43178,17044
2020-04-29,37773,58750,59570,79215,122282,93527,114206,122953,111233,70032,106573,69584,84057,40932,42138,31813,35162,13824
2020-05-06,30372,47410,47883,63701,102453,72700,90386,99461,88815,53162,86215,54367,70716,31701,33620,25851,28283,11140
2020-05-13,24351,37889,38468,51060,85504,56699,71727,80023,70890,40718,69312,42284,59201,24958,26722,20619,22516,8862
2020-05-20,19571,30433,30961,40987,71168,44228,56913,64167,56657,31488,56248,33361,49302,19758,21166,16779,18084,7072
2020-05-27,15846,24470,25067,33030,58886,34795,45241,51762,45502,24972,45432,26280,41100,15570,16835,13570,14642,5684
2020-06-03,12945,19651,20206,26682,48972,27668,35999,41781,36402,19733,36791,20922,34045,12342,13561,11012,11801,4461
2020-06-10,10388,15800,16409,21337,40340,22002,28668,33580,29347,15497,29479,16635,28264,9778,10874,8815,9328,3627
2020-06-17,8300,12785,13139,16997,33124,17365,22978,27103,23618,12250,23712,13224,23429,7864,8669,7132,7520,2909
2020-06-24,6645,10290,10586,13672,27199,13871,18089,21696,18661,9798,18826,10319,19327,6200,6962,5798,6091,2347
2020-07-01,5320,8136,8436,10931,22130,11095,14397,17526,15094,7810,15155,8185,15801,4862,5481,4624,4813,1879
2020-07-08,4314,6567,6816,8856,17970,8787,11665,14148,12152,6224,12245,6580,12987,3815,4429,3715,3841,1495
2020-07-15,3460,5357,5571,7258,14866,7229,9599,11567,10087,5107,9977,5341,10745,3116,3654,3130,3167,1246
2020-07-22,2922,4555,4643,6128,12311,6123,7956,9617,8495,4452,8282,4454,9004,2708,3110,2621,2726,1033
2020-07-29,2534,3948,4087,5243,10627,5467,6980,8231,7274,4023,7279,4091,7774,2503,2777,2318,2400,906
2020-08-05,2325,3600,3720,4913,9444,5199,6448,7551,6780,3823,6683,3997,6963,2398,2598,2080,2219,812
2020-08-12,2280,3545,3736,4900,8894,5500,6598,7408,6689,4092,6567,4164,6468,2564,2592,2085,2183,822
2020-08-19,2457,3846,4021,5457,8970,6211,7339,8119,7230,4821,7078,4705,6505,2844,2935,2279,2392,916
2020-08-26,2911,4558,4755,6648,9896,7717,8943,9295,8489,6151,8401,5821,7053,3421,3497,2634,2804,1100
2020-09-02,3890,5941,6178,8493,11903,10067,11523,11964,11034,8340,10643,7472,8422,4558,4478,3303,3606,1363
2020-09-09,5339,8255,8611,11365,15621,14139,15965,16312,15224,11737,14544,10508,10826,6348,6176,4553,4944,1891
2020-09-16,7771,12232,12713,16412,21762,21013,23324,23797,22116,17253,20971,15842,15082,9341,9125,6637,7204,2701
2020-09-23,11713,18460,19167,24447,31854,31555,35147,35175,32762,25978,31326,23794,22378,14038,13562,9607,11101,4016
2020-09-30,17623,27377,28612,36065,46994,47260,52045,52173,49102,38929,46194,35562,32775,21176,20108,14436,16545,5878
2020-10-07,24684,38279,39401,50398,65310,65198,72036,72941,67917,53902,64602,49307,45812,29501,28454,20193,22936,8273
2020-10-14,31706,48965,50947,64369,83827,82995,92736,93238,87280,68345,82878,63578,59452,37536,36451,25941,29568,10461
2020-10-21,38683,59795,61634,78024,102077,99548,111653,112912,105734,81868,100571,76085,73056,45548,44368,31617,35759,12504
2020-10-28,45039,69399,71314,89965,119646,113548,129093,131158,121791,93713,117109,88033,85905,52673,51835,36905,41767,14592
2020-11-04,50372,77259,79173,99191,133816,124579,141994,144745,134294,102378,129827,96806,96704,58209,57561,41289,46658,16145
2020-11-11,53565,81536,83784,104599,142782,129602,148675,152629,141105,105858,137382,101392,103894,60944,60864,44209,49660,17012
2020-11-18,53069,80940,83415,103217,144278,126458,145681,151075,139243,102334,136216,99083,104824,59690,60341,43979,49366,16801
2020-11-25,50234,75875,78701,96507,138526,116596,135190,142823,130420,93410,128917,91646,101088,55067,56511,41813,46435,15774
2020-12-02,48248,72403,75039,91573,133540,109343,128227,135750,123551,87804,122828,86260,98148,52277,53985,40162,44750,15028
2020-12-09,48376,73443,75798,92150,134750,109134,128141,135695,123513,88501,122558,87043,99107,53007,54627,40733,45476,15196
2020-12-16,53205,80735,83014,100252,144311,119461,138896,146358,133235,97618,132834,96225,106402,58592,59750,44489,49972,16226
2020-12-23,63131,95589,97966,117746,165768,141594,162765,169754,155298,118135,155419,115382,122572,70662,71174,52243,59215,18954
2020-12-30,74944,113997,116591,138771,191585,167505,190710,198454,182116,140596,182115,137750,143633,84408,84727,62094,70370,22211
2021-01-06,84769,127670,130911,154601,211805,185472,209912,219048,201470,156017,202138,152877,160285,94516,94926,69621,79186,24675
2021-01-13,85668,129207,132503,154943,214441,182924,209238,219400,200731,153183,204297,151877,163937,94461,95742,70552,80676,24600
2021-01-20,79303,119665,122077,142683,201332,163846,189811,200704,183221,135660,188174,137276,154537,85674,87570,65568,74821,22601
2021-01-27,68692,103697,106058,123124,179994,137991,162140,173810,157572,111511,162511,116375,138569,72469,75939,57453,65159,19439
2021-02-03,57469,86651,88187,102239,155942,110947,132660,145356,130287,88181,135874,94342,119946,58903,63123,48353,54359,16110
2021-02-10,46589,70453,71541,82730,130906,87531,106524,118232,105008,67801,110391,74186,100782,46718,50855,39533,43992,12965
2021-02-17,37218,56053,57120,65678,108503,66931,83248,94610,83230,51079,88458,57349,83581,36332,40011,31705,35042,10198
2021-02-24,29284,43857,45068,51503,88601,51058,64594,74624,65055,38428,69512,43730,68613,27855,31215,25059,27560,7895
2021-03-03,22825,34201,35119,39740,71682,38602,49841,58441,50582,28759,54519,33058,55816,21230,24229,19578,21445,6097
2021-03-10,17782,26788,27416,30903,58180,29478,38376,45534,39305,21494,42524,25151,45384,16260,18720,15378,16650,4808
2021-03-17,13960,20920,21375,24281,47326,22502,29710,35775,30690,16504,33540,19478,36861,12456,14685,12163,13080,3777
2021-03-24,11034,16190,16736,19228,38136,17281,23144,28111,23948,12690,26420,15084,29895,9691,11430,9475,10395,2940
2021-03-31,8661,12668,13103,15178,30772,13303,18037,21907,18513,9692,20703,11579,24024,7472,8817,7490,8117,2366
2021-04-07,6681,9820,10238,11777,24482,10164,13851,17081,14449,7388,16232,8927,19371,5823,6850,5943,6369,1785
2021-04-14,5227,7602,7851,9155,19529,7730,10600,13365,11110,5712,12602,6771,15539,4469,5232,4638,4970,1352
2021-04-21,4055,6010,6101,7100,15440,5918,8184,10474,8498,4388,9697,5243,12359,3423,4036,3565,3895,1067
2021-04-28,3158,4771,4754,5567,12285,4594,6461,8235,6593,3511,7666,4137,10017,2668,3179,2807,3044,835
2021-05-05,2571,3868,3869,4460,10038,3719,5218,6618,5296,2820,6250,3306,8078,2189,2545,2302,2445,654
2021-05-12,2095,3228,3238,3737,8251,3192,4370,5408,4497,2445,5149,2766,6676,1891,2091,1914,2060,550
2021-05-19,1907,2864,2871,3281,7071,2997,3896,4779,3986,2400,4627,2638,5715,1705,1919,1696,1937,500
2021-05-26,1865,2781,2828,3307,6366,3132,3915,4483,3916,2528,4363,2682,5112,1694,1910,1616,1863,479
2021-06-02,1991,3000,2959,3497,6154,3450,4171,4677,4163,2897,4531,3016,4955,1914,2118,1674,1897,529
