date,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0
2020-02-19,0,4,2,1,2,2,8,3,1,1,4,2,0,1,1,0,0,1
2020-02-26,2,6,9,4,14,9,12,13,8,14,10,5,5,4,1,2,9,2
2020-03-04,23,19,30,27,52,56,60,47,53,42,42,36,27,17,16,16,7,5
2020-03-11,51,88,92,113,157,168,188,197,196,133,150,113,87,75,62,53,55,18
2020-03-18,141,266,261,325,396,490,507,541,473,381,447,348,299,175,182,120,154,60
2020-03-25,351,504,581,737,877,1088,1120,1085,1015,908,1007,770,575,436,352,264,307,115
2020-04-01,522,778,864,1078,1317,1561,1742,1686,1619,1306,1461,1195,950,646,652,440,475,189
2020-04-08,564,888,906,1234,1485,1697,1933,1830,1765,1495,1566,1317,1018,808,728,427,525,191
2020-04-15,551,842,950,1072,1305,1559,1682,1690,1476,1363,1498,1133,950,712,623,395,489,207
2020-04-22,460,652,653,844,1094,1247,1294,1307,1250,1079,1165,980,757,572,485,344,368,162
2020-04-29,283,491,520,665,837,942,1023,1003,913,854,881,696,540,397,364,249,302,108
2020-05-06,239,384,417,493,600,756,772,756,736,615,651,541,472,362,282,209,226,88
2020-05-13,184,298,271,378,466,551,620,550,545,504,483,389,325,242,234,168,150,86
2020-05-20,143,207,229,287,379,438,427,457,457,341,402,299,232,185,181,125,125,60
2020-05-27,120,148,171,264,271,333,350,336,299,261,314,258,214,137,132,89,104,42
2020-06-03,84,141,139,199,214,253,290,279,232,219,229,208,157,135,95,59,82,30
2020-06-10,75,105,117,150,177,191,225,197,213,177,183,141,97,98,87,60,64,15
2020-06-17,44,74,81,107,134,158,183,169,143,149,157,109,96,60,55,41,63,25
2020-06-24,41,64,68,84,107,139,128,139,116,113,116,96,68,59,48,19,33,19
2020-07-01,42,52,62,70,84,97,108,96,104,99,80,86,62,57,40,29,37,17
2020-07-08,30,48,47,53,75,86,65,86,66,70,78,60,51,31,41,18,21,16
2020-07-15,28,52,32,52,46,69,68,62,52,60,61,50,51,17,32,20,25,7
2020-07-22,18,30,37,48,53,65,62,64,36,57,42,41,34,20,28,21,18,9
2020-07-29,14,35,22,35,36,51,58,49,42,52,43,42,39,25,21,10,21,5
2020-08-05,19,29,19,34,39,63,44,46,62,54,43,50,30,18,18,17,21,7
2020-08-12,16,27,24,30,46,60,53,54,38,45,61,32,34,23,16,14,17,6
2020-08-19,12,27,26,43,42,54,69,55,62,59,39,59,41,31,30,15,21,7
2020-08-26,22,36,32,40,60,81,73,67,64,55,64,55,38,32,33,26,27,4
2020-09-02,28,34,45,70,80,103,95,98,88,87,74,78,55,52,46,24,26,9
2020-09-09,40,73,79,103,94,114,137,113,124,118,110,99,80,68,56,32,41,21
2020-09-16,61,118,85,144,142,189,203,193,180,165,153,121,113,77,66,55,60,28
2020-09-23,99,153,163,226,238,285,261,264,262,253,281,229,159,118,113,75,76,30
2020-09-30,131,232,241,305,323,421,445,408,389,349,387,288,242,209,174,119,126,47
2020-10-07,251,337,339,423,538,571,603,594,601,479,585,441,359,293,249,158,205,74
2020-10-14,276,453,413,529,660,742,823,820,738,583,714,612,469,349,344,224,229,79
2020-10-21,323,536,529,665,798,923,1046,965,888,807,856,690,581,385,381,268,308,107
2020-10-28,405,615,615,743,949,1099,1178,1111,1072,929,1017,818,648,484,450,305,377,137
2020-11-04,441,682,666,882,1029,1197,1252,1205,1184,1060,1105,925,727,524,501,360,411,130
2020-11-11,453,703,731,887,1144,1232,1326,1318,1185,1095,1153,962,817,578,493,371,447,147
2020-11-18,476,692,741,888,1034,1283,1325,1317,1188,1067,1152,979,810,613,528,382,422,159
2020-11-25,464,703,670,845,955,1152,1218,1153,1160,1016,1092,875,706,532,526,383,437,157
2020-12-02,409,584,649,861,926,1035,1145,1145,1025,985,1004,850,672,522,463,322,353,137
2020-12-09,419,605,637,750,919,1048,1136,1141,1005,921,943,812,671,501,474,305,359,134
2020-12-16,423,611,663,791,982,1145,1177,1093,1105,940,1121,895,719,583,533,367,433,132
2020-12-23,511,762,817,983,1140,1288,1365,1367,1290,1163,1274,1013,868,640,555,381,473,183
2020-12-30,603,971,933,1233,1363,1597,1644,1527,1555,1389,1595,1260,980,796,738,494,629,179
2021-01-06,695,1019,1114,1275,1474,1767,1953,1842,1724,1568,1690,1412,1144,854,845,581,632,214
2021-01-13,707,1152,1163,1340,1583,1792,1892,1875,1664,1589,1677,1510,1220,895,892,617,704,192
2021-01-20,700,989,1090,1281,1439,1545,1759,1634,1661,1533,1595,1343,1084,883,784,550,667,212
2021-01-27,614,924,899,1072,1165,1407,1430,1489,1418,1244,1338,1138,996,737,639,502,602,177
2021-02-03,463,750,763,821,995,1161,1201,1150,1124,1026,1039,942,772,627,556,384,439,147
2021-02-10,367,567,565,705,772,856,863,892,837,805,876,804,575,481,457,319,353,105
2021-02-17,323,469,439,540,551,661,698,713,688,582,641,548,446,361,334,230,282,80
2021-02-24,234,321,312,397,445,495,484,511,463,453,534,418,333,268,239,182,200,56
2021-03-03,143,223,264,286,326,400,381,399,344,318,339,277,272,202,200,101,167,47
2021-03-10,142,198,179,209,232,275,269,278,234,223,254,219,192,136,152,95,108,34
2021-03-17,99,146,132,153,186,222,187,210,171,193,181,172,150,111,86,86,107,32
2021-03-24,85,121,108,122,121,161,171,167,144,144,173,120,100,84,77,53,63,14
2021-03-31,55,81,77,79,98,128,113,127,109,101,113,105,101,54,51,50,38,10
2021-04-07,37,49,41,75,91,98,72,95,82,88,84,97,76,67,44,35,32,17
2021-04-14,30,52,54,65,59,65,75,59,82,61,71,57,34,43,39,30,37,8
2021-04-21,27,36,39,37,51,51,47,52,52,53,55,38,39,27,23,15,19,8
2021-04-28,11,25,35,29,45,45,42,56,39,31,27,37,41,21,18,14,24,5
2021-05-05,14,26,28,23,30,39,30,26,30,33,36,23,18,24,27,8,13,0
2021-05-12,10,21,21,23,25,19,18,27,17,30,35,19,26,10,16,6,10,5
2021-05-19,16,17,22,22,20,30,35,29,22,23,16,19,15,11,20,9,7,1
2021-05-26,14,21,22,19,28,17,21,28,33,26,27,22,15,16,9,9,11,3
2021-06-02,9,25,26,19,31,35,38,41,41,27,35,41,20,10,23,9,16,1
