date,Data
2020-01-01,0
2020-01-08,0
2020-01-15,0
2020-01-22,0
2020-01-29,1
2020-02-05,3
2020-02-12,8
2020-02-19,41
2020-02-26,238
2020-03-04,922
2020-03-11,2601
2020-03-18,6020
2020-03-25,10243
2020-04-01,11078
2020-04-08,8096
2020-04-15,5256
2020-04-22,3591
2020-04-29,2734
2020-05-06,2043
2020-05-13,1571
2020-05-20,1352
2020-05-27,1169
2020-06-03,993
2020-06-10,902
2020-06-17,749
2020-06-24,641
2020-07-01,536
2020-07-08,491
2020-07-15,526
2020-07-22,505
2020-07-29,590
2020-08-05,742
2020-08-12,968
2020-08-19,1314
2020-08-26,1931
2020-09-02,3005
2020-09-09,4996
2020-09-16,8096
2020-09-23,13602
2020-09-30,21499
2020-10-07,31403
2020-10-14,41216
2020-10-21,52086
2020-10-28,61656
2020-11-04,66553
2020-11-11,65765
2020-11-18,56582
2020-11-25,48081
2020-12-02,47502
2020-12-09,53386
2020-12-16,67137
2020-12-23,84435
2020-12-30,94149
2021-01-06,89354
2021-01-13,71175
2021-01-20,50473
2021-01-27,33770
2021-02-03,22416
2021-02-10,14393
2021-02-17,9622
2021-02-24,6275
2021-03-03,4261
2021-03-10,3152
2021-03-17,2261
2021-03-24,1565
2021-03-31,1115
2021-04-07,689
2021-04-14,478
2021-04-21,311
2021-04-28,230
2021-05-05,188
2021-05-12,195
2021-05-19,186
2021-05-26,258
2021-06-02,259
