date,age0-9,age10-19,age20-29,age30-39,age40-49,age50-59,age60-69,age70-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,1,0,0,0,0,0,0,0
2020-02-05,0,0,0,1,1,1,0,0,0,0
2020-02-12,0,0,3,0,2,1,0,0,2,0
2020-02-19,2,2,5,4,8,11,8,0,1,0
2020-02-26,9,11,33,19,29,71,37,15,12,2
2020-03-04,41,47,107,120,145,198,168,49,33,14
2020-03-11,69,115,372,323,368,529,554,119,99,53
2020-03-18,137,230,1059,663,780,1138,1296,269,295,153
2020-03-25,226,401,2154,987,1540,1790,1987,472,460,226
2020-04-01,211,422,2724,975,1639,1825,2045,501,487,249
2020-04-08,135,360,1953,709,1211,1427,1352,429,332,188
2020-04-15,105,256,1335,401,899,891,747,289,216,117
2020-04-22,60,166,963,274,593,597,504,199,147,88
2020-04-29,54,120,822,190,475,428,334,136,118,57
2020-05-06,34,92,668,129,360,290,253,87,86,44
2020-05-13,20,64,580,95,315,204,147,76,48,22
2020-05-20,19,59,480,81,246,189,133,87,37,21
2020-05-27,18,38,356,78,270,186,111,71,32,9
2020-06-03,20,54,236,62,263,157,71,90,29,11
2020-06-10,16,57,195,66,272,124,59,83,20,10
2020-06-17,17,42,128,35,245,127,64,73,15,3
2020-06-24,22,48,128,39,161,91,51,76,14,11
2020-07-01,9,30,101,21,163,84,50,57,9,12
2020-07-08,14,40,94,27,127,73,31,66,17,2
2020-07-15,10,47,129,21,157,57,37,55,10,3
2020-07-22,5,39,120,16,144,74,45,44,14,4
2020-07-29,6,61,133,29,161,91,50,50,6,3
2020-08-05,8,86,132,33,205,138,65,54,18,3
2020-08-12,15,116,170,31,265,200,72,68,25,6
2020-08-19,23,167,189,52,381,280,96,88,24,14
2020-08-26,23,172,229,70,737,344,138,160,39,19
2020-09-02,44,255,343,111,1172,596,210,199,54,21
2020-09-09,47,447,484,196,2004,973,323,404,75,43
2020-09-16,106,722,666,308,3378,1564,571,582,136,63
2020-09-23,193,1316,1059,487,6008,2491,874,854,214,106
2020-09-30,298,2196,1629,736,9031,4206,1506,1416,319,162
2020-10-07,478,3773,2269,1066,12526,6368,2209,2019,472,223
2020-10-14,671,5543,3085,1339,15522,8476,3128,2581,605,266
2020-10-21,856,8291,4047,1604,17520,11120,4249,3324,727,348
2020-10-28,1070,11646,4811,1797,18636,13538,5092,3811,843,412
2020-11-04,1203,14644,4636,1925,18600,14281,5608,4271,933,452
2020-11-11,1114,17176,4274,1796,16893,13661,5436,4024,985,406
2020-11-18,1063,17060,3401,1597,13094,11131,4535,3426,870,405
2020-11-25,904,16218,2496,1245,10437,9142,3723,2940,683,293
2020-12-02,903,17313,2455,1216,9710,8693,3450,2801,692,269
2020-12-09,998,19467,3056,1400,10520,9562,3984,3267,836,296
2020-12-16,1395,23375,4305,1680,13251,12297,5148,4235,1096,355
2020-12-23,1998,27235,6195,2270,16325,16339,6812,5382,1425,454
2020-12-30,2166,28236,7664,2656,17527,20175,7554,6047,1585,539
2021-01-06,2233,24025,8016,2498,16209,21230,7467,5682,1477,517
2021-01-13,1754,17471,6755,1965,12747,18573,6021,4359,1119,411
2021-01-20,1289,11112,5164,1463,9019,13894,4465,3008,746,313
2021-01-27,882,6628,3526,1007,6137,9629,3374,1922,471,194
2021-02-03,578,4007,2429,702,4263,6416,2360,1242,276,143
2021-02-10,365,2481,1526,418,2718,4377,1527,711,190,80
2021-02-17,202,1582,986,253,1788,3157,1004,474,123,53
2021-02-24,122,959,666,144,1072,2125,760,301,91,35
2021-03-03,68,713,434,124,686,1511,457,198,54,16
2021-03-10,45,545,314,78,436,1189,342,155,32,16
2021-03-17,35,431,237,53,302,799,244,110,41,9
2021-03-24,24,313,141,59,215,484,178,127,18,6
2021-03-31,13,237,139,30,129,355,126,70,14,2
2021-04-07,9,155,68,17,79,230,59,57,14,1
2021-04-14,3,116,39,12,45,170,46,39,5,3
2021-04-21,1,79,18,10,29,118,28,24,3,1
2021-04-28,0,53,21,6,25,95,20,7,2,1
2021-05-05,3,52,12,3,16,81,9,11,0,1
2021-05-12,4,39,23,9,12,93,7,8,0,0
2021-05-19,2,29,14,4,22,95,10,8,2,0
2021-05-26,4,48,27,4,22,125,11,14,2,1
2021-06-02,2,43,26,7,22,126,23,8,2,0
