bp,Par0-9,Par10-19,Par20-29,Par30-39,Par40-49,Par50-59,Par60-69,Par70-79,Par80+,ParCH,Value0-9,Value10-19,Value20-29,Value30-39,Value40-49,Value50-59,Value60-69,Value70-79,Value80+,ValueCH
start,Mixing factor 0-9start,Mixing factor 10-19start,Mixing factor 20-29start,Mixing factor 30-39start,Mixing factor 40-49start,Mixing factor 50-59start,Mixing factor 60-69start,Mixing factor 70-79start,Mixing factor 80+start,Mixing factor CHstart,0.875309,1.02847,0.902911,0.902972,0.983853,1.37184,1.10011,0.874281,0.781753,*
2020-02-26,Mixing factor 0-92020-02-26,Mixing factor 10-192020-02-26,Mixing factor 20-292020-02-26,Mixing factor 30-392020-02-26,Mixing factor 40-492020-02-26,Mixing factor 50-592020-02-26,Mixing factor 60-692020-02-26,Mixing factor 70-792020-02-26,Mixing factor 80+2020-02-26,Mixing factor CH2020-02-26,0.766708,0.702642,0.771839,0.889653,0.99109,1.51227,1.48876,0.835836,1.01833,*
2020-03-11,Mixing factor 0-92020-03-11,Mixing factor 10-192020-03-11,Mixing factor 20-292020-03-11,Mixing factor 30-392020-03-11,Mixing factor 40-492020-03-11,Mixing factor 50-592020-03-11,Mixing factor 60-692020-03-11,Mixing factor 70-792020-03-11,Mixing factor 80+2020-03-11,Mixing factor CH2020-03-11,0.600912,0.651875,1.09952,0.836234,0.89481,1.26514,1.89285,0.701541,1.07155,*
2020-03-23,Mixing factor 0-92020-03-23,Mixing factor 10-192020-03-23,Mixing factor 20-292020-03-23,Mixing factor 30-392020-03-23,Mixing factor 40-492020-03-23,Mixing factor 50-592020-03-23,Mixing factor 60-692020-03-23,Mixing factor 70-792020-03-23,Mixing factor 80+2020-03-23,Mixing factor CH2020-03-23,0.648144,0.695789,1.32352,0.604159,1.03991,1.12039,1.77391,0.78413,1.05164,*
2020-04-08,Mixing factor 0-92020-04-08,Mixing factor 10-192020-04-08,Mixing factor 20-292020-04-08,Mixing factor 30-392020-04-08,Mixing factor 40-492020-04-08,Mixing factor 50-592020-04-08,Mixing factor 60-692020-04-08,Mixing factor 70-792020-04-08,Mixing factor 80+2020-04-08,Mixing factor CH2020-04-08,0.570792,0.788364,1.23528,0.563238,1.15227,1.22651,1.38998,1.06424,1.11628,*
2020-05-06,Mixing factor 0-92020-05-06,Mixing factor 10-192020-05-06,Mixing factor 20-292020-05-06,Mixing factor 30-392020-05-06,Mixing factor 40-492020-05-06,Mixing factor 50-592020-05-06,Mixing factor 60-692020-05-06,Mixing factor 70-792020-05-06,Mixing factor 80+2020-05-06,Mixing factor CH2020-05-06,0.540106,0.733333,1.54961,0.45904,1.34423,1.06477,1.26125,1.02969,1.08567,*
2020-06-03,Mixing factor 0-92020-06-03,Mixing factor 10-192020-06-03,Mixing factor 20-292020-06-03,Mixing factor 30-392020-06-03,Mixing factor 40-492020-06-03,Mixing factor 50-592020-06-03,Mixing factor 60-692020-06-03,Mixing factor 70-792020-06-03,Mixing factor 80+2020-06-03,Mixing factor CH2020-06-03,0.659583,0.810288,1.06956,0.447405,1.79949,1.0561,0.834503,1.62199,0.70607,*
2020-07-01,Mixing factor 0-92020-07-01,Mixing factor 10-192020-07-01,Mixing factor 20-292020-07-01,Mixing factor 30-392020-07-01,Mixing factor 40-492020-07-01,Mixing factor 50-592020-07-01,Mixing factor 60-692020-07-01,Mixing factor 70-792020-07-01,Mixing factor 80+2020-07-01,Mixing factor CH2020-07-01,0.552807,0.885937,1.39025,0.312097,1.65536,0.885296,0.987688,1.73213,0.641342,*
2020-07-29,Mixing factor 0-92020-07-29,Mixing factor 10-192020-07-29,Mixing factor 20-292020-07-29,Mixing factor 30-392020-07-29,Mixing factor 40-492020-07-29,Mixing factor 50-592020-07-29,Mixing factor 60-692020-07-29,Mixing factor 70-792020-07-29,Mixing factor 80+2020-07-29,Mixing factor CH2020-07-29,0.413994,1.18868,1.18374,0.275451,1.50629,1.39422,1.04422,1.21264,0.643062,*
2020-08-26,Mixing factor 0-92020-08-26,Mixing factor 10-192020-08-26,Mixing factor 20-292020-08-26,Mixing factor 30-392020-08-26,Mixing factor 40-492020-08-26,Mixing factor 50-592020-08-26,Mixing factor 60-692020-08-26,Mixing factor 70-792020-08-26,Mixing factor 80+2020-08-26,Mixing factor CH2020-08-26,0.37152,0.915717,0.998407,0.269375,2.08496,1.36013,0.922376,1.35018,0.514932,*
2020-09-23,Mixing factor 0-92020-09-23,Mixing factor 10-192020-09-23,Mixing factor 20-292020-09-23,Mixing factor 30-392020-09-23,Mixing factor 40-492020-09-23,Mixing factor 50-592020-09-23,Mixing factor 60-692020-09-23,Mixing factor 70-792020-09-23,Mixing factor 80+2020-09-23,Mixing factor CH2020-09-23,0.371185,1.06667,0.786847,0.259016,2.31286,1.35059,0.924921,1.19022,0.456128,*
2020-10-21,Mixing factor 0-92020-10-21,Mixing factor 10-192020-10-21,Mixing factor 20-292020-10-21,Mixing factor 30-392020-10-21,Mixing factor 40-492020-10-21,Mixing factor 50-592020-10-21,Mixing factor 60-692020-10-21,Mixing factor 70-792020-10-21,Mixing factor 80+2020-10-21,Mixing factor CH2020-10-21,0.469507,1.34866,0.817626,0.2036,1.78213,1.49813,1.08365,1.1002,0.39917,*
2020-11-18,Mixing factor 0-92020-11-18,Mixing factor 10-192020-11-18,Mixing factor 20-292020-11-18,Mixing factor 30-392020-11-18,Mixing factor 40-492020-11-18,Mixing factor 50-592020-11-18,Mixing factor 60-692020-11-18,Mixing factor 70-792020-11-18,Mixing factor 80+2020-11-18,Mixing factor CH2020-11-18,0.602343,1.68044,0.600829,0.213506,1.53659,1.43931,1.09694,1.19384,0.432885,*
2020-12-16,Mixing factor 0-92020-12-16,Mixing factor 10-192020-12-16,Mixing factor 20-292020-12-16,Mixing factor 30-392020-12-16,Mixing factor 40-492020-12-16,Mixing factor 50-592020-12-16,Mixing factor 60-692020-12-16,Mixing factor 70-792020-12-16,Mixing factor 80+2020-12-16,Mixing factor CH2020-12-16,0.663349,1.51348,0.792593,0.198648,1.47852,1.38362,1.11125,1.20863,0.482354,*
2021-01-06,Mixing factor 0-92021-01-06,Mixing factor 10-192021-01-06,Mixing factor 20-292021-01-06,Mixing factor 30-392021-01-06,Mixing factor 40-492021-01-06,Mixing factor 50-592021-01-06,Mixing factor 60-692021-01-06,Mixing factor 70-792021-01-06,Mixing factor 80+2021-01-06,Mixing factor CH2021-01-06,0.711119,1.47516,0.805911,0.176526,1.29056,1.84733,0.950755,1.02334,0.341906,*
2021-01-27,Mixing factor 0-92021-01-27,Mixing factor 10-192021-01-27,Mixing factor 20-292021-01-27,Mixing factor 30-392021-01-27,Mixing factor 40-492021-01-27,Mixing factor 50-592021-01-27,Mixing factor 60-692021-01-27,Mixing factor 70-792021-01-27,Mixing factor 80+2021-01-27,Mixing factor CH2021-01-27,0.688107,1.36973,0.781611,0.165763,1.43566,1.88658,1.09753,0.854098,0.234143,*
2021-02-24,Mixing factor 0-92021-02-24,Mixing factor 10-192021-02-24,Mixing factor 20-292021-02-24,Mixing factor 30-392021-02-24,Mixing factor 40-492021-02-24,Mixing factor 50-592021-02-24,Mixing factor 60-692021-02-24,Mixing factor 70-792021-02-24,Mixing factor 80+2021-02-24,Mixing factor CH2021-02-24,0.424028,1.55465,0.70477,0.14113,1.17615,2.36138,1.08302,0.747024,0.278273,*
2021-03-24,Mixing factor 0-92021-03-24,Mixing factor 10-192021-03-24,Mixing factor 20-292021-03-24,Mixing factor 30-392021-03-24,Mixing factor 40-492021-03-24,Mixing factor 50-592021-03-24,Mixing factor 60-692021-03-24,Mixing factor 70-792021-03-24,Mixing factor 80+2021-03-24,Mixing factor CH2021-03-24,0.379264,1.69655,0.75571,0.167164,0.908993,2.11009,1.09752,1.28245,0.276264,*
2021-04-21,Mixing factor 0-92021-04-21,Mixing factor 10-192021-04-21,Mixing factor 20-292021-04-21,Mixing factor 30-392021-04-21,Mixing factor 40-492021-04-21,Mixing factor 50-592021-04-21,Mixing factor 60-692021-04-21,Mixing factor 70-792021-04-21,Mixing factor 80+2021-04-21,Mixing factor CH2021-04-21,0.296456,1.96904,0.535904,0.182443,0.715983,2.62779,0.901099,1.06467,0.242627,*
2021-05-19,Mixing factor 0-92021-05-19,Mixing factor 10-192021-05-19,Mixing factor 20-292021-05-19,Mixing factor 30-392021-05-19,Mixing factor 40-492021-05-19,Mixing factor 50-592021-05-19,Mixing factor 60-692021-05-19,Mixing factor 70-792021-05-19,Mixing factor 80+2021-05-19,Mixing factor CH2021-05-19,0.23905,1.57576,0.640862,0.181358,0.814616,3.2687,0.589857,0.737055,0.257663,*
end,Mixing factor 0-9end,Mixing factor 10-19end,Mixing factor 20-29end,Mixing factor 30-39end,Mixing factor 40-49end,Mixing factor 50-59end,Mixing factor 60-69end,Mixing factor 70-79end,Mixing factor 80+end,Mixing factor CHend,0.249477,2.02536,0.550993,0.156724,0.657705,3.23943,0.638381,0.531967,0.203808,*
