date,age0-9,age10-19,age20-29,age30-39,age40-49,age50-59,age60-69,age70-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,1,0,1,0,0,0,0,0,0
2020-02-12,0,3,1,2,1,0,2,0,0,0
2020-02-19,1,8,5,5,11,5,2,4,1,0
2020-02-26,6,15,24,20,43,36,21,8,7,4
2020-03-04,35,52,110,132,164,200,147,58,33,15
2020-03-11,128,199,512,583,611,965,823,236,210,65
2020-03-18,402,582,2153,2006,2095,3208,3375,713,776,226
2020-03-25,997,1541,7111,5386,5705,8845,10274,1866,2236,732
2020-04-01,2176,3500,19016,11439,13017,18894,23475,4262,4962,1765
2020-04-08,3820,6192,37639,19332,23825,32783,40536,7853,8694,3309
2020-04-15,5529,9230,57912,27064,35837,47387,57359,11752,12641,5055
2020-04-22,7051,12192,76590,33781,47125,60839,71040,15526,16114,6670
2020-04-29,8312,15011,92420,39437,57220,72630,81470,18918,18984,8194
2020-05-06,9355,17441,105781,43976,65729,82024,89232,21734,21144,9467
2020-05-13,10247,19427,117159,47523,72909,89719,94917,23984,22894,10544
2020-05-20,10902,21112,126820,50248,78812,95791,99102,25833,24226,11452
2020-05-27,11386,22554,134775,52385,83934,100573,102273,27429,25269,12185
2020-06-03,11824,23788,141510,54057,88454,104441,104621,28806,26083,12806
2020-06-10,12184,24905,146954,55488,92530,107639,106340,30002,26686,13269
2020-06-17,12536,25848,151097,56598,96338,110265,107707,31099,27186,13636
2020-06-24,12835,26692,154497,57548,99706,112528,108773,32082,27593,13911
2020-07-01,13101,27456,157145,58282,102892,114324,109589,33033,27899,14165
2020-07-08,13317,28100,159302,58875,105636,115894,110267,33910,28140,14360
2020-07-15,13487,28697,161153,59369,108091,117201,110869,34691,28329,14523
2020-07-22,13626,29267,162876,59820,110183,118285,111391,35397,28512,14622
2020-07-29,13764,29817,164478,60179,112128,119336,111922,36036,28675,14733
2020-08-05,13878,30420,166094,60475,113943,120434,112388,36698,28848,14830
2020-08-12,13997,31116,167589,60804,115826,121723,112945,37315,28996,14928
2020-08-19,14128,31984,169286,61152,118084,123211,113646,37997,29164,15005
2020-08-26,14260,33088,171243,61605,121020,125180,114501,38764,29363,15110
2020-09-02,14442,34435,173381,62125,125376,127847,115583,39800,29637,15216
2020-09-09,14712,36168,176068,62937,132043,131588,117203,41144,30054,15358
2020-09-16,15123,38603,179559,64083,143416,137318,119644,43244,30639,15569
2020-09-23,15831,42283,184519,65974,162148,146472,123365,46613,31469,15905
2020-09-30,16942,48784,191544,69078,194188,161489,129609,51863,32832,16445
2020-10-07,18709,59681,202238,73844,246707,185852,139918,60161,35016,17296
2020-10-14,21663,78086,217933,81046,325977,224241,156134,72733,38196,18561
2020-10-21,26056,107479,240525,90655,434420,280406,179846,90293,42633,20302
2020-10-28,31995,152624,271029,103289,569702,357597,212679,113678,48499,22582
2020-11-04,39754,218682,309751,118507,728789,457539,255310,142876,55842,25400
2020-11-11,49051,309632,354811,135654,903956,576660,306458,177498,64515,28780
2020-11-18,59800,426304,401211,154306,1084700,708041,361860,215678,74070,32521
2020-11-25,70949,562260,444607,172743,1255636,838168,415865,254774,83590,36432
2020-12-02,81661,710657,482768,190038,1410416,960661,465059,291933,92635,40325
2020-12-09,92212,869304,516774,206009,1552022,1074364,510267,326993,101202,43976
2020-12-16,103038,1042724,550515,221861,1685072,1186735,555344,362345,110005,47464
2020-12-23,115166,1237439,589323,238776,1821897,1305845,604660,401539,120086,51129
2020-12-30,130208,1461727,638678,258482,1972757,1444731,664530,446394,132355,55130
2021-01-06,148597,1710162,701732,281502,2138670,1610971,735036,498584,146798,59610
2021-01-13,168937,1966567,774862,306270,2311405,1801864,811075,554559,162157,64442
2021-01-20,189513,2209874,849797,330338,2476014,2000813,884994,609216,176802,69245
2021-01-27,208249,2424157,919460,352535,2622382,2188615,950652,657473,189324,73783
2021-02-03,224603,2604377,978996,371207,2746820,2351770,1005580,698381,199080,77810
2021-02-10,237907,2749653,1027022,386167,2847713,2486684,1049060,731097,206458,81161
2021-02-17,248309,2865356,1064436,397828,2927829,2595141,1082418,756326,211950,83928
2021-02-24,256317,2956799,1092559,406751,2989660,2680151,1107086,775940,216038,86099
2021-03-03,262249,3027957,1112862,413461,3037016,2746357,1125464,790416,218874,87785
2021-03-10,266540,3082954,1127467,418347,3072051,2797489,1138579,801379,220903,89118
2021-03-17,269556,3126026,1137973,421797,3097972,2836310,1147927,809590,222416,90187
2021-03-24,271827,3159537,1145696,424391,3116925,2865528,1154692,815691,223560,91004
2021-03-31,273378,3185466,1151273,426263,3131040,2887618,1159577,820445,224350,91636
2021-04-07,274424,3205575,1155220,427721,3141172,2904228,1163090,824034,224932,92177
2021-04-14,275239,3221360,1158033,428727,3148551,2916219,1165555,826706,225333,92529
2021-04-21,275853,3233462,1159942,429459,3153752,2925057,1167171,828759,225587,92863
2021-04-28,276243,3242682,1161356,429975,3157560,2931586,1168320,830170,225773,93093
2021-05-05,276539,3249779,1162321,430372,3160393,2936366,1169145,831289,225908,93247
2021-05-12,276748,3255348,1162988,430667,3162364,2939963,1169666,832053,226014,93387
2021-05-19,276927,3259730,1163440,430877,3163863,2942815,1170021,832638,226096,93472
2021-05-26,277041,3263142,1163802,431019,3164965,2945056,1170320,833061,226146,93553
2021-06-02,277121,3265730,1164103,431164,3165771,2947041,1170555,833386,226187,93602
