date,age0-9,age10-19,age20-29,age30-39,age40-49,age50-59,age60-69,age70-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,2,0,0,0,0,0,0,0,0
2020-01-29,0,4,1,1,2,3,0,0,0,0
2020-02-05,0,5,5,5,9,8,1,2,1,0
2020-02-12,8,9,20,23,28,34,17,6,5,1
2020-02-19,28,41,96,94,131,209,124,46,38,16
2020-02-26,104,205,403,424,527,823,606,154,156,59
2020-03-04,288,550,1445,1512,1600,2523,2255,533,507,246
2020-03-11,653,1193,4789,3352,3766,5590,6136,1309,1360,651
2020-03-18,1103,2134,11317,5396,7732,9473,10712,2404,2471,1192
2020-03-25,1260,2511,14873,5267,8936,10344,11189,2855,2684,1435
2020-04-01,760,1718,9882,3274,6201,6967,6486,2044,1667,980
2020-04-08,503,1192,6493,1980,4218,4410,3657,1451,1100,592
2020-04-15,320,826,4669,1296,3014,3080,2321,932,748,448
2020-04-22,212,600,3760,833,2140,2042,1556,695,547,313
2020-04-29,153,430,3185,590,1634,1483,1073,452,368,201
2020-05-06,112,285,2847,502,1406,1087,801,320,262,132
2020-05-13,99,247,2356,391,1288,901,614,351,220,96
2020-05-20,71,274,1909,364,1418,824,484,338,151,75
2020-05-27,116,283,1310,344,1345,745,386,415,119,47
2020-06-03,84,269,929,286,1330,659,277,404,115,34
2020-06-10,81,219,722,200,1181,536,244,372,81,26
2020-06-17,68,205,588,158,1009,475,220,329,80,33
2020-06-24,65,157,580,128,852,397,209,354,70,28
2020-07-01,50,198,598,104,684,324,192,277,70,18
2020-07-08,58,189,619,111,655,323,172,229,55,17
2020-07-15,30,258,668,100,694,420,197,220,51,15
2020-07-22,41,329,654,113,751,524,237,231,64,20
2020-07-29,51,449,713,144,970,740,290,240,77,24
2020-08-05,48,562,785,163,1283,972,368,349,98,41
2020-08-12,75,765,1027,254,2085,1305,526,465,104,60
2020-08-19,134,925,1247,378,3318,1850,656,642,182,65
2020-08-26,209,1254,1578,581,5590,2732,1026,1052,268,131
2020-09-02,330,2024,2237,846,9357,4405,1543,1673,407,186
2020-09-09,588,3381,3227,1453,16035,7414,2686,2739,595,310
2020-09-16,902,6209,4927,2387,28125,12217,4275,4308,1001,465
2020-09-23,1458,11130,7515,3800,45792,20304,7330,6949,1528,779
2020-09-30,2390,18492,11420,5535,64278,31013,11226,10002,2318,1132
2020-10-07,3216,27746,15473,6704,78000,42714,15812,13265,3057,1437
2020-10-14,4349,40950,20071,8142,89172,55604,21189,16447,3707,1775
2020-10-21,5222,57581,24276,9287,94542,67667,26250,18872,4453,1936
2020-10-28,5947,75173,24781,9693,94506,73261,28475,20980,5038,2291
2020-11-04,6075,87240,22031,9523,85362,69513,27708,21125,4936,2215
2020-11-11,5298,87593,16360,8001,66399,56936,23210,17668,4275,1954
2020-11-18,4187,79558,11497,5983,48577,43137,17557,14048,3282,1467
2020-11-25,4304,83080,11652,5952,45362,41036,16337,13480,3287,1361
2020-12-02,4871,95026,14564,6590,51010,46766,19262,15586,3953,1408
2020-12-09,6692,116485,20925,8509,64471,60134,25163,20277,5457,1748
2020-12-16,9707,140051,31188,11513,83405,81696,34202,27644,7452,2348
2020-12-23,11529,144734,39759,13380,91443,103723,39753,31143,8323,2729
2020-12-30,11607,125937,41571,13068,84153,112127,38281,29365,7621,2740
2021-01-06,9081,86297,34992,10251,63010,95461,30302,22029,5541,2137
2021-01-13,6369,52543,25248,7151,43306,68195,22547,14607,3587,1415
2021-01-20,4359,30814,17075,4988,30334,46147,16127,9416,2187,980
2021-01-27,2849,18241,11328,3211,20303,30738,10999,5937,1317,580
2021-02-03,1674,11445,7498,2023,12915,21082,7515,3515,877,382
2021-02-10,993,7192,4633,1268,7823,14730,5092,2266,587,239
2021-02-17,536,4823,2978,788,4812,10091,3314,1479,416,147
2021-02-24,312,3311,1896,490,3064,7213,2218,968,277,103
2021-03-03,217,2514,1395,360,2083,5366,1574,740,207,70
2021-03-10,132,1996,1047,316,1402,3771,1229,717,152,59
2021-03-17,90,1504,782,218,1009,2554,846,533,113,33
2021-03-24,87,1068,514,155,586,1742,577,443,76,18
2021-03-31,43,817,309,98,364,1117,372,261,39,13
2021-04-07,18,535,158,73,201,782,205,150,34,14
2021-04-14,20,394,104,45,141,528,130,96,23,2
2021-04-21,11,308,82,36,103,443,114,60,18,3
2021-04-28,14,228,59,24,98,420,68,49,12,2
2021-05-05,6,206,66,27,81,388,63,50,8,2
2021-05-12,10,182,72,30,97,487,56,40,9,2
2021-05-19,11,166,94,33,107,578,93,33,5,3
2021-05-26,8,197,107,39,103,702,74,44,12,1
2021-06-02,9,284,112,46,148,873,98,45,17,3
