date,age0-9,age10-19,age20-29,age30-39,age40-49,age50-59,age60-69,age70-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,1,0,1,1,3,0,0,0,0
2020-02-05,0,0,0,3,7,8,1,1,1,0
2020-02-12,2,6,11,15,23,40,15,4,6,0
2020-02-19,22,46,109,98,116,181,100,30,40,9
2020-02-26,114,263,495,566,664,1005,633,183,171,45
2020-03-04,633,1169,2516,2989,3312,5128,3641,1099,930,348
2020-03-11,2136,3932,11014,11454,12065,18374,15820,4061,3743,1572
2020-03-18,5143,9693,36486,28453,31666,45873,46587,10500,10434,5117
2020-03-25,10039,19135,91779,50621,66318,87042,94878,21535,21136,10427
2020-04-01,13722,26814,145662,63263,95334,116354,126694,31132,29068,14527
2020-04-08,13199,27251,151449,59479,97136,114342,119003,31902,28631,14635
2020-04-15,11179,24436,133106,49304,85185,98276,95849,28655,24622,12863
2020-04-22,8893,20148,110151,38286,70473,78853,72971,23545,19747,10468
2020-04-29,6787,16128,89246,28932,56310,60859,53982,18524,15193,8097
2020-05-06,5136,12431,73032,21666,44612,45738,39520,14340,11514,6175
2020-05-13,3907,9638,60335,16096,35700,34773,28954,10942,8610,4571
2020-05-20,3026,7646,49904,12261,29356,26875,21263,8701,6437,3421
2020-05-27,2495,6246,40761,9587,25629,21293,15815,7359,4872,2424
2020-06-03,2132,5316,32397,7665,23122,17134,11764,6639,3762,1779
2020-06-10,1841,4618,24614,6144,21018,13748,8773,6176,2840,1254
2020-06-17,1586,4077,18774,4962,18645,11021,6698,5671,2188,864
2020-06-24,1360,3642,14592,3938,16305,8862,5350,5154,1755,682
2020-07-01,1127,3217,11864,3138,14079,7110,4300,4658,1427,512
2020-07-08,920,2841,9914,2483,12206,5855,3481,4121,1181,374
2020-07-15,824,2663,8724,2045,10365,5118,3012,3637,968,286
2020-07-22,711,2647,7817,1708,9309,4838,2656,3219,869,256
2020-07-29,608,2970,7405,1497,8891,5195,2545,2892,776,233
2020-08-05,539,3545,7329,1474,9077,6051,2754,2793,818,241
2020-08-12,571,4400,7448,1566,10587,7324,3138,3051,888,281
2020-08-19,679,5516,7950,1874,14144,9341,3748,3631,1056,362
2020-08-26,911,6944,9088,2444,20861,12466,4755,4735,1360,460
2020-09-02,1233,8806,10906,3321,32120,17658,6504,6697,1776,694
2020-09-09,1877,12390,14291,4967,51150,25876,9368,9959,2405,1032
2020-09-16,2866,19670,19374,7687,83476,39994,14297,14987,3539,1605
2020-09-23,4620,32054,27364,12203,137924,62878,22255,23195,5388,2447
2020-09-30,7528,53568,39129,19257,221014,99330,35376,35608,8076,3809
2020-10-07,11533,86341,55980,27887,319285,150400,53979,51727,11676,5470
2020-10-14,16418,131103,76162,36485,406907,209925,76177,68984,15725,7342
2020-10-21,21537,191074,99149,44046,479445,274120,102510,86443,19769,9070
2020-10-28,26841,265648,120500,50572,526340,335736,127870,101931,23512,10545
2020-11-04,31219,347040,133274,55021,542979,377864,146726,113491,26227,11679
2020-11-11,33493,419283,132113,55950,524098,390468,152965,118109,27649,12157
2020-11-18,32600,456808,118208,52415,466512,366437,144934,112281,26439,11475
2020-11-25,29373,459308,98122,46029,390409,319533,126587,99735,23645,10104
2020-12-02,27261,459957,83969,40739,331483,281527,111867,89436,21480,8809
2020-12-09,27050,479476,80045,38287,301737,265088,106428,86057,21294,8153
2020-12-16,29753,525864,87951,40063,302996,275442,112482,91900,23532,8223
2020-12-23,36020,596433,109391,46017,333939,316139,130559,106561,28112,9016
2020-12-30,43237,646143,135470,52191,363897,377438,149815,121392,32099,9941
2021-01-06,47003,639285,154742,55298,369146,428871,159601,126712,33205,10350
2021-01-13,45516,563829,154834,52430,337368,431721,150598,117241,30341,9999
2021-01-20,39977,452733,138418,45061,285039,387013,131860,98226,25164,8590
2021-01-27,32665,342110,115198,36613,229794,322486,109659,77179,19513,6795
2021-02-03,25401,249266,91372,28264,178089,255555,87478,58510,14279,5221
2021-02-10,19038,176968,69496,21271,132793,196647,67622,43041,10420,3946
2021-02-17,13564,124029,51378,15528,96454,148675,50809,30633,7414,2847
2021-02-24,9469,86350,37008,11075,68625,110663,37432,21513,5326,2047
2021-03-03,6426,60517,26305,7868,47940,81910,27090,15095,3842,1440
2021-03-10,4368,42603,19024,5547,33133,60253,19530,10810,2738,998
2021-03-17,2974,30021,13720,4025,23287,44240,14154,7941,1941,731
2021-03-24,2014,21618,9962,2926,16266,32305,10396,5888,1391,531
2021-03-31,1341,15541,7123,2140,11185,23327,7550,4417,1002,373
2021-04-07,902,11031,4977,1510,7561,16643,5317,3153,677,269
2021-04-14,650,7796,3407,1014,5109,11720,3761,2280,485,174
2021-04-21,431,5616,2323,739,3422,8281,2566,1647,338,119
2021-04-28,284,4073,1619,527,2293,5979,1736,1151,259,79
2021-05-05,212,2943,1080,373,1587,4400,1172,845,170,57
2021-05-12,149,2149,779,268,1152,3486,823,616,140,39
2021-05-19,118,1596,602,224,884,2942,594,463,95,24
2021-05-26,93,1299,522,189,700,2756,501,379,85,21
2021-06-02,73,1144,482,179,651,2800,443,329,69,18
