date,age0-9,age10-19,age20-29,age30-39,age40-49,age50-59,age60-69,age70-79,age80+,CH
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,1,2,1,1,4,2,1,0
2020-02-26,1,5,4,3,8,7,0,2,4,3
2020-03-04,5,9,27,23,24,32,30,7,5,4
2020-03-11,25,20,87,79,84,150,134,32,29,10
2020-03-18,57,87,273,257,262,377,365,83,102,48
2020-03-25,89,168,763,420,552,768,787,180,167,94
2020-04-01,135,265,1300,595,833,1049,1192,271,283,131
2020-04-08,139,279,1577,641,1010,1177,1245,294,289,135
2020-04-15,125,245,1364,534,885,1017,1040,283,265,154
2020-04-22,94,239,1270,438,776,914,848,264,251,125
2020-04-29,64,167,937,323,647,628,575,213,157,99
2020-05-06,51,129,770,222,476,480,417,167,112,67
2020-05-13,38,103,636,142,338,346,268,112,80,50
2020-05-20,30,67,523,139,330,263,242,79,76,44
2020-05-27,22,76,446,90,279,211,160,67,48,21
2020-06-03,19,62,324,81,223,172,131,57,46,15
2020-06-10,19,58,246,50,227,133,103,65,33,13
2020-06-17,21,43,184,47,180,124,72,55,22,9
2020-06-24,12,42,144,51,155,101,46,52,12,5
2020-07-01,13,31,111,32,142,83,38,38,25,3
2020-07-08,7,24,102,20,117,62,25,54,9,5
2020-07-15,8,28,75,19,105,54,29,42,9,2
2020-07-22,7,22,75,19,103,34,27,31,7,1
2020-07-29,10,26,60,16,99,53,27,39,5,2
2020-08-05,4,27,76,11,90,50,33,19,9,1
2020-08-12,15,43,67,15,85,91,27,26,14,1
2020-08-19,11,49,71,17,115,98,27,36,10,5
2020-08-26,13,67,83,25,167,106,52,48,15,5
2020-09-02,13,77,103,35,309,164,78,55,12,4
2020-09-09,18,110,131,48,451,245,80,86,20,4
2020-09-16,18,192,204,73,771,335,120,135,40,10
2020-09-23,33,285,254,118,1199,634,223,200,55,14
2020-09-30,65,472,353,173,1964,883,306,318,82,31
2020-10-07,110,721,500,272,2905,1346,516,420,111,54
2020-10-14,156,1150,743,334,3916,1945,719,619,156,62
2020-10-21,200,1794,955,449,4782,2613,938,792,177,97
2020-10-28,272,2437,1191,522,5287,3134,1175,973,226,109
2020-11-04,314,3309,1286,521,5462,3770,1429,1152,261,121
2020-11-11,345,4065,1328,570,5397,3946,1508,1167,270,120
2020-11-18,360,4565,1206,547,4823,3854,1490,1149,297,131
2020-11-25,304,4582,1021,490,4159,3501,1334,1043,258,109
2020-12-02,264,4602,898,397,3486,2922,1130,960,230,88
2020-12-09,262,4756,788,405,3021,2632,1092,830,236,83
2020-12-16,287,5151,860,426,3057,2671,1091,880,233,66
2020-12-23,324,5752,1020,426,3284,3048,1255,967,240,88
2020-12-30,386,6282,1333,509,3614,3559,1479,1164,298,102
2021-01-06,466,6504,1539,547,3657,4114,1589,1263,298,105
2021-01-13,467,6021,1579,546,3510,4314,1544,1206,289,121
2021-01-20,389,4852,1430,444,3112,3986,1353,1089,280,95
2021-01-27,355,3877,1201,404,2525,3492,1205,874,204,55
2021-02-03,281,2753,1018,284,1880,2827,931,607,154,55
2021-02-10,229,1881,730,250,1408,2120,706,464,105,34
2021-02-17,171,1373,562,170,973,1569,550,326,96,26
2021-02-24,108,826,358,98,730,1141,399,228,70,28
2021-03-03,69,577,278,75,487,872,273,146,38,14
2021-03-10,30,426,177,46,354,627,182,105,27,9
2021-03-17,23,297,118,40,245,462,142,77,18,4
2021-03-24,10,198,87,24,158,324,92,55,20,6
2021-03-31,16,153,58,19,95,245,76,46,12,3
2021-04-07,11,110,40,11,80,162,56,25,7,2
2021-04-14,6,73,40,9,53,116,48,20,7,1
2021-04-21,3,56,21,4,27,73,21,16,2,0
2021-04-28,3,40,15,9,12,62,12,8,2,0
2021-05-05,5,29,6,3,11,35,18,12,3,0
2021-05-12,1,20,6,2,7,32,9,5,3,0
2021-05-19,1,12,3,0,5,30,4,4,1,0
2021-05-26,0,12,7,1,6,29,4,8,0,0
2021-06-02,1,13,4,2,2,23,2,2,0,0
