Date,Day,Data
2020-08-08,220,931
2020-08-09,221,951.429
2020-08-10,222,957.143
2020-08-11,223,982.714
2020-08-12,224,983.857
2020-08-13,225,980
2020-08-14,226,950.429
2020-08-15,227,910
2020-08-16,228,907.714
2020-08-17,229,935.714
2020-08-18,230,931.143
2020-08-19,231,941.429
2020-08-20,232,965
2020-08-21,233,963.714
2020-08-22,234,982.571
2020-08-23,235,991.571
2020-08-24,236,1005.71
2020-08-25,237,1057.71
2020-08-26,238,1103
2020-08-27,239,1142.29
2020-08-28,240,1161.14
2020-08-29,241,1284.14
2020-08-30,242,1495.29
2020-08-31,243,1688
2020-09-01,244,1861.43
2020-09-02,245,2025.43
2020-09-03,246,2180.86
2020-09-04,247,2493
2020-09-05,248,2647.43
2020-09-06,249,2681.43
2020-09-07,250,2741
2020-09-08,251,2779.29
2020-09-09,252,2783
2020-09-10,253,2733.14
2020-09-11,254,2651.29
2020-09-12,255,2654.29
2020-09-13,256,2780.71
2020-09-14,257,2900.29
2020-09-15,258,3099.14
2020-09-16,259,3374.29
2020-09-17,260,3785.43
2020-09-18,261,4038
2020-09-19,262,4363.71
2020-09-20,263,4659
2020-09-21,264,4988.43
2020-09-22,265,5236.43
2020-09-23,266,5444.86
2020-09-24,267,5646.43
2020-09-25,268,6203.29
2020-09-26,269,6681.57
2020-09-27,270,7351.71
2020-09-28,271,8067.43
2020-09-29,272,8858.57
2020-09-30,273,9440.57
2020-10-01,274,9987.43
2020-10-02,275,10767
2020-10-03,276,11569
2020-10-04,277,12239.3
2020-10-05,278,12811.6
2020-10-06,279,13022.1
2020-10-07,280,13091
2020-10-08,281,13065.6
2020-10-09,282,13375.7
2020-10-10,283,13538.3
2020-10-11,284,13714
2020-10-12,285,13709.6
2020-10-13,286,13925.6
2020-10-14,287,14230.4
2020-10-15,288,14534.3
2020-10-16,289,15363.7
2020-10-17,290,16190.6
2020-10-18,291,16896
2020-10-19,292,17504
2020-10-20,293,17996.7
2020-10-21,294,18150.6
2020-10-22,295,18338.9
2020-10-23,296,18435.7
2020-10-24,297,18316.6
2020-10-25,298,18144.3
2020-10-26,299,18203
2020-10-27,300,18434.4
2020-10-28,301,18569.7
2020-10-29,302,18605
2020-10-30,303,19346.4
2020-10-31,304,19622.9
2020-11-01,305,19698.1
2020-11-02,306,19836.4
2020-11-03,307,20011.7
2020-11-04,308,20341
2020-11-05,309,21000
2020-11-06,310,21029.7
2020-11-07,311,21332.9
2020-11-08,312,21894.7
2020-11-09,313,22049.1
2020-11-10,314,22165.7
2020-11-11,315,22080.4
2020-11-12,316,21545.3
2020-11-13,317,20907.7
2020-11-14,318,20308
2020-11-15,319,19381
2020-11-16,320,18446.3
2020-11-17,321,17447.1
2020-11-18,322,16670.6
2020-11-19,323,16072
2020-11-20,324,15012.9
