Date,Data
2020-01-03,0
2020-01-10,0
2020-01-17,0
2020-01-24,0
2020-01-31,0
2020-02-07,0
2020-02-14,0
2020-02-21,0
2020-02-28,0
2020-03-06,0
2020-03-13,5
2020-03-20,103
2020-03-27,539
2020-04-03,3475
2020-04-10,6213
2020-04-17,8758
2020-04-24,8237
2020-05-01,6035
2020-05-08,3930
2020-05-15,3810
2020-05-22,2589
2020-05-29,1822
2020-06-05,1588
2020-06-12,1114
2020-06-19,783
2020-06-26,606
2020-07-03,532
2020-07-10,366
2020-07-17,295
2020-07-24,217
2020-07-31,193
2020-08-07,152
2020-08-14,139
2020-08-21,138
2020-08-28,101
2020-09-04,78
2020-09-11,99
2020-09-18,139
2020-09-25,215
2020-10-02,321
2020-10-09,438
2020-10-16,670
2020-10-23,978
2020-10-30,1379
2020-11-06,1937
2020-11-13,2466
2020-11-20,2697
2020-11-27,3040
2020-12-04,2835
2020-12-11,2756
2020-12-18,2986
2020-12-25,2912
2021-01-01,3144
2021-01-08,6057
2021-01-15,7245
2021-01-22,8422
2021-01-29,8433
2021-02-05,7320
2021-02-12,5691
2021-02-19,4079
2021-02-26,2914
2021-03-05,2105
2021-03-12,1501
2021-03-19,963
2021-03-26,719
2021-04-02,400
2021-04-09,379
2021-04-16,362
2021-04-23,260
2021-04-30,205
2021-05-07,129
2021-05-14,151
2021-05-21,107
2021-05-28,95
2021-06-04,98
2021-06-11,84
2021-06-18,102
2021-06-25,99
2021-07-02,109
