bp,R,value
start,R_b,2.97
2020-02-26,R_b,2.97
2020-03-11,R_1,3.42
2020-03-23,R_2,3.7
2020-03-23,R_LD,3.54
2020-04-08,R_3,1.01
2020-04-22,R_4,0.451
2020-05-06,R_5,0.447
2020-05-20,R_6,0.498
2020-06-03,R_7,0.58
2020-06-17,R_8,0.747
2020-07-01,R_9,0.963
2020-07-15,R_10,1.2
2020-07-29,R_11,1.35
2020-08-12,R_12,1.45
2020-08-26,R_13,1.57
2020-09-09,R_14,1.62
2020-09-23,R_15,1.8
2020-10-07,R_16,1.34
2020-10-21,R_17,1.39
2020-11-04,R_18,1.11
2020-11-18,R_19,0.838
2020-12-02,R_20,1.59
2020-12-16,R_21,1.76
2020-12-30,R_22,1.37
2021-01-13,R_23,0.917
2021-01-27,R_24,0.792
2021-02-10,R_25,0.837
2021-02-24,R_26,0.887
2021-03-10,R_27,1.19
2021-03-24,R_28,0.917
2021-04-07,R_29,1.06
2021-04-21,R_30,1.21
2021-05-05,R_31,1.39
2021-05-19,R_32,2.07
end,R_33,2.08
