date	S08000015	S08000016	S08000017	S08000029	S08000019	S08000020	S08000031	S08000022	S08000032	S08000024	S08000025	S08000026	S08000030	S08000028
2020-03-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-23	1	0	0	2	0	2	3	1	0	2	0	0	0	0
2020-03-30	10	3	0	6	7	5	16	6	8	9	0	0	3	0
2020-04-06	27	16	12	15	27	11	123	17	48	41	0	1	17	0
2020-04-13	67	31	21	46	59	46	316	30	138	149	2	5	54	0
2020-04-20	118	38	31	85	90	89	513	51	228	258	2	6	105	0
2020-04-27	157	41	34	118	124	129	744	73	311	372	2	6	164	0
2020-05-04	192	45	40	143	156	159	915	89	385	471	2	7	198	0
2020-05-11	220	48	46	162	187	187	1041	98	436	552	2	7	231	0
2020-05-18	241	54	47	177	204	214	1159	104	482	606	2	7	256	0
2020-05-25	262	58	47	181	216	231	1234	108	512	650	2	7	275	0
2020-06-01	276	62	47	189	219	240	1264	112	534	674	2	7	288	0
2020-06-08	282	68	47	192	223	245	1285	114	552	689	2	7	297	0
