date	all
"2020-02-28"	NA
"2020-02-29"	NA
"2020-03-01"	5
"2020-03-02"	11
"2020-03-03"	12
"2020-03-04"	12
"2020-03-05"	18
"2020-03-06"	21
"2020-03-07"	10
"2020-03-08"	11
"2020-03-09"	21
"2020-03-10"	29
"2020-03-11"	29
"2020-03-12"	24
"2020-03-13"	24
"2020-03-14"	21
"2020-03-15"	17
"2020-03-16"	29
"2020-03-17"	40
"2020-03-18"	42
"2020-03-19"	43
"2020-03-20"	74
"2020-03-21"	62
"2020-03-22"	52
"2020-03-23"	95
"2020-03-24"	95
"2020-03-25"	121
"2020-03-26"	155
"2020-03-27"	148
"2020-03-28"	155
"2020-03-29"	136
"2020-03-30"	188
"2020-03-31"	182
"2020-04-01"	212
"2020-04-02"	169
"2020-04-03"	211
"2020-04-04"	152
"2020-04-05"	158
"2020-04-06"	203
"2020-04-07"	172
"2020-04-08"	155
"2020-04-09"	131
"2020-04-10"	117
"2020-04-11"	80
"2020-04-12"	84
"2020-04-13"	102
"2020-04-14"	100
"2020-04-15"	98
"2020-04-16"	97
"2020-04-17"	111
"2020-04-18"	73
"2020-04-19"	59
"2020-04-20"	68
"2020-04-21"	71
"2020-04-22"	67
"2020-04-23"	64
"2020-04-24"	91
"2020-04-25"	42
"2020-04-26"	39
"2020-04-27"	76
"2020-04-28"	71
"2020-04-29"	47
"2020-04-30"	54
"2020-05-01"	54
"2020-05-02"	46
"2020-05-03"	40
"2020-05-04"	52
"2020-05-05"	39
"2020-05-06"	46
"2020-05-07"	37
"2020-05-08"	32
"2020-05-09"	20
"2020-05-10"	28
"2020-05-11"	32
"2020-05-12"	37
"2020-05-13"	26
"2020-05-14"	27
"2020-05-15"	31
"2020-05-16"	18
"2020-05-17"	9
"2020-05-18"	27
"2020-05-19"	12
"2020-05-20"	18
"2020-05-21"	13
"2020-05-22"	15
"2020-05-23"	14
"2020-05-24"	8
"2020-05-25"	12
"2020-05-26"	14
"2020-05-27"	10
"2020-05-28"	7
"2020-05-29"	9
"2020-05-30"	3
"2020-05-31"	10
"2020-06-01"	7
"2020-06-02"	5
"2020-06-03"	8
"2020-06-04"	6
"2020-06-05"	10
"2020-06-06"	5
"2020-06-07"	5
"2020-06-08"	3
"2020-06-09"	4
"2020-06-10"	7
"2020-06-11"	5
"2020-06-12"	3
"2020-06-13"	4
"2020-06-14"	6
