area	easting	northing	area	SIMDQuintile	region	density	age0-14	age15-44	age45-64	age65+	male	female
"S02001236"	383525.663333333	801136.413333333	1955.371	4.14285714285714	"S08000020"	2.46858524545981	768	1720	1488	851	48.7259167184587	51.2740832815413
"S02001237"	386334.494584838	802588.155234657	1975.884	5	"S08000020"	2.02643475021813	766	1230	1249	759	48.6763236763237	51.3236763236763
"S02001238"	388947.135897436	802952.756410256	527.512	4.75	"S08000020"	11.6433370236127	1165	1970	1947	1060	48.3555845001628	51.6444154998372
"S02001239"	391890.851449275	803537.43115942	149.372	2.33333333333333	"S08000020"	34.6316578743004	671	2439	1173	890	48.3085250338295	51.6914749661705
"S02001240"	392684.143884892	804777.830935252	83.772	5	"S08000020"	52.678699326744	578	2106	1089	640	49.60344436891	50.39655563109
"S02001241"	391470.491071429	804181.473214286	110.815	5	"S08000020"	34.4628434778685	555	1231	1087	946	46.7923540193768	53.2076459806232
"S02001242"	391085.911764706	804836.393382353	141.622	5	"S08000020"	32.4667071500191	601	1573	1300	1124	48.5210961287516	51.4789038712484
"S02001243"	390061.294617564	805336.067988669	899.818	4.16666666666667	"S08000020"	5.50555779057543	638	1612	1470	1234	48.4860718611223	51.5139281388777
"S02001244"	390340.837837838	806463.927927928	113.168	2.6	"S08000020"	34.4355294782978	591	1503	964	839	47.7803438542469	52.2196561457532
"S02001245"	391888.856777494	806706.549872123	154.474	4.66666666666667	"S08000020"	29.6360552584901	715	1781	1279	803	49.213630406291	50.7863695937091
"S02001246"	393086.46969697	806489.978787879	54.625	4	"S08000020"	106.58123569794	472	3811	1047	492	50.2576434215046	49.7423565784954
"S02001247"	392358.073239437	805864.445070423	119.901	5	"S08000020"	29.2491305326895	622	1337	1075	473	49.7005988023952	50.2994011976048
"S02001248"	392572.017361111	805337.385416667	91.61	5	"S08000020"	66.4228795982971	712	3429	1324	620	52.3582580115037	47.6417419884963
"S02001249"	393615.272357724	805996.25203252	69.778	3.4	"S08000020"	57.5252945054315	244	2828	631	311	53.0393622321874	46.9606377678127
"S02001250"	394282.281318681	805917.268131868	86.495	2.75	"S08000020"	29.3658592982253	164	1980	329	67	56.496062992126	43.503937007874
"S02001251"	393725.511312217	805245.556561086	54.655	4.57142857142857	"S08000020"	90.0009148293843	424	3298	826	371	52.754624923765	47.245375076235
"S02001252"	393383.641860465	804616.758139535	109.79	4.4	"S08000020"	43.227980690409	526	2192	1179	849	49.8314369995786	50.1685630004214
"S02001253"	393355.834101383	803210.105990783	113.839	2.4	"S08000020"	35.8049526085085	589	1484	1141	862	46.4671246319922	53.5328753680079
"S02001254"	394132.753719008	802368.476033058	605.023	3.2	"S08000020"	6.65925097062426	610	1520	1139	760	47.927525440556	52.072474559444
"S02001255"	394800.905109489	800864.350364964	112.356	4.83333333333333	"S08000020"	36.2063441204742	761	1785	1184	338	49.7787610619469	50.2212389380531
"S02001256"	394883.936675462	802588.617414248	705.155	3.8	"S08000020"	5.24849146641519	525	1512	1169	495	48.0140502566874	51.9859497433126
"S02001257"	394782.799363057	804885.455414013	99.971	1.57142857142857	"S08000020"	56.9165057866781	714	2940	1415	621	51.9683655536028	48.0316344463972
"S02001258"	395568.428571429	804935.90625	152.632	1.16666666666667	"S08000020"	30.3933644320981	949	2064	1057	569	48.1569303729252	51.8430696270748
"S02001259"	394838.01980198	806491.587458746	104.198	2.75	"S08000020"	31.488128370986	172	2250	516	343	52.6363913441024	47.3636086558976
"S02001260"	394482.694174757	807078.786407767	68.948	3.5	"S08000020"	58.6093867842432	160	3262	453	166	51.1012125711458	48.8987874288543
"S02001261"	393887.003502627	806775.152364273	76.376	2.625	"S08000020"	92.2410181208757	460	5278	902	405	51.9375443577005	48.0624556422995
"S02001262"	392988.50928382	807460.435013263	89.732	2.6	"S08000020"	41.6462354566933	393	2289	723	332	51.1372758897511	48.8627241102489
"S02001263"	393790.447368421	807755.646616541	87.347	3.5	"S08000020"	61.6392091313955	518	3862	705	299	51.4115898959881	48.5884101040119
"S02001264"	394391.252252252	808056.684684685	121.914	2.4	"S08000020"	37.7561231687911	364	2917	766	556	49.9891375190093	50.0108624809907
"S02001265"	394260.597633136	808737.053254438	165.182	2.5	"S08000020"	29.2949594992191	433	3405	590	411	46.9931804091755	53.0068195908246
"S02001266"	393084.652173913	808962.891304348	96.132	2	"S08000020"	50.274622394208	844	2380	1100	509	51.231119387544	48.768880612456
"S02001267"	392275.515	808892.44	101.297	1.6	"S08000020"	39.4384828770842	595	2081	831	488	50.7884856070088	49.2115143929912
"S02001268"	392352.532934132	808375.709580838	115.707	3.5	"S08000020"	51.2847105188105	757	2744	1406	1027	48.938321536906	51.061678463094
"S02001269"	391701.206225681	807626.509727627	90.306	2	"S08000020"	58.9108143423471	711	2116	1243	1250	46.8233082706767	53.1766917293233
"S02001270"	390453.046843177	807093.181262729	92.031	1.71428571428571	"S08000020"	52.2541317599505	890	1887	1287	745	47.1615720524018	52.8384279475983
"S02001271"	389566.83255814	807125.265116279	83.827	2.16666666666667	"S08000020"	59.1694800004772	730	1659	1516	1055	47.0362903225806	52.9637096774194
"S02001272"	391027.852459016	807896.81420765	84.529	1.8	"S08000020"	41.7608158146908	619	1353	983	575	47.5637393767705	52.4362606232295
"S02001273"	390182.342756184	808311.427561838	93.818	2	"S08000020"	58.5815088788932	1092	2246	1524	634	47.5072780203785	52.4927219796216
"S02001274"	390811.876190476	808816.985714286	86.705	1.33333333333333	"S08000020"	60.9653422524653	1134	2295	1318	539	49.1297767688233	50.8702232311767
"S02001275"	386719.176895307	808174.675090253	2722.063	4.83333333333333	"S08000020"	1.94999160563146	1165	2114	1413	616	48.6435568952525	51.3564431047476
"S02001276"	389536.279279279	809487.950450451	141.184	3	"S08000020"	23.3525045330916	401	1388	874	634	50.9857446163179	49.0142553836822
"S02001277"	388625.865044248	811178.725663717	662.617	3.33333333333333	"S08000020"	6.82445515282584	563	1618	1297	1044	48.3635559486953	51.6364440513047
"S02001278"	388383.425531915	812922.811550152	2102.222	3.71428571428571	"S08000020"	2.60153304455952	767	1929	1582	1191	48.4549277747303	51.5450722252697
"S02001279"	391923.036036036	810017.54954955	132.678	5	"S08000020"	30.5853268816232	503	1686	1239	630	48.743223262691	51.256776737309
"S02001280"	392103.473053892	811325.74251497	1004.831	4.66666666666667	"S08000020"	4.32112464683116	664	1841	1340	497	48.4799631506218	51.5200368493782
"S02001281"	393047.448051948	810995.155844156	117.303	4.85714285714286	"S08000020"	41.8488870702369	721	1760	1813	615	51.0083520065187	48.9916479934814
"S02001282"	393605.96373057	810059.259067358	168.829	3.66666666666667	"S08000020"	21.2226572449046	424	1207	1196	756	48.5347474183645	51.4652525816355
"S02001283"	394411.905109489	810297.770072993	181.159	4.75	"S08000020"	14.9316346413924	320	958	838	589	50.3881700554529	49.6118299445471
"S02001284"	394203.740740741	812048.777777778	1292.058	4.5	"S08000020"	2.27002193399987	470	1185	909	369	50.6989430617116	49.3010569382884
"S02001285"	331513.956626506	798727.956626506	125982.791	4.2	"S08000020"	0.0246859112686272	417	912	959	822	49.6784565916399	50.3215434083601
"S02001286"	357387.451193059	796144.455531453	46290.693	4	"S08000020"	0.105982427180341	873	1577	1533	923	48.5731757032206	51.4268242967795
"S02001287"	370046.366336634	771973.198019802	12507.06	4	"S08000020"	0.334930831066614	745	1525	1147	772	49.0570541895441	50.942945810456
"S02001288"	370804.297169811	767280.679245283	10127.228	3.4	"S08000020"	0.390926322583041	710	1348	1282	619	51.0987623137156	48.9012376862844
"S02001289"	378090.338028169	775225.088028169	15295.639	4	"S08000020"	0.352191889466011	1011	2017	1608	751	49.749396695749	50.250603304251
"S02001290"	385401.623955432	787929.47632312	22025.671	4.4	"S08000020"	0.15241306382902	580	1186	1162	429	50.0446827524576	49.9553172475425
"S02001291"	386794.457831325	785740.397590362	165.35	4	"S08000020"	33.5409736921681	938	2026	1601	981	48.3231157591057	51.6768842408943
"S02001292"	386959.092356688	786250.751592357	157.971	4.55555555555556	"S08000020"	37.2536731425388	1024	2146	1723	992	48.9209855564996	51.0790144435004
"S02001293"	390989.847058824	793546.541176471	83.767	4.33333333333333	"S08000020"	35.7658743896761	579	1130	876	411	49.2990654205608	50.7009345794393
"S02001294"	391684.319444444	796304.534722222	116.715	4.83333333333333	"S08000020"	38.8638992417427	685	1811	1490	550	49.7574955908289	50.2425044091711
"S02001295"	392046.766169154	798217.119402985	2725.448	4.2	"S08000020"	1.61698186866893	876	1872	1205	454	49.2398457000227	50.7601542999773
"S02001296"	376858.284697509	801354.284697509	24249.899	4.16666666666667	"S08000020"	0.200454443129846	922	1591	1625	723	49.3725570870191	50.6274429129809
"S02001297"	370774.734375	796298.01953125	168.2	4.33333333333333	"S08000020"	24.2806183115339	815	1487	1158	624	48.8246816846229	51.1753183153771
"S02001298"	369652.837037037	795953.803703704	148.511	4.75	"S08000020"	20.8132730908822	489	978	973	651	49.6926560983501	50.30734390165
"S02001299"	365829.753715499	800205.271762208	14334.875	4.5	"S08000020"	0.281899911928078	750	1251	1198	842	49.4432071269488	50.5567928730512
"S02001300"	349761.857651246	809650.220640569	43020.495	3.8	"S08000020"	0.0965586286257283	697	1339	1304	814	50.1444390948483	49.8555609051517
"S02001301"	362197.756355932	816064.065677966	19845.526	4.44444444444444	"S08000020"	0.2822802479511	997	1804	1824	977	49.6608354159229	50.3391645840771
"S02001302"	373221.307142857	816291.692857143	114.459	3.6	"S08000020"	31.2601018705388	676	1276	1071	555	48.4069312465064	51.5930687534936
"S02001303"	376444.344936709	822126.683544304	178.855	3.875	"S08000020"	30.7847138743675	758	2152	1628	968	49.6730839084635	50.3269160915365
"S02001304"	377399.064579256	821323.344422701	213.945	3	"S08000020"	25.1232793474959	766	1998	1434	1177	47.4232558139535	52.5767441860465
"S02001305"	373874.391385768	823293.644194757	13010.335	4.57142857142857	"S08000020"	0.376393075197526	1071	2002	1415	409	51.235450275679	48.764549724321
"S02001306"	378965.545454546	816367.883116883	5792.008	4.55555555555556	"S08000020"	0.99240194419621	1365	2326	1360	697	49.3736951983299	50.6263048016702
"S02001307"	382248.018072289	812699.15060241	1614.929	4.5	"S08000020"	2.0421950438688	769	1500	770	259	50.9096422073984	49.0903577926016
"S02001308"	381922.537688442	807359.537688442	3125.78	4.66666666666667	"S08000020"	1.28543915438707	726	1524	1357	411	49.1040318566451	50.8959681433549
"S02001309"	382845.893258427	807033.258426966	120.049	5	"S08000020"	34.6441869569926	614	1509	1329	707	48.1365712911758	51.8634287088242
"S02001310"	382201.467741936	806682.870967742	184.328	4.8	"S08000020"	20.5991493424765	918	1678	912	289	48.5119831445878	51.4880168554122
