area1	area2	contact
0	0	1
0	1	0.367879
0	2	0.135335
0	3	0.0497871
0	4	0.0183156
0	5	0.00673795
0	6	0.00247875
0	7	0.000911882
0	8	0.000335463
0	9	0.00012341
0	10	0.367879
0	11	0.243117
0	12	0.106878
0	13	0.0423292
0	14	0.0161941
0	15	0.00610273
0	16	0.00228186
0	17	0.000849326
0	18	0.000315214
0	19	0.000116761
0	20	0.135335
0	21	0.106878
0	22	0.0591057
0	23	0.0271725
0	24	0.0114229
0	25	0.00458408
0	26	0.00179176
0	27	0.00068911
0	28	0.00026225
0	29	9.90838e-005
0	30	0.0497871
0	31	0.0423292
0	32	0.0271725
0	33	0.0143696
0	34	0.00673795
0	35	0.00293528
0	36	0.00122085
0	37	0.00049262
0	38	0.000194709
0	39	7.58439e-005
0	40	0.0183156
0	41	0.0161941
0	42	0.0114229
0	43	0.00673795
0	44	0.00349349
0	45	0.00165637
0	46	0.000738343
0	47	0.000315214
0	48	0.000130482
0	49	5.28075e-005
0	50	0.00673795
0	51	0.00610273
0	52	0.00458408
0	53	0.00293528
0	54	0.00165637
0	55	0.000849326
0	56	0.000405557
0	57	0.000183678
0	58	7.99602e-005
0	59	3.37804e-005
0	60	0.00247875
0	61	0.00228186
0	62	0.00179176
0	63	0.00122085
0	64	0.000738343
0	65	0.000405557
0	66	0.000206485
0	67	9.90838e-005
0	68	4.53999e-005
0	69	2.00626e-005
0	70	0.000911882
0	71	0.000849326
0	72	0.00068911
0	73	0.00049262
0	74	0.000315214
0	75	0.000183678
0	76	9.90838e-005
0	77	5.02e-005
0	78	2.41761e-005
0	79	1.11759e-005
0	80	0.000335463
0	81	0.000315214
0	82	0.00026225
0	83	0.000194709
0	84	0.000130482
0	85	7.99602e-005
0	86	4.53999e-005
0	87	2.41761e-005
0	88	1.22045e-005
0	89	5.89389e-006
0	90	0.00012341
0	91	0.000116761
0	92	9.90838e-005
0	93	7.58439e-005
0	94	5.28075e-005
0	95	3.37804e-005
0	96	2.00626e-005
0	97	1.11759e-005
0	98	5.89389e-006
0	99	2.96711e-006
1	1	1
1	2	0.367879
1	3	0.135335
1	4	0.0497871
1	5	0.0183156
1	6	0.00673795
1	7	0.00247875
1	8	0.000911882
1	9	0.000335463
1	10	0.243117
1	11	0.367879
1	12	0.243117
1	13	0.106878
1	14	0.0423292
1	15	0.0161941
1	16	0.00610273
1	17	0.00228186
1	18	0.000849326
1	19	0.000315214
1	20	0.106878
1	21	0.135335
1	22	0.106878
1	23	0.0591057
1	24	0.0271725
1	25	0.0114229
1	26	0.00458408
1	27	0.00179176
1	28	0.00068911
1	29	0.00026225
1	30	0.0423292
1	31	0.0497871
1	32	0.0423292
1	33	0.0271725
1	34	0.0143696
1	35	0.00673795
1	36	0.00293528
1	37	0.00122085
1	38	0.00049262
1	39	0.000194709
1	40	0.0161941
1	41	0.0183156
1	42	0.0161941
1	43	0.0114229
1	44	0.00673795
1	45	0.00349349
1	46	0.00165637
1	47	0.000738343
1	48	0.000315214
1	49	0.000130482
1	50	0.00610273
1	51	0.00673795
1	52	0.00610273
1	53	0.00458408
1	54	0.00293528
1	55	0.00165637
1	56	0.000849326
1	57	0.000405557
1	58	0.000183678
1	59	7.99602e-005
1	60	0.00228186
1	61	0.00247875
1	62	0.00228186
1	63	0.00179176
1	64	0.00122085
1	65	0.000738343
1	66	0.000405557
1	67	0.000206485
1	68	9.90838e-005
1	69	4.53999e-005
1	70	0.000849326
1	71	0.000911882
1	72	0.000849326
1	73	0.00068911
1	74	0.00049262
1	75	0.000315214
1	76	0.000183678
1	77	9.90838e-005
1	78	5.02e-005
1	79	2.41761e-005
1	80	0.000315214
1	81	0.000335463
1	82	0.000315214
1	83	0.00026225
1	84	0.000194709
1	85	0.000130482
1	86	7.99602e-005
1	87	4.53999e-005
1	88	2.41761e-005
1	89	1.22045e-005
1	90	0.000116761
1	91	0.00012341
1	92	0.000116761
1	93	9.90838e-005
1	94	7.58439e-005
1	95	5.28075e-005
1	96	3.37804e-005
1	97	2.00626e-005
1	98	1.11759e-005
1	99	5.89389e-006
2	2	1
2	3	0.367879
2	4	0.135335
2	5	0.0497871
2	6	0.0183156
2	7	0.00673795
2	8	0.00247875
2	9	0.000911882
2	10	0.106878
2	11	0.243117
2	12	0.367879
2	13	0.243117
2	14	0.106878
2	15	0.0423292
2	16	0.0161941
2	17	0.00610273
2	18	0.00228186
2	19	0.000849326
2	20	0.0591057
2	21	0.106878
2	22	0.135335
2	23	0.106878
2	24	0.0591057
2	25	0.0271725
2	26	0.0114229
2	27	0.00458408
2	28	0.00179176
2	29	0.00068911
2	30	0.0271725
2	31	0.0423292
2	32	0.0497871
2	33	0.0423292
2	34	0.0271725
2	35	0.0143696
2	36	0.00673795
2	37	0.00293528
2	38	0.00122085
2	39	0.00049262
2	40	0.0114229
2	41	0.0161941
2	42	0.0183156
2	43	0.0161941
2	44	0.0114229
2	45	0.00673795
2	46	0.00349349
2	47	0.00165637
2	48	0.000738343
2	49	0.000315214
2	50	0.00458408
2	51	0.00610273
2	52	0.00673795
2	53	0.00610273
2	54	0.00458408
2	55	0.00293528
