area	easting	northing	region	density	age0-19	age20-64	age65+	male	female
a0	0	0	r0	1.34019	105	305	197	54.1165	45.8835
a1	1	0	r0	0.697551	95	305	196	50.5397	49.4603
a2	2	0	r0	0.977397	100	297	202	54.5223	45.4777
a3	3	0	r0	1.4162	92	304	202	51.0697	48.9303
a4	4	0	r0	0.516301	106	292	194	46.5668	53.4332
a5	5	0	r1	0.900944	109	292	192	47.1826	52.8174
a6	6	0	r1	1.01293	95	302	206	51.3755	48.6245
a7	7	0	r1	1.02429	95	309	199	52.7136	47.2864
a8	8	0	r1	1.02674	107	298	205	47.8331	52.1669
a9	9	0	r1	0.852458	91	308	206	54.4933	45.5067
a10	0	1	r0	1.026	103	293	191	53.9023	46.0977
a11	1	1	r0	0.848893	99	290	191	45.631	54.369
a12	2	1	r0	0.73828	107	308	209	47.6667	52.3333
a13	3	1	r0	1.03976	100	305	197	51.6772	48.3228
a14	4	1	r0	1.03161	108	298	190	54.3081	45.6919
a15	5	1	r1	1.22095	102	304	195	48.5405	51.4595
a16	6	1	r1	1.18786	107	298	193	53.292	46.708
a17	7	1	r1	0.830337	97	307	194	51.8667	48.1333
a18	8	1	r1	1.45647	107	303	201	49.3956	50.6044
a19	9	1	r1	1.42397	103	306	197	54.1097	45.8903
a20	0	2	r0	0.982491	108	309	194	46.4766	53.5234
a21	1	2	r0	1.38106	102	298	202	47.8106	52.1894
a22	2	2	r0	1.286	94	298	196	46.8753	53.1247
a23	3	2	r0	0.776235	93	298	201	54.068	45.932
a24	4	2	r0	0.603171	105	299	192	54.8475	45.1525
a25	5	2	r1	1.435	104	297	203	48.6866	51.3134
a26	6	2	r1	0.79416	94	301	194	46.5239	53.4761
a27	7	2	r1	1.23215	93	305	192	52.4507	47.5493
a28	8	2	r1	0.57453	100	291	209	46.7621	53.2379
a29	9	2	r1	0.740062	103	304	205	54.6741	45.3259
a30	0	3	r0	1.13946	92	291	205	50.2021	49.7979
a31	1	3	r0	0.578232	99	294	191	53.1968	46.8032
a32	2	3	r0	1.07332	93	291	205	54.9999	45.0001
a33	3	3	r0	0.704329	109	292	207	45.5406	54.4594
a34	4	3	r0	1.37054	108	290	191	50.9389	49.0611
a35	5	3	r1	0.680372	108	297	193	53.197	46.803
a36	6	3	r1	0.859095	99	301	201	51.8739	48.1261
a37	7	3	r1	0.59964	96	305	200	54.9223	45.0777
a38	8	3	r1	1.07697	102	304	207	45.3542	54.6458
a39	9	3	r1	1.2478	107	308	206	53.3104	46.6896
a40	0	4	r0	1.47943	109	308	204	51.6688	48.3312
a41	1	4	r0	0.997259	107	306	193	45.7699	54.2301
a42	2	4	r0	1.14971	94	302	194	52.0062	47.9938
a43	3	4	r0	0.816867	91	294	196	51.3307	48.6693
a44	4	4	r0	0.723656	109	300	203	47.8004	52.1996
a45	5	4	r1	1.04611	99	292	204	50.9254	49.0746
a46	6	4	r1	1.44432	106	296	199	49.3451	50.6549
a47	7	4	r1	0.503231	106	301	196	47.3389	52.6611
a48	8	4	r1	1.17548	96	299	199	52.1209	47.8791
a49	9	4	r1	0.682556	98	290	202	51.9598	48.0402
a50	0	5	r2	1.17394	93	296	202	51.0911	48.9089
a51	1	5	r2	1.12716	104	296	204	47.0221	52.9779
a52	2	5	r2	1.42091	95	303	203	50.3244	49.6756
a53	3	5	r2	0.587644	103	307	195	45.9374	54.0626
a54	4	5	r2	0.611276	101	301	197	51.6656	48.3344
a55	5	5	r3	0.788778	96	295	205	46.8975	53.1025
a56	6	5	r3	1.48436	96	306	190	46.882	53.118
a57	7	5	r3	0.936497	105	308	209	51.9908	48.0092
a58	8	5	r3	0.621143	105	297	203	54.4305	45.5695
a59	9	5	r3	1.41627	105	294	207	50.4804	49.5196
a60	0	6	r2	0.797288	107	308	208	49.9814	50.0186
a61	1	6	r2	1.0762	107	295	193	49.924	50.076
a62	2	6	r2	0.963662	95	299	206	46.8042	53.1958
a63	3	6	r2	1.18418	102	292	204	49.9242	50.0758
a64	4	6	r2	1.33813	94	293	204	49.9853	50.0147
a65	5	6	r3	0.621259	96	297	192	54.319	45.681
a66	6	6	r3	1.40848	106	306	202	49.9607	50.0393
a67	7	6	r3	0.834972	102	303	197	47.5891	52.4109
a68	8	6	r3	0.65123	102	292	191	48.636	51.364
a69	9	6	r3	0.78827	98	291	196	54.3449	45.6551
a70	0	7	r2	1.08357	105	303	195	49.8743	50.1257
a71	1	7	r2	0.657272	100	302	207	47.0784	52.9216
a72	2	7	r2	1.05756	97	306	198	47.4433	52.5567
a73	3	7	r2	0.826013	109	302	204	48.3824	51.6176
a74	4	7	r2	1.39756	90	298	192	52.8328	47.1672
a75	5	7	r3	1.27439	107	292	195	52.2101	47.7899
a76	6	7	r3	0.549162	104	309	198	47.1088	52.8912
a77	7	7	r3	0.973894	91	291	207	48.829	51.171
a78	8	7	r3	0.801763	92	306	203	45.5151	54.4849
a79	9	7	r3	0.553422	103	305	199	49.4256	50.5744
a80	0	8	r2	0.619111	100	301	201	50.9505	49.0495
a81	1	8	r2	0.861917	99	307	196	46.6982	53.3018
a82	2	8	r2	1.10973	101	302	200	47.3366	52.6634
a83	3	8	r2	1.32981	108	291	191	46.6965	53.3035
a84	4	8	r2	0.981733	95	306	194	48.5719	51.4281
a85	5	8	r3	1.37828	103	306	196	45.3633	54.6367
a86	6	8	r3	0.757469	106	302	205	48.0816	51.9184
a87	7	8	r3	0.721009	92	302	193	51.7461	48.2539
a88	8	8	r3	1.28226	98	294	204	48.1566	51.8434
a89	9	8	r3	0.934009	100	297	194	46.5472	53.4528
a90	0	9	r2	1.0554	97	297	190	48.0541	51.9459
a91	1	9	r2	1.23741	101	302	195	54.1959	45.8041
a92	2	9	r2	1.18599	96	303	206	51.4589	48.5411
a93	3	9	r2	0.506005	102	306	200	51.4269	48.5731
a94	4	9	r2	1.01851	104	297	198	53.019	46.981
a95	5	9	r3	1.17781	91	290	193	51.8572	48.1428
a96	6	9	r3	0.687616	101	304	202	45.0113	54.9887
a97	7	9	r3	0.505709	103	295	196	53.5756	46.4244
a98	8	9	r3	0.681161	107	303	196	51.533	48.467
a99	9	9	r3	0.81323	93	293	207	50.0346	49.9654
