Time,Mean,95% CI min,95% CI max
0.750000,0.000000,0.000000,0.000000
1.750000,0.000000,0.000000,0.000000
2.750000,0.000000,0.000000,0.000000
3.750000,0.000000,0.000000,0.000000
4.750000,0.000000,0.000000,0.000000
5.750000,0.000000,0.000000,0.000000
6.750000,0.000000,0.000000,0.000000
7.750000,0.000000,0.000000,0.000000
8.750000,0.000000,0.000000,0.000000
9.750000,0.000000,0.000000,0.000000
10.750000,0.000000,0.000000,0.000000
11.750000,0.000000,0.000000,0.000000
12.750000,0.000000,0.000000,0.000000
13.750000,0.000000,0.000000,0.000000
14.750000,0.500000,0.500000,0.500000
15.750000,2.000000,2.000000,2.000000
16.750000,3.000000,3.000000,3.000000
17.750000,1.500000,1.500000,1.500000
18.750000,1.000000,1.000000,1.000000
19.750000,1.000000,1.000000,1.000000
20.750000,2.000000,2.000000,2.000000
21.750000,2.000000,2.000000,2.000000
22.750000,2.000000,2.000000,2.000000
23.750000,3.000000,3.000000,3.000000
24.750000,3.000000,3.000000,3.000000
25.750000,3.500000,3.500000,3.500000
26.750000,5.000000,5.000000,5.000000
27.750000,7.000000,7.000000,7.000000
28.750000,8.500000,8.500000,8.500000
29.750000,6.500000,6.500000,6.500000
30.750000,6.000000,6.000000,6.000000
31.750000,9.000000,9.000000,9.000000
32.750000,10.500000,10.500000,10.500000
33.750000,12.000000,12.000000,12.000000
34.750000,19.000000,19.000000,19.000000
35.750000,21.500000,21.500000,21.500000
36.750000,27.000000,27.000000,27.000000
37.750000,29.000000,29.000000,29.000000
38.750000,31.500000,31.500000,31.500000
39.750000,35.000000,35.000000,35.000000
40.750000,47.000000,47.000000,47.000000
41.750000,52.000000,52.000000,52.000000
42.750000,60.000000,60.000000,60.000000
43.750000,76.500000,76.500000,76.500000
44.750000,85.500000,85.500000,85.500000
45.750000,95.000000,95.000000,95.000000
46.750000,105.000000,105.000000,105.000000
47.750000,115.000000,115.000000,115.000000
48.750000,142.500000,142.500000,142.500000
49.750000,174.500000,174.500000,174.500000
50.750000,213.500000,213.500000,213.500000
51.750000,267.000000,267.000000,267.000000
52.750000,303.000000,303.000000,303.000000
53.750000,371.000000,371.000000,371.000000
54.750000,430.500000,430.500000,430.500000
55.750000,480.500000,480.500000,480.500000
56.750000,540.000000,540.000000,540.000000
57.750000,613.500000,613.500000,613.500000
58.750000,673.000000,673.000000,673.000000
59.750000,759.000000,759.000000,759.000000
60.750000,876.000000,876.000000,876.000000
61.750000,953.000000,953.000000,953.000000
62.750000,1050.500000,1050.500000,1050.500000
63.750000,1171.000000,1171.000000,1171.000000
64.750000,1281.500000,1281.500000,1281.500000
65.750000,1358.000000,1358.000000,1358.000000
66.750000,1455.500000,1455.500000,1455.500000
67.750000,1511.500000,1511.500000,1511.500000
68.750000,1560.000000,1560.000000,1560.000000
69.750000,1577.500000,1577.500000,1577.500000
70.750000,1604.500000,1604.500000,1604.500000
