Time,Mean,95% CI min,95% CI max
0.750000,10000.000000,10000.000000,10000.000000
1.750000,10000.000000,10000.000000,10000.000000
2.750000,10000.000000,10000.000000,10000.000000
3.750000,10000.000000,10000.000000,10000.000000
4.750000,10000.000000,10000.000000,10000.000000
5.750000,10000.000000,10000.000000,10000.000000
6.750000,10000.000000,10000.000000,10000.000000
7.750000,10000.000000,10000.000000,10000.000000
8.750000,10000.000000,10000.000000,10000.000000
9.750000,10000.000000,10000.000000,10000.000000
10.750000,10000.000000,10000.000000,10000.000000
11.750000,10000.000000,10000.000000,10000.000000
12.750000,10000.000000,10000.000000,10000.000000
13.750000,10000.000000,10000.000000,10000.000000
14.750000,9999.500000,9999.500000,9999.500000
15.750000,9998.000000,9998.000000,9998.000000
16.750000,9997.000000,9997.000000,9997.000000
17.750000,9997.000000,9997.000000,9997.000000
18.750000,9997.000000,9997.000000,9997.000000
19.750000,9997.000000,9997.000000,9997.000000
20.750000,9996.000000,9996.000000,9996.000000
21.750000,9996.000000,9996.000000,9996.000000
22.750000,9996.000000,9996.000000,9996.000000
23.750000,9995.000000,9995.000000,9995.000000
24.750000,9994.500000,9994.500000,9994.500000
25.750000,9993.500000,9993.500000,9993.500000
26.750000,9992.000000,9992.000000,9992.000000
27.750000,9990.000000,9990.000000,9990.000000
28.750000,9988.500000,9988.500000,9988.500000
29.750000,9988.000000,9988.000000,9988.000000
30.750000,9988.000000,9988.000000,9988.000000
31.750000,9984.000000,9984.000000,9984.000000
32.750000,9982.500000,9982.500000,9982.500000
33.750000,9980.000000,9980.000000,9980.000000
34.750000,9971.000000,9971.000000,9971.000000
35.750000,9964.000000,9964.000000,9964.000000
36.750000,9954.500000,9954.500000,9954.500000
37.750000,9947.500000,9947.500000,9947.500000
38.750000,9941.000000,9941.000000,9941.000000
39.750000,9932.000000,9932.000000,9932.000000
40.750000,9914.000000,9914.000000,9914.000000
41.750000,9898.000000,9898.000000,9898.000000
42.750000,9882.500000,9882.500000,9882.500000
43.750000,9858.000000,9858.000000,9858.000000
44.750000,9834.500000,9834.500000,9834.500000
45.750000,9815.000000,9815.000000,9815.000000
46.750000,9781.000000,9781.000000,9781.000000
47.750000,9746.000000,9746.000000,9746.000000
48.750000,9698.500000,9698.500000,9698.500000
49.750000,9639.500000,9639.500000,9639.500000
50.750000,9576.500000,9576.500000,9576.500000
51.750000,9485.500000,9485.500000,9485.500000
52.750000,9405.500000,9405.500000,9405.500000
53.750000,9298.500000,9298.500000,9298.500000
54.750000,9177.000000,9177.000000,9177.000000
55.750000,9052.000000,9052.000000,9052.000000
56.750000,8915.500000,8915.500000,8915.500000
57.750000,8757.000000,8757.000000,8757.000000
58.750000,8584.000000,8584.000000,8584.000000
59.750000,8376.500000,8376.500000,8376.500000
60.750000,8139.000000,8139.000000,8139.000000
61.750000,7908.500000,7908.500000,7908.500000
62.750000,7646.500000,7646.500000,7646.500000
63.750000,7350.500000,7350.500000,7350.500000
64.750000,7044.000000,7044.000000,7044.000000
65.750000,6751.500000,6751.500000,6751.500000
66.750000,6427.000000,6427.000000,6427.000000
67.750000,6122.500000,6122.500000,6122.500000
68.750000,5809.500000,5809.500000,5809.500000
69.750000,5514.500000,5514.500000,5514.500000
70.750000,5232.000000,5232.000000,5232.000000
71.750000,4965.000000,4965.000000,4965.000000
72.750000,4692.500000,4692.500000,4692.500000
73.750000,4442.500000,4442.500000,4442.500000
74.750000,4193.000000,4193.000000,4193.000000
75.750000,3966.500000,3966.500000,3966.500000
76.750000,3747.000000,3747.000000,3747.000000
77.750000,3574.500000,3574.500000,3574.500000
78.750000,3406.000000,3406.000000,3406.000000
79.750000,3239.000000,3239.000000,3239.000000
80.750000,3087.000000,3087.000000,3087.000000
81.750000,2955.500000,2955.500000,2955.500000
82.750000,2825.500000,2825.500000,2825.500000
83.750000,2724.500000,2724.500000,2724.500000
84.750000,2632.000000,2632.000000,2632.000000
85.750000,2555.000000,2555.000000,2555.000000
86.750000,2481.000000,2481.000000,2481.000000
87.750000,2394.500000,2394.500000,2394.500000
88.750000,2331.000000,2331.000000,2331.000000
89.750000,2282.000000,2282.000000,2282.000000
90.750000,2229.500000,2229.500000,2229.500000
91.750000,2177.500000,2177.500000,2177.500000
92.750000,2137.500000,2137.500000,2137.500000
93.750000,2103.500000,2103.500000,2103.500000
94.750000,2072.000000,2072.000000,2072.000000
95.750000,2037.500000,2037.500000,2037.500000
96.750000,2007.000000,2007.000000,2007.000000
97.750000,1984.500000,1984.500000,1984.500000
98.750000,1961.500000,1961.500000,1961.500000
99.750000,1941.000000,1941.000000,1941.000000
100.750000,1922.000000,1922.000000,1922.000000
101.750000,1902.500000,1902.500000,1902.500000
102.750000,1888.000000,1888.000000,1888.000000
103.750000,1876.000000,1876.000000,1876.000000
104.750000,1865.500000,1865.500000,1865.500000
105.750000,1851.000000,1851.000000,1851.000000
106.750000,1842.500000,1842.500000,1842.500000
107.750000,1839.000000,1839.000000,1839.000000
108.750000,1833.500000,1833.500000,1833.500000
109.750000,1829.500000,1829.500000,1829.500000
110.750000,1825.000000,1825.000000,1825.000000
111.750000,1820.500000,1820.500000,1820.500000
112.750000,1817.500000,1817.500000,1817.500000
113.750000,1814.000000,1814.000000,1814.000000
114.750000,1809.500000,1809.500000,1809.500000
115.750000,1805.500000,1805.500000,1805.500000
116.750000,1801.500000,1801.500000,1801.500000
117.750000,1799.000000,1799.000000,1799.000000
118.750000,1798.000000,1798.000000,1798.000000
119.750000,1797.500000,1797.500000,1797.500000
120.750000,1796.000000,1796.000000,1796.000000
121.750000,1794.000000,1794.000000,1794.000000
122.750000,1792.000000,1792.000000,1792.000000
123.750000,1792.000000,1792.000000,1792.000000
124.750000,1791.000000,1791.000000,1791.000000
125.750000,1789.000000,1789.000000,1789.000000
126.750000,1788.000000,1788.000000,1788.000000
127.750000,1787.000000,1787.000000,1787.000000
128.750000,1785.500000,1785.500000,1785.500000
