1000 300
0.840188 0.394383 0
0.783099 0.79844 0
0.911647 0.197551 0
0.335223 0.76823 0
0.277775 0.55397 0
0.477397 0.628871 0
0.364784 0.513401 0
0.95223 0.916195 0
0.635712 0.717297 0
0.141603 0.606969 0
0.0163006 0.242887 0
0.137232 0.804177 0
0.156679 0.400944 0
0.12979 0.108809 0
0.998925 0.218257 0
0.512932 0.839112 0
0.61264 0.296032 0
0.637552 0.524287 0
0.493583 0.972775 0
0.292517 0.771358 0
0.526745 0.769914 0
0.400229 0.891529 0
0.283315 0.352458 0
0.807725 0.919026 0
0.0697553 0.949327 0
0.525995 0.0860558 0
0.192214 0.663227 0
0.890233 0.348893 0
0.0641713 0.020023 0
0.457702 0.0630958 0
0.23828 0.970634 0
0.902208 0.85092 0
0.266666 0.53976 0
0.375207 0.760249 0
0.512535 0.667724 0
0.531606 0.0392803 0
0.437638 0.931835 0
0.93081 0.720952 0
0.284293 0.738534 0
0.639979 0.354049 0
0.687861 0.165974 0
0.440105 0.880075 0
0.829201 0.330337 0
0.228968 0.893372 0
0.35036 0.68667 0
0.956468 0.58864 0
0.657304 0.858676 0
0.43956 0.92397 0
0.398437 0.814767 0
0.684219 0.910972 0
0.482491 0.215825 0
0.950252 0.920128 0
0.14766 0.881062 0
0.641081 0.431953 0
0.619596 0.281059 0
0.786002 0.307458 0
0.447034 0.226107 0
0.187533 0.276235 0
0.556444 0.416501 0
0.169607 0.906804 0
0.103171 0.126075 0
0.495444 0.760475 0
0.984752 0.935004 0
0.684445 0.383188 0
0.749771 0.368664 0
0.29416 0.232262 0
0.584489 0.244413 0
0.15239 0.732149 0
0.125475 0.79347 0
0.164102 0.745071 0
0.0745298 0.950104 0
0.0525293 0.521563 0
0.176211 0.240062 0
0.797798 0.732654 0
0.656564 0.967405 0
0.639458 0.759735 0
0.0934805 0.134902 0
0.52021 0.0782321 0
0.0699064 0.204655 0
0.46142 0.819677 0
0.573319 0.755581 0
0.0519388 0.157807 0
0.999994 0.204329 0
0.889956 0.125468 0
0.997799 0.0540576 0
0.87054 0.0723288 0
0.00416161 0.923069 0
0.593892 0.180372 0
0.163131 0.39169 0
0.913027 0.819695 0
0.359095 0.552485 0
0.57943 0.452576 0
0.687387 0.0996401 0
0.530808 0.757294 0
0.304295 0.992228 0
0.576971 0.877614 0
0.747809 0.62891 0
0.0354209 0.747803 0
0.833239 0.925377 0
0.873271 0.831038 0
0.979434 0.743811 0
0.903366 0.983596 0
0.66688 0.497259 0
0.163968 0.830012 0
0.888949 0.0769947 0
0.649707 0.248044 0
0.62948 0.229137 0
0.70062 0.316867 0
0.328777 0.231428 0
0.074161 0.633072 0
0.223656 0.651132 0
0.510686 0.971466 0
0.280042 0.546107 0
0.719269 0.113281 0
0.471483 0.59254 0
0.944318 0.450918 0
0.336351 0.847684 0
0.434513 0.00323146 0
0.344943 0.598481 0
0.833243 0.233892 0
0.675476 0.48295 0
0.481936 0.304956 0
0.712087 0.182556 0
0.621823 0.0408643 0
0.413984 0.695984 0
0.673936 0.63764 0
0.347116 0.184622 0
0.609106 0.627158 0
0.730729 0.328374 0
0.740438 0.202213 0
0.920914 0.684757 0
0.65313 0.257265 0
0.532441 0.0876436 0
0.260497 0.877384 0
0.686125 0.0937402 0
0.111276 0.361601 0
0.576691 0.593211 0
0.666557 0.288778 0
0.775767 0.288379 0
0.329642 0.189751 0
0.984363 0.00357857 0
0.827391 0.331479 0
0.188201 0.436497 0
0.958637 0.91893 0
0.764871 0.699075 0
0.121143 0.685786 0
0.383832 0.774273 0
0.943051 0.916273 0
0.861917 0.203548 0
0.793657 0.548042 0
0.297288 0.904932 0
0.909643 0.873979 0
0.498144 0.5762 0
0.162757 0.273911 0
0.864579 0.492399 0
0.463662 0.848942 0
0.495977 0.291053 0
0.180421 0.684178 0
0.72755 0.139058 0
0.603109 0.492422 0
0.838134 0.724252 0
0.178208 0.221966 0
0.498525 0.121259 0
0.138238 0.360443 0
0.324807 0.931895 0
0.908485 0.622095 0
0.836828 0.818128 0
0.496074 0.334972 0
0.394327 0.658831 0
0.608883 0.258906 0
0.15123 0.072545 0
0.107848 0.647207 0
0.363598 0.28827 0
0.331386 0.0911486 0
0.427328 0.934495 0
0.58357 0.265461 0
0.658747 0.761778 0
0.487427 0.157272 0
0.883037 0.625665 0
0.517715 0.207844 0
0.557561 0.426199 0
0.829939 0.394388 0
0.244327 0.326013 0
0.72936 0.638654 0
0.984845 0.338243 0
0.89756 0.136075 0
0.410788 0.00540855 0
0.783282 0.774386 0
0.293678 0.114668 0
0.865535 0.721006 0
0.0491625 0.449105 0
0.986467 0.707909 0
0.210883 0.473894 0
0.865181 0.0939195 0
0.0995593 0.382896 0
0.301763 0.65712 0
0.809095 0.131702 0
0.0515083 0.0534223 0
0.457716 0.780868 0
0.692076 0.44256 0
0.119111 0.589637 0
0.578635 0.529899 0
0.595045 0.361917 0
0.304285 0.888723 0
0.476585 0.16982 0
0.609729 0.525747 0
0.618925 0.596196 0
0.233656 0.829808 0
0.0700902 0.0988374 0
0.923728 0.16965 0
0.481733 0.225491 0
0.826769 0.290829 0
0.357193 0.878278 0
0.344251 0.814909 0
0.659146 0.0363274 0
0.257469 0.778257 0
0.625964 0.836104 0
0.308157 0.221009 0
0.198021 0.612442 0
0.109733 0.674605 0
0.782262 0.719462 0
0.200352 0.401188 0
0.315658 0.434009 0
0.230996 0.385748 0
0.532846 0.154724 0
0.555398 0.0145793 0
0.380215 0.382167 0
0.305408 0.737408 0
0.260445 0.649659 0
0.552316 0.919591 0
0.685986 0.809785 0
0.697848 0.31195 0
0.645889 0.00600477 0
0.53296 0.84391 0
0.618447 0.642693 0
0.518515 0.400709 0
0.362154 0.718867 0
0.801897 0.677812 0
0.152876 0.0328927 0
0.0635606 0.685722 0
0.187616 0.618958 0
0.700301 0.567831 0
0.00112548 0.00570914 0
0.305239 0.26157 0
0.655368 0.857555 0
0.181161 0.341354 0
0.667341 0.879009 0
0.653305 0.31323 0
0.885014 0.186265 0
0.157139 0.503461 0
0.828957 0.675654 0
0.90417 0.191112 0
0.394521 0.706067 0
0.868924 0.547397 0
0.738959 0.932485 0
0.233119 0.926576 0
0.551443 0.93342 0
0.494407 0.552568 0
0.939129 0.799646 0
0.814139 0.594497 0
0.657201 0.9953 0
0.935852 0.324541 0
0.874309 0.589157 0
0.637771 0.759324 0
0.775421 0.79491 0
0.262785 0.604379 0
0.470564 0.166955 0
0.79549 0.865086 0
0.873021 0.664414 0
0.412483 0.611981 0
0.596899 0.645601 0
0.538557 0.148342 0
0.579022 0.0329634 0
0.70091 0.518151 0
0.832609 0.515049 0
0.112648 0.48981 0
0.510349 0.0484997 0
0.814351 0.384658 0
0.637656 0.452122 0
0.143982 0.413078 0
0.247033 0.406767 0
0.0174566 0.717597 0
0.573721 0.812947 0
0.582682 0.446743 0
0.477361 0.995165 0
0.0587232 0.0742604 0
0.640766 0.59728 0
0.222602 0.219788 0
0.630243 0.923513 0
0.737939 0.462852 0
0.438562 0.850586 0
0.952662 0.948911 0
0.899086 0.767014 0
0.333569 0.536742 0
0.219136 0.477551 0
0.94982 0.466169 0
0.884318 0.967277 0
0.183765 0.458039 0
0.780224 0.766448 0
0.904782 0.257585 0
